Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2009,Tomas Telis,TEX,R,18,46,183,192,59,41,11,5,2,30,28,4,0,15,1,4,0,8,8,1,0.322404371,10067
2010,Tomas Telis,TEX,R,19,37,144,158,47,37,7,1,2,22,35,6,0,16,1,3,4,2,4,1,0.326388888,10067
2009,Mike Trout,LAA,R,17,39,164,187,59,44,7,7,1,29,25,18,0,28,0,2,3,2,13,2,0.359756097,10155
2009,Nick Franklin,SEA,R,18,10,43,44,13,10,2,0,1,6,4,1,0,6,0,0,0,0,0,0,0.302325581,10166
2009,Randal Grichuk,LAA,R,17,53,236,256,76,46,13,10,7,47,53,9,0,64,4,4,3,8,6,4,0.322033898,10243
2010,Randal Grichuk,LAA,R,18,12,49,52,16,7,3,2,4,7,10,3,0,9,0,0,0,1,0,0,0.326530612,10243
2011,Randal Grichuk,LAA,R,19,7,24,28,8,6,1,1,0,2,6,2,0,4,0,2,0,0,0,0,0.333333333,10243
2009,Hector Sanchez,SFG,R,19,33,117,139,35,25,8,1,1,13,22,16,0,21,5,1,0,1,0,0,0.299145299,10289
2010,Cheslor Cuthbert,KCR,R,17,18,68,76,18,12,3,2,1,14,5,6,0,19,2,0,0,1,1,1,0.264705882,10473
2009,Gio Urshela,CLE,R,17,32,105,119,27,25,2,0,0,10,11,10,0,12,1,2,1,3,3,0,0.257142857,10681
2009,Lane Adams,KCR,R,19,29,103,122,24,20,2,2,0,18,10,16,0,32,1,1,1,1,14,1,0.233009708,10767
2011,Lane Adams,KCR,R,21,4,14,20,5,2,3,0,0,5,1,3,0,4,1,0,0,0,0,1,0.357142857,10767
2009,Jake Dunning,SFG,R,20,23,88,91,20,15,3,2,0,11,11,1,0,19,1,0,1,2,3,2,0.227272727,10803
2015,Rangel Ravelo,OAK,R,23,9,25,36,9,5,3,1,0,7,7,7,1,3,3,0,0,0,1,0,0.36,10839
2012,Christian Colon,KCR,R,23,7,22,27,8,5,3,0,0,6,4,4,0,0,1,0,0,0,1,1,0.363636363,11145
2011,Tommy Medica,SDP,R,23,6,23,28,9,6,2,0,1,8,6,4,0,3,0,1,0,0,0,0,0.391304347,11147
2010,Jesus Aguilar,CLE,R,20,29,112,123,29,19,2,1,7,15,22,5,0,33,2,4,0,4,1,1,0.258928571,11342
2010,Yasmani Grandal,CIN,R,21,8,28,33,8,7,1,0,0,4,1,4,0,4,1,0,0,0,0,1,0.285714285,11368
2010,Ronald Torreyes,CIN,R,17,18,83,89,29,20,7,1,1,13,11,1,0,5,3,0,2,1,2,2,0.34939759,11400
2010,Kyle Waldrop,CIN,R,18,7,28,29,6,5,1,0,0,1,1,1,0,9,0,0,0,0,0,0,0.214285714,11402
2010,Gary Brown,SFG,R,21,6,22,27,4,3,1,0,0,6,0,4,0,5,1,0,0,0,2,0,0.181818181,11464
2010,Tony Wolters,CLE,R,18,5,19,21,4,4,0,0,0,2,3,2,0,5,0,0,0,0,2,0,0.210526315,11470
2010,Odubel Herrera,TEX,R,18,48,178,200,60,49,7,4,0,33,31,16,0,27,2,2,2,3,8,5,0.337078651,11476
2010,Kaleb Cowart,LAA,R,18,6,21,22,3,3,0,0,0,0,4,0,0,6,0,1,0,0,0,0,0.142857142,11494
2010,Christian Villanueva,TEX,R,19,51,188,210,59,42,14,1,2,30,35,13,0,42,4,3,2,5,6,2,0.313829787,11738
2010,Drew Robinson,TEX,R,18,44,140,170,40,32,6,2,0,26,11,26,1,41,3,1,0,2,6,3,0.285714285,11761
