Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2011,Chris Owings,ARI,A+,19,121,521,555,128,82,29,6,11,67,50,15,0,130,7,4,8,5,10,4,0.245681381,10030
2012,Chris Owings,ARI,A+,20,59,241,257,78,49,16,2,11,51,24,13,0,63,2,1,0,3,8,3,0.323651452,10030
2009,Grant Green,OAK,A+,21,5,19,20,6,5,1,0,0,2,3,1,0,5,0,0,0,1,1,0,0.315789473,10053
2010,Grant Green,OAK,A+,22,131,548,606,174,109,39,6,20,107,87,38,2,117,7,10,3,14,9,5,0.317518248,10053
2011,Max Stassi,OAK,A+,20,31,121,139,28,20,6,0,2,22,19,16,0,22,2,0,0,4,1,1,0.231404958,10059
2012,Max Stassi,OAK,A+,21,84,314,360,84,51,18,0,15,48,45,27,0,83,8,11,0,5,3,1,0.267515923,10059
2010,Jonathan Villar,HOU,A+,19,32,129,143,29,18,6,2,3,18,19,12,0,50,1,1,0,2,7,2,0.224806201,10071
2011,Jonathan Villar,HOU,A+,20,47,174,207,45,30,7,4,4,26,26,25,0,56,2,3,3,0,20,6,0.258620689,10071
2012,Donald Lutz,CIN,A+,23,63,253,277,67,29,18,3,17,42,51,19,5,71,4,1,0,4,7,2,0.264822134,10154
2010,Mike Trout,LAA,A+,18,50,196,233,60,45,9,2,4,30,19,27,1,33,1,3,5,2,11,6,0.306122448,10155
2011,Nick Franklin,SEA,A+,20,64,258,297,71,51,10,5,5,50,20,31,0,56,2,1,5,3,13,1,0.275193798,10166
2012,Billy Hamilton,CIN,A+,21,82,337,392,109,81,18,9,1,79,30,50,1,70,2,1,2,2,104,21,0.323442136,10199
2012,Tucker Barnhart,CIN,A+,21,59,198,231,55,38,12,1,4,26,22,29,0,45,1,1,2,4,0,2,0.277777777,10200
2011,Randal Grichuk,LAA,A+,19,14,53,57,15,8,4,2,1,13,6,0,0,13,3,1,0,1,0,0,0.283018867,10243
2012,Randal Grichuk,LAA,A+,20,135,537,575,160,103,30,9,18,79,71,23,3,92,9,4,2,10,16,6,0.297951582,10243
2010,Brandon Belt,SFG,A+,22,77,269,333,103,61,28,4,10,62,62,58,3,50,3,3,0,1,18,7,0.382899628,10264
2011,Hector Sanchez,SFG,A+,21,52,212,228,64,38,14,1,11,31,58,11,1,49,2,3,0,3,0,1,0.301886792,10289
2012,Rafael Ortega,COL,A+,21,114,495,556,140,101,23,8,8,81,60,46,1,93,4,7,4,8,36,18,0.282828282,10323
2011,Rey Fuentes,SDP,A+,20,124,510,573,140,111,15,9,5,84,45,44,2,117,9,1,9,1,41,14,0.274509803,10329
2012,Domingo Santana,HOU,A+,19,119,457,525,138,83,26,6,23,87,97,55,0,148,9,4,0,10,7,1,0.301969365,10348
2011,Tommy Joseph,SFG,A+,19,127,514,560,139,82,33,2,22,80,95,29,0,102,9,7,1,18,1,0,0.270428015,10349
2011,Jon Singleton,HOU,A+,19,35,129,148,43,29,9,1,4,20,16,14,1,40,3,2,0,3,0,0,0.333333333,10441
2012,Enrique Hernandez,HOU,A+,20,100,378,411,104,67,25,7,5,52,49,22,0,43,3,3,5,9,4,2,0.275132275,10472
2011,Rocky Gale,SDP,A+,23,27,71,84,10,9,1,0,0,7,10,7,0,12,2,1,3,0,0,1,0.14084507,10533
2012,Rocky Gale,SDP,A+,24,14,50,52,9,7,1,0,1,3,6,1,0,8,0,0,1,3,1,0,0.18,10533
2011,Rico Noel,SDP,A+,22,32,100,116,21,17,2,2,0,19,6,13,0,19,2,0,1,0,12,1,0.21,10585
2012,Rico Noel,SDP,A+,23,134,514,597,139,123,14,2,0,79,30,62,2,151,8,1,8,5,90,23,0.270428015,10585
2012,Carlos Perez,HOU,A+,21,26,88,97,28,21,6,1,0,11,10,6,0,17,1,0,2,4,0,1,0.318181818,10642
2011,Ryan LaMarre,CIN,A+,22,117,445,504,124,98,17,3,6,78,47,42,1,97,8,6,2,8,52,14,0.278651685,10700
2016,Arismendy Alcantara,OAK,A+,24,6,26,27,8,3,3,1,1,4,8,1,0,9,0,0,0,0,0,0,0.307692307,10711
2012,Corey Dickerson,COL,A+,23,60,240,270,81,44,24,4,9,43,43,25,5,42,1,4,0,3,9,5,0.3375,10762
2011,Jedd Gyorko,SDP,A+,22,81,340,382,124,69,35,2,18,78,74,38,4,64,2,2,0,6,11,3,0.364705882,10816
2008,Darren Ford,SFG,A+,22,38,128,155,28,23,4,1,0,21,7,23,1,42,2,0,2,1,14,1,0.21875,109
2009,Darren Ford,SFG,A+,23,101,380,441,114,79,17,9,9,81,50,49,1,97,6,3,3,4,35,12,0.3,109
2012,Adam Duvall,SFG,A+,23,134,534,598,138,80,24,4,30,101,100,47,0,116,10,6,1,18,8,2,0.258426966,10950
2014,Colin Walsh,OAK,A+,24,6,24,30,10,8,1,0,1,7,4,6,0,6,0,0,0,1,1,0,0.416666666,10961
2011,Tommy Medica,SDP,A+,23,42,139,175,42,26,10,0,6,21,17,25,1,32,10,1,0,4,0,1,0.302158273,11147
2012,Tommy Medica,SDP,A+,24,93,355,406,117,56,37,5,19,65,87,41,1,86,7,3,0,8,1,1,0.329577464,11147
2011,Josh Rutledge,COL,A+,22,113,460,523,160,109,33,9,9,91,71,41,1,91,12,2,8,5,16,3,0.347826086,11167
2011,Kole Calhoun,LAA,A+,23,133,512,594,166,102,36,6,22,94,99,73,3,96,4,4,1,10,20,10,0.32421875,11200
2011,Adam Eaton,ARI,A+,22,65,244,301,81,57,15,3,6,54,39,42,0,41,14,1,0,2,24,8,0.331967213,11205
2013,Adam Eaton,ARI,A+,24,15,53,64,17,13,3,0,1,12,6,10,0,6,1,0,0,2,8,1,0.320754716,11205
2012,Mike Freeman,ARI,A+,24,135,537,610,166,134,24,5,3,91,59,60,1,88,2,5,6,3,30,4,0.309124767,11241
2013,Jabari Blash,SEA,A+,23,80,283,332,73,38,16,3,16,42,53,40,0,85,6,3,0,9,14,8,0.25795053,11247
2011,Yasmani Grandal,CIN,A+,22,56,206,251,61,37,14,0,10,47,40,41,0,57,1,3,0,6,0,0,0.296116504,11368
2011,Michael Choice,OAK,A+,21,118,467,542,133,74,28,1,30,79,82,61,2,134,10,4,0,9,9,5,0.284796573,11376
2012,Delino DeShields,HOU,A+,19,24,97,114,23,16,2,3,2,17,9,13,0,23,2,1,1,1,18,5,0.237113402,11379
