Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2011,Christian Bethancourt,ATL,A+,19,45,166,175,45,38,6,0,1,11,20,3,0,35,0,4,2,5,3,2,0.271084337,10028
2010,Wil Myers,KCR,A+,19,58,205,247,71,47,18,2,4,28,38,37,1,39,4,1,0,5,2,3,0.346341463,10047
2012,Tomas Telis,TEX,A+,21,117,450,483,111,82,24,1,4,45,43,16,2,53,7,3,7,18,9,2,0.246666666,10067
2013,Adrian Nieto,WSN,A+,23,110,390,452,111,70,29,1,11,68,53,53,1,82,4,4,1,7,4,2,0.284615384,10294
2011,Eury Perez,WSN,A+,21,119,424,465,120,108,9,2,1,54,41,22,1,63,3,5,11,4,45,15,0.283018867,10299
2014,Eury Perez,WSN,A+,24,9,28,33,9,7,1,0,1,6,4,3,0,4,0,0,2,0,6,1,0.321428571,10299
2013,Mike Ohlman,BAL,A+,22,100,361,424,113,67,29,4,13,61,53,56,2,93,5,2,0,11,5,0,0.31301939,10347
2012,Cheslor Cuthbert,KCR,A+,19,124,474,517,115,89,19,0,7,47,60,38,0,79,2,3,0,8,6,3,0.242616033,10473
2013,Cheslor Cuthbert,KCR,A+,20,60,225,254,63,38,21,2,2,32,31,27,0,37,0,2,0,8,1,2,0.28,10473
2011,Joey Terdoslavich,ATL,A+,22,131,483,536,138,64,52,2,20,72,82,41,4,107,4,8,0,7,2,0,0.285714285,10593
2011,Bryce Brentz,BOS,A+,22,75,288,321,79,44,15,1,19,48,58,26,2,80,3,4,0,8,1,1,0.274305555,10607
2012,David Freitas,WSN,A+,23,78,273,321,74,47,22,0,5,37,46,39,1,52,7,2,0,10,0,0,0.271062271,10619
2011,Zach Walters,WSN,A+,21,30,116,126,34,26,7,1,0,15,11,8,0,33,0,1,1,0,7,1,0.293103448,10622
2012,Zach Walters,WSN,A+,22,54,193,207,52,38,8,1,5,24,24,10,1,43,1,3,0,2,6,3,0.269430051,10622
2012,Gio Urshela,CLE,A+,20,114,438,475,122,77,30,1,14,50,59,16,0,61,7,8,6,17,1,1,0.278538812,10681
2011,Mike Olt,TEX,A+,22,69,240,292,64,35,15,0,14,39,42,48,1,70,1,3,0,7,0,1,0.266666666,10698
2010,Ryan LaMarre,CIN,A+,21,8,27,29,6,3,2,0,1,2,3,2,0,4,0,0,0,0,1,1,0.222222222,10700
2012,Lane Adams,KCR,A+,22,68,262,285,63,46,10,1,6,37,25,21,0,64,2,0,0,8,8,4,0.240458015,10767
2013,Lane Adams,KCR,A+,23,87,323,370,89,57,23,2,7,56,39,43,2,66,2,2,0,2,23,6,0.275541795,10767
2011,Tyler Saladino,CHW,A+,21,102,397,464,107,56,26,9,16,75,55,51,1,90,9,3,4,9,7,7,0.26952141,10807
2011,Todd Cunningham,ATL,A+,22,87,334,386,86,66,12,4,4,59,20,33,0,47,14,1,4,7,14,6,0.257485029,10822
2013,Rangel Ravelo,CHW,A+,21,84,301,347,94,61,27,2,4,43,53,40,1,46,2,3,1,5,4,1,0.312292358,10839
2011,Andrelton Simmons,ATL,A+,21,131,517,570,161,119,35,6,1,69,52,29,2,43,6,6,12,12,26,18,0.311411992,10847
2011,Jared Hoying,TEX,A+,22,116,420,484,99,63,27,4,5,50,45,45,1,98,9,2,8,3,10,9,0.235714285,10882
2012,Jared Hoying,TEX,A+,23,58,218,248,60,42,12,2,4,37,17,21,4,53,5,0,4,0,8,4,0.275229357,10882
2011,Ryan Strausborger,TEX,A+,23,126,488,559,132,86,29,9,8,71,57,45,1,91,15,5,6,5,31,12,0.270491803,10937
2011,Phil Gosselin,ATL,A+,22,115,424,484,112,76,24,6,6,60,63,37,1,76,5,9,9,6,6,2,0.264150943,10953
2010,Phil Gosselin,ATL,A+,21,6,26,26,4,2,1,1,0,2,0,0,0,7,0,0,0,0,0,0,0.153846153,10953
2010,Christian Colon,KCR,A+,21,60,245,271,68,51,12,2,3,38,30,13,1,33,6,3,4,7,2,4,0.27755102,11145
2012,Brett Nicholas,TEX,A+,23,122,449,507,128,86,34,0,8,50,63,44,3,84,6,8,0,8,5,1,0.285077951,11192
2011,Andy Wilkins,CHW,A+,22,134,493,556,137,81,33,0,23,72,89,56,0,91,0,4,3,11,2,2,0.277890466,11251
2010,Jonathan Schoop,BAL,A+,18,6,21,22,5,2,3,0,0,5,3,1,0,4,0,0,0,2,0,0,0.238095238,11265
2011,Jonathan Schoop,BAL,A+,19,77,299,329,81,62,12,2,5,37,37,22,1,44,4,0,4,4,6,3,0.27090301,11265
2011,Whit Merrifield,KCR,A+,22,126,477,547,125,87,30,3,5,74,36,52,0,89,4,4,10,8,24,14,0.262054507,11281
2012,Whit Merrifield,KCR,A+,23,101,380,439,96,65,20,3,8,59,36,41,0,70,4,5,9,11,25,4,0.252631578,11281
2007,Steven Lerud,PIT,A+,22,84,287,328,58,36,17,1,4,27,31,31,1,63,9,1,0,11,3,2,0.202090592,113
2008,Steven Lerud,PIT,A+,23,67,235,273,60,38,14,0,8,36,39,26,1,65,8,4,0,4,1,1,0.255319148,113
2012,Adrian Sanchez,WSN,A+,21,101,375,400,101,75,20,3,3,46,32,11,0,59,5,1,8,12,25,16,0.269333333,11338
2013,Adrian Sanchez,WSN,A+,22,120,428,463,103,84,14,4,1,43,42,17,1,61,6,2,10,11,8,4,0.240654205,11338
2014,Adrian Sanchez,WSN,A+,23,29,96,106,26,22,3,1,0,6,9,5,0,14,2,3,0,2,4,1,0.270833333,11338
2015,Adrian Sanchez,WSN,A+,24,19,67,73,23,17,5,0,1,10,6,5,2,6,0,0,1,2,5,1,0.343283582,11338
2012,Jesus Aguilar,CLE,A+,22,107,367,427,102,63,25,2,12,64,58,45,2,90,10,5,0,7,0,1,0.277929155,11342
2011,Jesus Aguilar,CLE,A+,21,31,113,124,29,22,3,0,4,12,13,11,0,28,0,0,0,1,1,0,0.256637168,11342
2008,Carlos Rivero,CLE,A+,20,108,411,455,116,80,27,1,8,46,64,36,0,84,3,3,2,12,1,2,0.282238442,1136
2012,Brett Eibner,KCR,A+,23,120,423,486,82,37,25,5,15,60,52,57,0,164,5,0,1,3,5,2,0.193853427,11369
2012,Tyler Holt,CLE,A+,23,81,315,362,83,66,10,7,0,48,22,39,0,62,4,0,4,4,16,8,0.263492063,11391
