Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2009,Christian Bethancourt,ATL,R,17,32,116,131,33,21,9,1,2,22,19,11,0,22,1,3,0,4,7,0,0.284482758,10028
2009,Jonathan Villar,PHI,R,18,31,94,111,26,18,7,1,0,14,14,13,0,24,1,2,1,1,11,2,0.276595744,10071
2008,Donald Lutz,CIN,R,19,34,108,120,27,17,9,0,1,22,19,9,0,21,2,1,0,2,4,1,0.25,10154
2009,Donald Lutz,CIN,R,20,16,59,65,10,6,1,2,1,9,10,5,0,14,1,0,0,3,2,1,0.169491525,10154
2009,Billy Hamilton,CIN,R,18,43,166,180,34,25,6,3,0,19,11,11,0,47,0,1,2,0,14,3,0.204819277,10199
2009,Tucker Barnhart,CIN,R,18,14,48,55,10,8,2,0,0,5,6,6,1,9,0,1,0,1,0,0,0.208333333,10200
2008,Francisco Arcia,NYY,R,18,22,47,53,6,4,1,0,1,5,2,2,0,6,2,1,1,3,0,1,0.127659574,10286
2009,Francisco Arcia,NYY,R,19,31,97,112,24,15,7,0,2,10,13,11,0,16,2,2,0,4,0,0,0.24742268,10286
2008,Adrian Nieto,WSN,R,18,8,23,26,5,2,3,0,0,1,3,2,0,7,1,0,0,0,0,0,0.217391304,10294
2009,Adrian Nieto,WSN,R,19,42,136,163,31,24,6,1,0,22,17,20,1,30,4,3,0,5,1,2,0.227941176,10294
2012,Adrian Nieto,WSN,R,22,8,26,31,4,2,1,0,1,3,3,5,0,7,0,0,0,1,0,0,0.153846153,10294
2009,Eury Perez,WSN,R,19,47,181,205,69,58,3,5,3,38,24,15,0,20,5,0,4,3,16,8,0.381215469,10299
2012,Eury Perez,WSN,R,22,5,22,23,9,8,1,0,0,4,2,1,0,0,0,0,0,1,5,0,0.409090909,10299
2009,Oswaldo Arcia,MIN,R,18,44,167,187,46,28,11,2,5,20,24,15,0,18,2,3,0,3,8,0,0.275449101,10306
2008,Danny Ortiz,MIN,R,18,48,186,205,51,33,11,5,2,22,27,11,1,30,5,2,1,3,4,0,0.274193548,10317
2009,Danny Santana,MIN,R,18,44,170,185,45,30,7,5,3,30,25,8,0,27,2,2,3,2,12,1,0.264705882,10322
2009,Marcell Ozuna,FLA,R,18,55,214,244,67,40,22,0,5,32,39,22,1,52,3,5,0,3,4,2,0.313084112,10324
2009,Ramon Cabrera,PIT,R,19,37,127,147,37,24,11,1,1,15,16,16,1,16,1,1,2,4,2,1,0.291338582,10327
2009,Rey Fuentes,BOS,R,18,40,145,159,42,33,6,2,1,16,14,7,1,24,3,2,2,3,9,5,0.289655172,10329
2012,Slade Heathcott,NYY,R,21,5,17,22,4,2,2,0,0,3,2,5,0,4,0,0,0,0,2,0,0.235294117,10336
2009,Gift Ngoepe,PIT,R,19,47,160,193,38,33,4,0,1,24,9,21,0,52,4,0,8,2,13,9,0.2375,10340
