Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2013,Francisco Arcia,NYY,A+,23,36,129,147,30,24,3,1,2,16,12,12,1,24,4,0,2,5,1,0,0.232558139,10286
2011,Oswaldo Arcia,MIN,A+,20,59,213,227,56,32,14,2,8,27,32,9,0,53,3,2,0,3,1,1,0.262910798,10306
2012,Oswaldo Arcia,MIN,A+,21,55,207,235,64,38,16,3,7,22,31,23,2,45,1,3,1,3,1,3,0.309178743,10306
2012,Danny Ortiz,MIN,A+,22,97,375,405,101,64,24,5,8,55,35,22,1,67,3,2,3,10,4,4,0.269333333,10317
2012,Danny Santana,MIN,A+,21,121,507,547,145,107,21,9,8,70,60,29,2,77,5,3,3,4,17,11,0.285996055,10322
2012,Marcell Ozuna,MIA,A+,21,129,489,539,130,77,27,2,24,89,95,44,0,116,3,3,0,10,8,3,0.26584867,10324
2011,Ramon Cabrera,PIT,A+,21,92,327,379,112,80,25,4,3,46,53,38,4,29,4,7,3,9,5,1,0.342507645,10327
2012,Slade Heathcott,NYY,A+,21,60,215,243,66,43,16,2,5,38,27,20,0,66,5,1,2,1,17,4,0.306976744,10336
2011,Scooter Gennett,MIL,A+,21,134,556,601,167,132,20,6,9,74,51,27,0,69,4,6,8,9,11,10,0.300359712,10339
2012,Gift Ngoepe,PIT,A+,22,124,457,539,106,81,11,5,9,66,36,63,1,130,5,3,11,5,22,14,0.231947483,10340
2013,Gift Ngoepe,PIT,A+,23,28,96,123,28,18,7,3,0,17,6,21,1,35,1,0,5,0,7,1,0.291666666,10340
2011,John Ryan Murphy,NYY,A+,20,23,85,89,22,15,6,0,1,8,14,2,0,9,0,2,0,2,0,0,0.258823529,10346
2012,John Ryan Murphy,NYY,A+,21,67,265,294,68,48,14,1,5,39,28,26,0,41,0,1,2,12,4,3,0.256603773,10346
2013,Tommy Joseph,PHI,A+,21,11,42,42,4,2,2,0,0,0,1,0,0,13,0,0,0,1,0,0,0.095238095,10349
2010,Daniel Fields,DET,A+,19,109,375,438,90,63,13,6,8,33,47,55,2,119,5,2,1,6,8,9,0.24,10390
2011,Daniel Fields,DET,A+,20,124,432,495,95,69,14,4,8,57,46,49,0,133,7,2,5,9,4,4,0.219907407,10390
2012,Daniel Fields,DET,A+,21,62,244,267,65,49,11,4,1,31,26,19,1,55,1,3,0,5,14,7,0.266393442,10390
2010,Wilfredo Tovar,NYM,A+,18,30,118,124,29,23,5,1,0,14,6,3,1,22,2,0,1,2,4,3,0.245762711,10416
2012,Wilfredo Tovar,NYM,A+,20,65,218,256,62,43,17,1,1,31,23,29,0,17,4,1,4,8,12,7,0.284403669,10416
2014,Wilfredo Tovar,NYM,A+,22,5,17,23,6,3,2,1,0,2,4,4,1,1,2,0,0,1,2,0,0.352941176,10416
2011,Jon Singleton,PHI,A+,19,93,320,382,91,68,14,0,9,48,47,56,2,83,1,5,0,11,3,3,0.284375,10441
2010,Adeiny Hechavarria,TOR,A+,21,41,161,167,31,20,7,3,1,21,7,5,0,25,0,0,1,4,7,0,0.192546583,10459
2007,Danny Dorn,CIN,A+,22,92,338,387,95,61,21,1,12,49,66,32,2,69,12,5,0,5,3,1,0.281065088,1050
2008,Danny Dorn,CIN,A+,23,5,20,21,5,2,2,0,1,3,3,1,0,8,0,0,0,1,0,0,0.25,1050
2012,Derek Dietrich,TBR,A+,22,97,369,413,104,65,21,8,10,49,57,25,1,78,11,5,3,6,4,2,0.281842818,10542
2011,Cesar Hernandez,PHI,A+,21,119,421,452,113,98,7,4,4,47,37,23,1,80,1,2,5,12,23,10,0.268408551,10556
2011,Rob Brantly,DET,A+,21,39,146,155,32,23,6,0,3,16,18,5,0,17,0,4,0,4,0,0,0.219178082,10655
2012,Arismendy Alcantara,CHC,A+,20,85,331,359,100,73,13,7,7,47,51,19,0,61,2,5,2,5,25,4,0.302114803,10711
2012,Cody Stanley,STL,A+,23,45,157,170,44,32,8,1,3,11,35,6,0,32,1,6,0,2,1,0,0.280254777,10838
2013,Cody Stanley,STL,A+,24,23,84,90,19,15,1,2,1,7,11,2,0,17,2,2,0,0,0,1,0.226190476,10838
2007,Darren Ford,MIL,A+,21,72,273,317,63,51,7,1,4,46,27,35,0,67,1,3,5,1,36,6,0.23076923,109
2008,Darren Ford,MIL,A+,22,91,343,401,79,61,13,3,2,57,27,46,1,88,2,3,7,4,48,11,0.230320699,109
2011,Greg Garcia,STL,A+,21,59,210,257,61,43,11,5,2,36,16,31,1,42,8,1,7,3,4,4,0.29047619,10951
2013,Colin Walsh,STL,A+,23,94,351,412,92,62,20,6,4,59,34,58,1,68,2,0,1,9,11,1,0.262108262,10961
2012,Kevin Kiermaier,TBR,A+,22,57,177,212,46,33,7,6,0,16,12,26,0,38,2,0,7,1,10,4,0.259887005,11038
2012,Cameron Rupp,PHI,A+,23,104,344,390,93,60,22,1,10,32,49,40,0,76,2,2,2,9,0,0,0.270348837,11146
2011,Elliot Soto,CHC,A+,21,25,81,91,25,23,2,0,0,14,5,4,0,12,1,1,4,1,1,0,0.308641975,11155
2012,Elliot Soto,CHC,A+,22,9,26,28,6,4,2,0,0,3,1,2,0,2,0,0,0,0,0,1,0.23076923,11155
2013,Elliot Soto,CHC,A+,23,39,135,162,33,25,8,0,0,14,18,17,0,24,3,5,2,3,2,1,0.244444444,11155
2010,Ramon Flores,NYY,A+,18,8,28,28,7,7,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0.25,11165
2012,Ramon Flores,NYY,A+,20,131,517,583,156,114,29,7,6,83,39,54,1,85,5,5,2,4,24,9,0.301740812,11165
2011,Matt Szczur,CHC,A+,21,43,173,182,45,31,7,2,5,20,19,5,0,20,1,1,2,2,7,0,0.260115606,11255
2012,Matt Szczur,CHC,A+,22,78,295,352,87,62,19,4,2,68,34,47,1,50,4,4,2,2,38,12,0.294915254,11255
2013,Aaron Altherr,PHI,A+,22,123,466,527,128,74,36,6,12,57,69,45,0,140,3,8,5,7,23,5,0.274678111,11270
2014,Aaron Altherr,PHI,A+,23,7,28,33,7,4,1,2,0,6,2,5,0,8,0,0,0,0,1,0,0.25,11270
2010,Bryan Holaday,DET,A+,22,44,159,188,35,24,8,0,3,14,12,21,2,43,7,1,0,2,0,0,0.220125786,11287
2012,Jake Marisnick,TOR,A+,21,65,266,306,70,39,18,7,6,41,35,26,0,55,10,2,2,1,10,5,0.263157894,11339
2012,Drew Maggi,PIT,A+,23,53,193,231,46,36,8,1,1,34,28,31,1,47,2,1,4,1,17,3,0.238341968,11381
2011,Matthew den Dekker,NYM,A+,23,67,267,302,79,46,19,8,6,54,36,24,0,65,5,2,4,3,12,5,0.295880149,11385
2012,Ronald Torreyes,CHC,A+,19,115,421,474,111,77,23,5,6,62,47,32,1,29,10,6,5,2,13,4,0.263657957,11400
2012,Gary Sanchez,NYY,A+,19,48,172,185,48,32,10,1,5,21,29,10,0,41,3,0,0,2,4,0,0.279069767,11442
2013,Gary Sanchez,NYY,A+,20,94,362,399,92,58,21,0,13,38,61,28,1,71,5,4,0,8,3,1,0.254143646,11442
2012,Mark Canha,MIA,A+,23,114,406,478,119,86,24,3,6,65,68,54,2,75,9,8,1,6,1,3,0.293103448,11445
2011,Rob Segedin,NYY,A+,22,52,188,207,46,39,4,1,2,32,21,15,0,40,3,0,1,5,4,1,0.244680851,11446
2012,Rob Segedin,NYY,A+,23,73,290,326,86,57,21,1,7,44,41,29,2,53,3,4,0,2,9,4,0.296551724,11446
2012,Dixon Machado,DET,A+,20,118,417,486,81,62,16,1,2,58,37,51,0,60,1,1,16,14,23,5,0.194244604,11472
2013,Dixon Machado,DET,A+,21,37,149,163,32,24,5,2,1,19,12,10,1,19,0,0,4,6,1,0,0.2147651,11472
2014,Dixon Machado,DET,A+,22,41,159,187,40,30,8,1,1,30,8,23,0,34,1,1,3,5,2,1,0.251572327,11472
2012,Christian Yelich,MIA,A+,20,106,397,447,131,85,29,5,12,76,48,49,2,85,0,0,1,10,20,6,0.329974811,11477
2013,Christian Yelich,MIA,A+,21,7,26,30,6,4,0,0,2,3,4,4,0,8,0,0,0,1,0,0,0.23076923,11477
2014,Willson Contreras,CHC,A+,22,80,281,317,68,47,14,2,5,40,37,28,0,66,5,2,1,6,5,5,0.241992882,11609
2007,Chris Valaika,CIN,A+,21,57,217,241,55,43,9,1,2,26,23,13,0,42,6,3,2,7,0,3,0.253456221,1165
2008,Chris Valaika,CIN,A+,22,32,135,145,49,33,9,0,7,20,31,7,0,28,1,2,0,4,2,0,0.362962962,1165
2013,Elias Diaz,PIT,A+,22,57,183,220,51,35,12,2,2,30,15,31,0,33,1,2,3,3,4,4,0.278688524,11680
2012,Nick Castellanos,DET,A+,20,55,215,243,87,64,17,3,3,37,32,22,1,42,3,3,0,5,3,2,0.404651162,11737
