Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2010,Chris Owings,ARI,A,18,62,255,271,76,50,19,2,5,39,28,9,0,50,2,3,2,7,1,3,0.298039215,10030
2010,Wil Myers,KCR,A,19,68,242,294,70,40,19,1,10,42,45,48,0,55,2,2,0,4,10,3,0.289256198,10047
2010,Max Stassi,OAK,A,19,110,411,465,94,59,21,1,13,54,51,45,1,141,5,3,1,12,3,3,0.228710462,10059
2011,Donald Lutz,CIN,A,22,123,465,506,140,94,23,3,20,85,75,34,4,125,7,0,0,8,5,4,0.301075268,10154
2009,Mike Trout,LAA,A,17,5,15,20,4,4,0,0,0,1,0,4,0,6,0,0,1,0,0,0,0.266666666,10155
2010,Mike Trout,LAA,A,18,81,312,368,113,81,19,7,6,76,39,46,2,52,7,1,2,1,45,9,0.362179487,10155
2010,Nick Franklin,SEA,A,19,129,513,574,144,92,22,7,23,89,65,50,4,123,7,2,2,4,25,10,0.280701754,10166
2011,Billy Hamilton,CIN,A,20,135,550,610,153,123,18,9,3,99,50,52,0,133,1,3,4,5,103,20,0.278181818,10199
2011,Tucker Barnhart,CIN,A,20,97,326,372,89,60,24,2,3,47,43,37,0,59,1,5,3,9,2,1,0.273006134,10200
2010,Randal Grichuk,LAA,A,18,52,202,214,59,29,19,4,7,41,36,9,0,50,2,1,0,2,4,0,0.292079207,10243
2011,Randal Grichuk,LAA,A,19,32,122,131,28,15,7,4,2,12,13,6,0,29,1,2,0,1,0,1,0.229508196,10243
2011,Oswaldo Arcia,MIN,A,20,20,71,81,25,11,8,1,5,18,18,9,0,16,0,1,0,1,2,2,0.352112676,10306
2011,Danny Ortiz,MIN,A,21,129,468,514,112,65,33,4,10,58,71,37,2,96,2,6,1,7,7,5,0.239316239,10317
2012,Danny Ortiz,MIN,A,22,22,87,94,26,20,4,0,2,8,13,4,0,15,1,0,2,2,3,4,0.298850574,10317
