Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2011,Wil Myers,KCR,AA,20,99,354,416,90,58,23,1,8,50,49,52,1,87,4,4,2,16,9,2,0.254237288,10047
2012,Wil Myers,KCR,AA,21,35,134,152,46,21,11,1,13,32,30,16,0,42,1,1,0,4,4,1,0.343283582,10047
2011,Grant Green,OAK,AA,23,127,530,587,154,111,33,1,9,76,62,39,2,119,6,6,6,14,6,8,0.290566037,10053
2013,Max Stassi,HOU,AA,22,76,289,323,80,42,20,1,17,40,60,19,1,68,8,5,2,11,1,1,0.276816608,10059
2013,Tomas Telis,TEX,AA,22,91,348,369,92,69,19,0,4,32,43,10,1,46,4,4,3,13,8,2,0.264367816,10067
2014,Tomas Telis,TEX,AA,23,70,267,295,81,61,16,2,2,31,33,17,1,29,1,7,3,14,7,1,0.303370786,10067
2011,Jonathan Villar,HOU,AA,20,83,324,367,75,47,16,2,10,52,26,29,0,100,4,2,8,2,14,6,0.231481481,10071
2012,Jonathan Villar,HOU,AA,21,86,326,377,85,65,7,2,11,54,50,35,1,87,4,4,8,2,39,8,0.260736196,10071
2011,Mike Trout,LAA,AA,19,91,353,412,115,73,18,13,11,82,38,45,1,76,9,1,4,2,33,10,0.325779036,10155
2013,Randal Grichuk,LAA,AA,21,128,500,542,128,71,27,8,22,85,64,28,2,92,9,3,2,10,9,5,0.256,10243
2013,Rafael Ortega,COL,AA,22,42,158,178,36,29,4,2,1,22,10,19,0,26,1,0,0,3,9,4,0.227848101,10323
2014,Rafael Ortega,STL,AA,23,101,358,414,89,71,8,3,7,56,31,45,1,57,1,4,6,4,16,10,0.248603351,10323
2012,Rey Fuentes,SDP,AA,21,136,473,541,103,75,20,4,4,53,34,52,1,133,6,3,7,2,35,9,0.217758985,10329
2013,Rey Fuentes,SDP,AA,22,93,345,403,109,80,21,2,6,56,35,41,2,71,6,2,9,2,29,10,0.315942028,10329
2014,Rey Fuentes,SDP,AA,23,42,170,194,55,43,6,2,4,25,17,16,1,37,2,1,5,1,12,1,0.323529411,10329
2015,Mike Ohlman,STL,AA,24,103,366,417,100,71,17,0,12,53,69,46,2,77,2,2,1,10,0,1,0.273224043,10347
2013,Domingo Santana,HOU,AA,20,112,416,476,105,55,23,2,25,72,64,46,1,139,13,1,0,7,12,5,0.252403846,10348
2012,Jon Singleton,HOU,AA,20,131,461,555,131,79,27,4,21,94,79,88,5,131,1,5,0,6,7,2,0.284164859,10441
2013,Jon Singleton,HOU,AA,21,11,38,48,10,5,2,1,2,5,8,9,0,16,0,1,0,0,0,0,0.263157894,10441
2012,Enrique Hernandez,HOU,AA,20,23,81,88,20,17,2,0,1,7,3,4,0,9,2,0,1,4,2,2,0.24691358,10472
