key_mlbam,key_fangraphs
472542,
572962,
533242,
456789,
664660,
670448,
808910,
692343,
491538,
458387,
830831,
458290,
444362,
605152,13166
445392,
801406,
110625,1000605
118336,1008165
809029,
450397,
685118,
477637,
111603,1001500
594972,
819924,
827445,
800935,
441829,
665999,
801244,
448516,
595105,
113051,1002986
702084,
437390,
453185,
111880,1001836
564205,
659162,
804704,
542167,
565455,
456063,
553885,
831462,
454294,
607981,
602728,
678417,
821822,
523249,
115817,1116
830840,
623297,
687479,
556994,
693242,
641492,
661436,
446663,
499543,
818638,
703126,
527042,
458200,
117263,1007111
633709,
465392,
490562,
451605,
810004,
808663,
122501,1012254
702990,
538195,
561554,
695805,
506771,
122925,1012667
606241,
117218,1007065
669751,
702071,
594987,11209
808360,
556306,
567569,
574729,
446956,
452796,
115724,1005611
691349,
446468,
219594,788
466058,
671122,
663602,
823142,
121937,1011683
691248,
572280,
117827,1007666
553832,
680911,24655
445944,
817436,
559069,
462525,
592821,
117740,1007585
500077,
699059,
438655,
475467,
545859,
407900,586
456096,
669242,19470
822026,
832109,
468867,
568800,
437692,
460588,
800425,
530789,
123254,1012982
455021,
818907,
657570,
477580,
528899,
446827,
818646,
462431,
684685,
569894,
430655,2221
111361,1001329
558879,
841145,
682064,
541635,
695726,
570655,
121259,1011012
836691,
663762,
491689,
576148,
835269,
817576,
449843,
703231,29891
461788,
836096,
814160,
506074,
554589,
660636,19906
466018,
473655,
446766,
699210,
819385,
621125,
684969,
832349,
672671,
469349,
116963,1006793
831334,
669327,
811733,
641988,
802704,
660699,
643248,
816106,
670439,
111391,1001352
466571,
444637,
444643,
110907,1000878
555084,
829064,
689302,
115869,1005748
472514,
542228,
436755,
687147,
119255,1009059
571922,
701577,
823409,
811952,
555710,
123267,1012964
457324,
110478,1000461
541080,
669319,
112952,1002888
459599,
123168,1012901
822364,
826509,
816194,
114307,1004225
122469,1012096
123087,1012823
807711,
561664,
488779,
571768,
503446,
665535,
112443,1002393
691497,
828554,
463183,
112040,1001992
454201,
474171,
815110,
121605,1011356
810924,
431088,
520828,
692429,
443683,
596044,
441714,
471689,
504187,
693233,
471375,
469529,
465050,
680900,
124589,1014267
807068,
115153,1005053
810104,
830331,
830409,
815461,
442957,
666038,
673308,
118729,1008547
815152,
441212,
686189,
569072,
679733,
641565,
560625,
699797,
832422,
805683,
489371,
464782,
444772,
683124,
113525,1003463
703608,
474126,
808368,
802719,
439444,
683530,
812750,
830597,
438264,
462710,
614183,
472653,
835300,
461113,
118394,1008214
695377,
693891,
453696,
817402,
571031,
818695,
452749,
122302,1012042
816448,
814144,
702571,
533192,
488979,
560006,
630052,
804850,
818458,
461582,
469598,
137203,1012120
557870,
446679,
700832,
643298,
651005,
592714,
439112,
667480,
684588,
804647,
829690,
830337,
642241,
475369,
573099,
570666,13345
445397,
111852,1001808
113320,1003256
453143,
123963,1013656
123602,1013312
542258,
678519,
607301,
118928,1008743
430963,4573
453402,
691947,
435757,
447723,
560018,
650527,
459627,
691784,
123847,1013541
570246,
442553,
124296,1013984
451789,
819800,
542893,
593774,
694744,
565219,
633956,
702359,
116533,1006398
685006,
622006,
446895,
642239,15094
688847,
117084,1006936
683571,
558897,
556729,
447093,
809754,
593938,
124568,1014240
804702,
113526,1003462
570795,
122044,1011787
690469,
122671,1012414
809343,
440106,
465336,
820942,
803099,
457826,5768
833402,
703086,
472722,
663681,
680447,
450573,
457946,
462156,
694828,
830822,
676914,23565
592402,
819103,
830159,
607530,
830536,
607314,
676485,
820284,
555184,
120783,1010550
699882,
641809,
678510,
538189,
819054,
473208,
676739,
475775,
820849,
694820,
823247,
469176,
815680,
457500,
812374,
438364,
682522,
282562,489
561447,
434670,8001
121701,1011448
121198,1010956
693538,
563650,
453711,
816319,
443604,
452086,
501991,
656485,
559472,
430896,
566155,
809273,
461816,
468632,
689955,
467975,
664572,
676514,
558281,
819113,
110472,1000452
446797,
457635,
819859,
675455,
819510,
117951,1007792
121564,1011321
695426,
643427,
571955,
642094,12490
700320,
545525,
116497,1006365
555904,
819697,
450160,
811297,
816518,
821637,
436443,
686816,
111982,1001938
119805,1009602
559139,
118137,1007963
451696,
443245,
531534,
688960,
488935,
562395,
684607,
608594,
694825,
438803,
115849,1005728
114941,1004849
558689,
437354,
806349,
448609,8280
465731,
800689,
526332,
818565,
493326,
346858,1629
459078,
692114,
111399,1001361
112566,1002509
568106,
621146,
682174,
703880,
117893,1007732
462228,
575588,
818536,
831784,
119053,1008864
659007,
832284,
444707,
456220,
118173,1007998
435882,
823319,
442744,
698911,
421684,1480
562728,
452350,
822701,
440875,
667656,
150034,1202
627489,
116617,1006494
455039,
700445,
556169,
673250,
119193,1009003
564455,
434705,2628
568654,
227495,1805
657490,
438281,
556103,
804609,
443638,
438675,
124538,1014225
462881,
502247,
684890,
526968,
446290,2858
657625,
560100,
682025,
818315,
566814,
694565,
462118,
542964,
499772,
824285,
830002,
120848,1010612
558548,
822319,
119205,1009013
529175,
622445,
801595,
808395,
607608,
122134,1011875
648739,
566030,
563734,
804268,
445849,
808152,
656708,
441003,
822452,
501869,3719
441322,
830278,
452093,
829033,
572277,
285064,1011
675657,
449158,
828142,
815158,
687351,
563087,
466427,
531156,
674671,
558954,
455742,
467009,
667423,
685899,
608660,
681296,
117006,1006859
459421,
660992,
561612,
683756,
560266,
686223,
533379,
460621,6026
694992,
826156,
533394,
650805,
451736,
832426,
702332,29646
666674,20589
457728,
132620,627
119257,1009061
688900,
822168,
702050,
543009,
819261,
449065,
676597,
815386,
533521,
124645,1014320
608690,
602108,
830598,
506627,
472122,
624398,
642554,
121848,1011597
463381,
650847,
440797,
596816,12963
122363,1012193
555119,
821679,
684399,
453883,
669159,
809741,
594483,
694048,
124100,1013792
681283,
676811,
567700,
117162,1007009
805651,
668759,
530679,
590291,
682776,
112438,1002385
817255,
458758,
116091,1005967
671103,
837716,
118140,1007968
531204,
110525,1000504
569260,
643206,
543220,
120515,1010297
666036,
668672,
466193,
841176,
456070,
606302,
839721,
678210,
452043,
695099,
442193,
683941,
450912,
440652,
831322,
446210,
656184,
676334,
803255,
813274,
543718,
534212,
686909,
821419,
703529,
701552,29542
819877,
703130,
547924,
443824,
592405,
828445,
443791,
457286,
454301,
673131,
690520,
122443,1012191
461114,
570661,
665185,
820711,
123056,1012791
492661,
502593,10534
702214,
118683,1008500
664180,18076
642706,
449332,
819309,
818726,
452660,
439095,
670868,
114369,1004287
444021,
572878,
441422,
454586,
806399,
830043,
831582,
112157,1002103
501189,
622178,
622762,
561902,
112365,1002267
668460,
702371,
826545,
520951,
683390,
500782,
435972,
801550,
621242,14710
400268,2324
437768,
120053,1009838
684421,
439164,
475755,
670032,19339
559339,
122587,1012332
556747,
627513,
820032,
608283,
699086,
673710,
554618,
687654,
439187,
605654,
572825,
673282,
450967,
518784,
649420,
660845,
441336,
816468,
666574,
815428,
805995,
110274,1000262
114017,1003953
800966,
669031,
502251,
681908,
436309,
442625,
514970,
119411,1009221
666713,
115124,1005028
443382,
584374,
518464,
528078,
435941,
556217,
456013,
467816,
695719,
453579,
836053,
473220,
452809,
519279,
444964,
120958,1010724
545575,
466812,
622270,13877
467971,
447767,
473337,
489122,
472606,
694648,
463547,
501755,
813617,
442472,
113674,1003609
541626,
693734,
831241,
670706,
445002,
118750,1008566
687775,
825690,
650368,
440789,
813554,
438952,
115912,1005787
667521,
663889,
117534,1007378
813686,
556068,
820177,
543722,
672415,
820005,
443621,
682733,
836162,
570806,
815042,
113220,1003157
459322,
672762,
518672,
693536,
644428,15570
827891,
450281,
819141,
467093,
439899,
807738,
605380,
115312,1005207
120361,1010133
642369,
470200,
473786,
531693,
441536,
819240,
673749,
832224,
488966,
664040,18882
121935,1011685
657715,
572940,
826186,
436589,
807797,
688305,
452785,
593940,
605448,
814835,
121080,1010843
557350,
446542,
446266,
470128,
599672,
678627,
453862,
124590,1014269
688538,
812436,
608034,
121840,1011578
681530,
518883,10529
124005,1013700
563579,
571723,
122003,1011748
440942,
808863,
665984,
660213,
561523,
114004,1003927
469891,
684243,
829701,
442807,
679779,
471038,
596001,13619
823285,
457202,
662107,
700806,
805917,
681747,
802573,
694127,
593576,11804
455485,
703672,
839116,
531244,
558809,
642617,
452703,
688262,
821291,
110726,1000707
681855,
467092,1433
800086,
457456,5559
685321,
657248,21366
444065,
452857,
564325,
572837,
458583,
674039,
543502,
599648,
670279,
115333,1005228
467449,
457574,2677
703186,
669937,
473718,
838617,
808323,
372174,
685487,
819687,
439126,
669329,
470335,
438762,
598624,
444892,
815328,
464553,
543744,6788
452747,
124755,457
563478,
543682,
806067,
451472,
695608,
815423,
445690,
493116,
830411,
121820,1011568
444800,
458167,
543153,
493634,
442101,
840210,
502522,8580
803431,
445926,5448
686918,
667276,
824183,
116199,1006072
468638,
112126,1002074
476765,
475339,
553857,
112339,1002269
113285,1003224
695745,
436707,
675981,
463832,
801911,
450627,
458835,
482637,
451109,4293
673067,
445482,
671129,
463967,
666933,
560172,
407870,1175
680234,
559770,
809926,
681838,
464976,
696100,29715
676275,
556723,
622809,
117668,1007516
444714,
558208,
457157,
643333,
694387,
642214,
828380,
819429,
833392,
830954,
438821,
115545,1005429
802389,
456183,
831277,
440551,
118985,1008797
822561,
699184,
436740,
455733,
117029,1006881
677128,
117368,1007214
817020,
527254,
565073,
681341,
469710,
457126,
121522,1011272
657732,
623376,
686543,
439868,
607199,
830258,
676147,
485876,
807163,
543061,
112703,1002640
