PlayerId,MLBAM_ID,Season,Level,Name,Chase%,Z-Contact%,PullAir%,Whiff%,OutsidePitches,OutsideSwings,InZonePitches,InZoneSwings,InZoneContacts,BattedBalls,AirBalls,PullAirBalls,TotalPitches,SwStr,Games
10028,542194,2026,AAA,Christian Bethancourt,0.625,0.833,1.0,0.562,16,10,8,6,5,1,1,1,24,9,1
10642,542208,2026,AAA,Carlos Pérez,0.381,0.778,0.0,0.471,21,8,13,9,7,1,0,0,34,8,2
5517,543309,2026,AAA,Kyle Higashioka,0.235,1.0,0.5,0.286,17,4,6,3,3,2,1,1,23,2,1
11602,570560,2026,AAA,Yolmer Sánchez,0.235,0.929,0.333,0.167,17,4,18,14,13,3,1,1,35,3,2
14477,595909,2026,AAA,Jake Cave,0.304,0.75,0.25,0.333,23,7,16,8,6,4,3,1,39,5,2
16153,596103,2026,AAA,Austin Slater,0.571,0.375,0.0,0.583,7,4,10,8,3,1,0,0,17,7,1
16925,605244,2026,AAA,Aramis Garcia,0.333,0.75,0.0,0.429,18,6,16,8,6,3,2,0,34,6,2
17684,605353,2026,AAA,Vimael Machín,0.0,0.667,0.0,0.333,2,0,7,3,2,2,1,0,9,1,1
13185,606115,2026,AAA,Orlando Arcia,0.308,0.778,0.2,0.308,13,4,15,9,7,5,3,1,28,4,2
14366,608841,2026,AAA,Joey Meneses,0.5,0.75,0.4,0.364,6,3,14,8,6,5,2,2,20,4,2
15878,609280,2026,AAA,Miguel Andujar,0.188,0.8,0.0,0.154,16,3,15,10,8,2,1,0,31,2,2
13755,621512,2026,AAA,Tomás Nido,0.75,0.625,0.5,0.357,8,6,9,8,5,2,2,1,17,5,1
13602,621550,2026,AAA,Patrick Wisdom,0.143,0.857,0.25,0.222,14,2,13,7,6,4,2,1,27,2,2
14551,623993,2026,AAA,Anthony Santander,0.143,0.667,0.333,0.357,14,2,21,12,8,3,1,1,35,5,2
15055,624513,2026,AAA,Dom Nuñez,0.091,1.0,,0.0,11,1,10,1,1,0,0,0,21,0,2
624523,624523,2026,AAA,Riley Unroe,0.167,0.714,0.0,0.444,12,2,8,7,5,1,1,0,20,4,1
18819,628451,2026,AAA,Andy Ibáñez,0.273,0.857,0.0,0.308,22,6,14,7,6,2,0,0,36,4,2
18821,640492,2026,AAA,José Azócar,0.545,1.0,0.0,0.077,11,6,11,7,7,4,2,0,22,1,2
20084,641555,2026,AAA,J.C. Escarra,0.409,1.0,0.667,0.333,22,9,15,6,6,3,2,2,37,5,2
19262,641658,2026,AAA,Garrett Hampson,0.231,0.75,0.5,0.286,13,3,13,4,3,2,2,1,26,2,2
19824,642020,2026,AAA,Chuckie Robinson,0.111,1.0,0.0,0.0,9,1,5,4,4,2,1,0,14,0,1
15679,642133,2026,AAA,Rowdy Tellez,0.267,0.625,0.25,0.333,15,4,15,8,5,4,2,1,30,4,2
15271,642851,2026,AAA,Austin Wynns,0.357,0.889,0.0,0.214,14,5,13,9,8,3,1,0,27,3,2
16953,644433,2026,AAA,Chadwick Tromp,0.118,0.714,0.0,0.333,17,2,11,7,5,3,1,0,28,3,2
19844,647351,2026,AAA,Abraham Toro,0.1,0.8,,0.333,10,1,11,5,4,0,0,0,21,2,1
19864,656180,2026,AAA,Riley Adams,0.25,1.0,0.0,0.231,16,4,12,9,9,7,2,0,28,3,2
17321,656308,2026,AAA,Michael Chavis,0.133,0.5,0.333,0.5,15,2,9,6,3,3,1,1,24,4,2
20321,656413,2026,AAA,Stuart Fairchild,0.143,0.8,0.333,0.333,14,2,15,10,8,3,2,1,29,4,2
19877,656484,2026,AAA,Tristan Gray,0.273,0.929,0.0,0.176,11,3,16,14,13,6,3,0,27,3,2
16572,656582,2026,AAA,Connor Joe,0.467,0.6,0.0,0.412,15,7,17,10,6,3,1,0,32,7,2
20536,660644,2026,AAA,Vidal Bruján,0.333,1.0,0.25,0.273,18,6,11,5,5,4,1,1,29,3,2
21009,660844,2026,AAA,Leo Rivas,0.053,0.625,0.0,0.444,19,1,15,8,5,3,2,0,34,4,2
661733,661733,2026,AAA,Max Burt,0.333,0.714,1.0,0.3,9,3,10,7,5,1,1,1,19,3,1
19921,663368,2026,AAA,Blake Perkins,0.333,0.75,0.0,0.286,9,3,12,4,3,1,1,0,21,2,1
21489,663584,2026,AAA,Hayden Senger,0.353,1.0,0.0,0.75,17,6,13,2,2,1,0,0,30,6,2
21496,663604,2026,AAA,Brandon Lockridge,0.455,1.0,0.0,0.5,11,5,3,1,1,1,1,0,14,3,1
18353,663662,2026,AAA,Daz Cameron,0.25,0.692,0.0,0.312,12,3,19,13,9,3,1,0,31,5,2
21562,663853,2026,AAA,Romy Gonzalez,0.154,1.0,0.0,0.083,13,2,13,10,10,5,3,0,26,1,2
19931,663897,2026,AAA,Luke Williams,0.444,0.889,1.0,0.231,9,4,13,9,8,3,3,3,22,3,2
21127,664670,2026,AAA,Alejo Lopez,0.222,1.0,0.0,0.0,9,2,2,1,1,3,0,0,11,0,1
18433,664731,2026,AAA,P.J. Higgins,0.308,1.0,0.0,0.0,13,4,12,3,3,5,2,0,25,0,2
18887,664874,2026,AAA,Seby Zavala,0.364,0.2,,0.778,11,4,8,5,1,0,0,0,19,7,1
21716,665839,2026,AAA,Enmanuel Valdez,0.143,0.923,0.0,0.125,21,3,17,13,12,5,4,0,38,2,2
20529,666134,2026,AAA,Nolan Jones,0.286,0.4,0.5,0.556,14,4,15,5,2,2,1,1,29,5,2
26149,666150,2026,AAA,Dominic Fletcher,0.5,1.0,0.0,0.375,12,6,6,2,2,1,0,0,18,3,1
20287,666163,2026,AAA,Ben Rortvedt,0.385,0.25,,0.667,13,5,8,4,1,0,0,0,21,6,1
25805,666165,2026,AAA,Blake Sabol,0.0,1.0,1.0,0.0,1,0,1,1,1,1,1,1,2,0,1
21853,666181,2026,AAA,Will Benson,0.154,1.0,0.6,0.143,13,2,10,5,5,5,3,3,23,1,2
25813,666197,2026,AAA,Grae Kessinger,0.333,1.0,0.0,0.111,9,3,8,6,6,4,0,0,17,1,1
19958,666198,2026,AAA,Carter Kieboom,0.389,0.857,0.4,0.357,18,7,12,7,6,5,2,2,30,5,2
27534,666397,2026,AAA,Edouard Julien,0.0,1.0,0.0,0.0,6,0,9,2,2,1,1,0,15,0,1
20311,667452,2026,AAA,Corey Julks,0.312,0.727,0.333,0.312,16,5,13,11,8,6,4,2,29,5,2
25814,667690,2026,AAA,C.J. Stubbs,1.0,1.0,0.333,0.2,1,1,7,4,4,3,1,1,8,1,1
22117,668472,2026,AAA,Nick Pratto,0.214,0.833,0.0,0.278,28,6,30,12,10,5,2,0,58,5,3
22168,668731,2026,AAA,Akil Baddoo,0.231,0.7,0.0,0.385,13,3,17,10,7,4,1,0,30,5,2
27543,668752,2026,AAA,Duke Ellis,0.235,0.8,0.5,0.222,17,4,11,5,4,4,2,2,28,2,2
19983,668843,2026,AAA,Conner Capel,0.333,1.0,0.0,0.0,3,1,4,3,3,2,1,0,7,0,1
