PlayerId,MLBAM_ID,Season,Name,Team,Level,League,Age,G,GS,IP,ER,K,BB,IBB,HRA,H,HBP,BF,W,L,SV,SVO,HLD,BS,CG,SHO,WP
4759,455009,2006,Jonathan Broxton,LAD,AAA,Pacific Coast League,22,11,0,11.333333333333334,0,18,3,0,0,6,1,43,1,0,5,5,0,0,0,0,1
4391,434482,2006,Jesse Carlson,TEX,AAA,Pacific Coast League,25,10,0,11.0,0,5,4,0,0,6,0,42,0,0,0,0,2,0,0,0,0
1783,429985,2006,Chad Gaudin,OAK,AAA,Pacific Coast League,23,4,4,24.333333333333332,1,26,8,0,0,14,0,91,3,0,0,0,0,0,0,0,0
4972,430935,2006,Cole Hamels,PHI,AAA,International League,22,3,3,23.0,1,36,1,0,0,10,0,78,2,0,0,0,0,0,1,1,0
3107,460657,2006,Doug Slaten,AZ,AAA,Pacific Coast League,26,18,0,20.0,1,21,7,0,0,10,0,77,2,1,2,2,4,0,0,0,0
1598,425186,2006,Jason Davis,CLE,AAA,International League,26,11,0,16.666666666666668,1,15,3,1,0,8,0,62,0,2,4,5,0,1,0,0,2
3642,434678,2006,Kyle Davies,ATL,AAA,International League,22,2,2,15.0,1,8,3,0,0,7,0,54,2,0,0,0,0,0,0,0,0
2206,430666,2006,Phil Stockman,ATL,AAA,International League,26,18,0,33.333333333333336,3,41,10,1,0,13,0,117,0,0,2,2,1,0,0,0,1
1786,408304,2006,Jon Switzer,TB,AAA,International League,26,26,0,31.0,3,29,13,0,1,22,1,129,3,0,3,3,4,0,0,0,1
449081,449081,2006,Steve Bray,MIL,AAA,Pacific Coast League,25,21,0,21.666666666666668,3,18,4,0,3,11,0,79,2,0,0,0,6,0,0,0,1
2134,429400,2006,Adam Loewen,BAL,AAA,International League,22,3,3,21.333333333333332,3,21,3,0,0,10,0,73,2,0,0,0,0,0,0,0,1
9083,460265,2006,Jeremy Sowers,CLE,AAA,International League,23,15,15,97.33333333333333,15,54,29,1,1,78,1,383,9,1,0,0,0,0,2,2,2
6101,446884,2006,T.J. Beam,NYY,AAA,International League,25,19,0,31.666666666666668,6,37,13,0,1,16,0,122,2,0,1,2,7,1,0,0,2
4573,430963,2006,Ramon Pena,AZ,AAA,Pacific Coast League,24,24,0,26.333333333333332,5,21,2,0,1,17,2,98,3,1,7,9,0,2,0,0,1
2193,430626,2006,Eddy Rodriguez,BAL,AAA,International League,24,42,0,47.333333333333336,9,55,18,0,0,33,1,195,3,1,12,13,7,1,0,0,1
2576,470279,2006,Yoel Hernandez,PHI,AAA,International League,26,9,0,10.333333333333334,2,8,4,1,0,11,0,45,1,0,6,6,0,0,0,0,0
425830,425830,2006,Preston Larrison,DET,AAA,International League,25,6,0,10.333333333333334,2,3,5,1,1,12,2,45,1,0,0,0,0,0,0,0,1
468859,468859,2006,Roberto Barradas,SLT,AAA,Mexican League,26,8,0,10.0,2,5,4,0,1,11,0,43,1,0,0,0,1,0,0,0,1
4806,448179,2006,Rich Hill,CHC,AAA,Pacific Coast League,26,15,15,100.0,20,135,21,0,3,62,5,380,7,1,0,0,0,0,0,0,2
6235,452724,2006,Billy Sadler,SF,AAA,Pacific Coast League,24,7,0,10.0,2,12,2,0,1,5,0,34,2,0,1,1,1,0,0,0,1
3340,490063,2006,Matt Garza,MIN,AAA,International League,22,5,5,34.0,7,33,7,0,1,20,3,126,3,1,0,0,0,0,2,1,0
5952,435378,2006,Chad Orvella,TB,AAA,International League,25,27,0,38.666666666666664,8,55,9,0,2,31,1,154,4,0,1,2,4,1,0,0,3
4682,450212,2006,Pat Neshek,MIN,AAA,International League,25,33,0,60.0,13,87,14,4,7,41,1,234,6,2,14,19,0,5,0,0,2
6283,444857,2006,Scott Feldman,TEX,AAA,Pacific Coast League,23,23,0,27.333333333333332,6,24,9,0,2,20,3,111,2,2,4,6,2,2,0,0,0
464748,464748,2006,Miguel Rubio,MTY,AAA,Mexican League,26,48,0,45.333333333333336,10,36,16,4,1,41,1,194,2,1,0,3,15,3,0,0,2
472423,472423,2006,Edgar Lizarraga,MXO,AAA,Mexican League,25,36,0,66.33333333333333,15,40,20,0,3,58,1,257,5,2,3,4,8,1,0,0,1
6293,444865,2006,Jason Hirsh,HOU,AAA,Pacific Coast League,24,23,23,137.33333333333334,32,118,51,0,5,94,8,550,13,2,0,0,0,0,1,1,2
4235,450308,2006,Jered Weaver,LAA,AAA,Pacific Coast League,23,12,11,77.0,18,93,10,0,7,63,2,295,6,1,0,0,0,0,2,2,0
