MLBAM_ID,Name,MaxEV_mlb,MLB_EV_PA
112526,Bartolo Colon,102.5,74.0
116338,Torii Hunter,108.1,421.0
120074,David Ortiz,113.5,900.0
121347,Alex Rodriguez,115.3,546.0
133380,Aramis Ramirez,108.6,412.0
134181,Adrian Beltré,109.3,1669.0
136860,Carlos Beltrán,111.1,1225.0
150029,Jayson Werth,113.5,829.0
150212,Michael Cuddyer,110.4,292.0
150229,A.J. Pierzynski,108.8,594.0
150302,Jason Marquis,99.2,13.0
150359,A.J. Burnett,104.3,32.0
217100,Willie Bloomquist,101.3,56.0
218596,Tim Hudson,101.1,30.0
276519,Jimmy Rollins,105.7,550.0
276520,Bronson Arroyo,94.3,19.0
279571,Matt Belisle,80.0,2.0
279824,Mark Buehrle,82.9,5.0
282332,CC Sabathia,90.2,3.0
285064,Ryan Vogelsong,101.7,39.0
285078,Josh Hamilton,112.3,120.0
285079,R.A. Dickey,90.6,59.0
346798,Kyle Lohse,99.4,32.0
346874,Juan Uribe,110.6,473.0
400085,Ichiro Suzuki,105.6,845.0
400121,Victor Martinez,108.6,1617.0
400284,Chase Utley,106.7,1102.0
405395,Albert Pujols,113.1,3013.0
407781,Marlon Byrd,108.0,446.0
407793,John Lackey,104.1,113.0
407812,Matt Holliday,114.9,794.0
407822,Jorge De La Rosa,96.7,58.0
407862,Reed Johnson,103.6,17.0
407893,Mark Teixeira,110.4,596.0
407908,Joel Peralta,88.6,1.0
408042,Gerald Laird,80.6,2.0
408045,Joe Mauer,107.8,1738.0
408047,Justin Morneau,110.1,296.0
408234,Miguel Cabrera,112.7,2775.0
408236,Adrián González,107.7,1253.0
408241,Jake Peavy,103.1,40.0
408242,Wil Nieves,97.1,9.0
408252,Brandon Phillips,108.5,1532.0
408299,Omar Infante,104.8,494.0
408307,Carl Crawford,106.7,211.0
408314,José Reyes,108.1,1258.0
421685,Aaron Harang,102.3,39.0
424144,Oliver Pérez,92.7,3.0
424325,David Ross,106.9,222.0
424825,Coco Crisp,105.8,475.0
425386,Jeremy Guthrie,92.7,5.0
425496,Cody Ross,101.8,16.0
425509,Jhonny Peralta,108.9,751.0
425532,Jerome Williams,100.5,22.0
425543,Josh Wilson,99.4,24.0
425549,Clint Barmes,103.8,155.0
425557,Jeff Baker,107.2,47.0
425560,Adam LaRoche,109.2,298.0
425567,Alex Rios,109.4,324.0
425664,Shane Victorino,108.6,151.0
425766,James Loney,109.3,638.0
425772,Jeff Mathis,107.5,606.0
425783,Shin-Soo Choo,110.5,1850.0
425784,René Rivera,108.4,611.0
425794,Adam Wainwright,107.5,182.0
425796,Jeff Francoeur,109.1,473.0
425834,B.J. Upton,110.1,489.0
425835,Chin-hui Tsao,101.4,1.0
425844,Zack Greinke,106.3,254.0
425856,Gavin Floyd,61.2,1.0
425877,Yadier Molina,106.5,2827.0
425900,Dioner Navarro,105.4,384.0
425902,Prince Fielder,114.3,798.0
429400,Adam Loewen,98.1,3.0
429664,Robinson Canó,112.8,2403.0
429665,Edwin Encarnación,112.8,2136.0
429666,J.J. Hardy,107.8,880.0
429667,Ryan Howard,110.1,552.0
429711,Franklin Gutierrez,111.5,324.0
429713,Grady Sizemore,107.4,214.0
429717,Dan Haren,100.5,44.0
429719,Edwin Jackson,100.7,23.0
429722,Ervin Santana,90.1,10.0
429780,Chris Narveson,88.4,4.0
429781,Kevin Correia,81.7,6.0
430001,Rickie Weeks Jr.,112.2,234.0
430203,David DeJesus,109.1,238.0
430321,Delmon Young,109.8,146.0
430404,Jonny Gomes,107.5,147.0
430580,Alfredo Simon,101.9,13.0
430599,Joe Blanton,88.9,3.0
430603,Don Kelly,102.2,24.0
430605,Ryan Raburn,109.6,316.0
430611,Corey Hart,107.1,36.0
430613,Ronald Belisario,94.7,1.0
430637,Kelly Johnson,108.9,471.0
430641,Blaine Boyer,78.7,1.0
430652,Jason Bourgeois,104.3,164.0
430661,Dustin McGowan,89.2,1.0
430681,Dan Johnson,101.1,15.0
430832,José Bautista,114.4,1408.0
430897,Nick Swisher,106.0,168.0
430910,Brayan Peña,104.6,313.0
430912,Matt Cain,103.3,36.0
430935,Cole Hamels,103.0,81.0
430945,Adam Jones,110.1,2326.0
430947,Erick Aybar,107.2,1169.0
430948,Alberto Callaspo,101.2,199.0
431094,Aaron Hill,105.1,646.0
431145,Russell Martin,109.9,1236.0
431148,Scott Kazmir,93.1,29.0
431151,David Wright,109.3,200.0
431171,Casey McGehee,109.0,265.0
432934,Chris Young,88.4,4.0
433217,Andrés Blanco,106.3,440.0
433584,Roberto Hernandez,77.0,1.0
433587,Félix Hernández,85.9,12.0
433589,Yusmeiro Petit,88.0,13.0
434158,Curtis Granderson,108.9,1642.0
434378,Justin Verlander,83.4,9.0
434538,Francisco Liriano,108.2,68.0
434540,Garrett Jones,106.1,107.0
434563,Carlos Ruiz,106.4,502.0
434567,Geovany Soto,108.0,217.0
434604,Michael Morse,114.3,182.0
434622,Ubaldo Jiménez,95.0,9.0
434628,Jason Hammel,101.9,103.0
434636,Ángel Pagán,108.8,857.0
434643,Wandy Rodriguez,74.2,2.0
434658,Rajai Davis,107.4,1048.0
434670,Hanley Ramirez,115.4,1323.0
434671,Aníbal Sánchez,92.6,54.0
434672,Chris Smith,60.0,1.0
434778,Kendrys Morales,113.3,1809.0
435044,Scott Baker,85.2,3.0
435062,Howie Kendrick,111.6,1507.0
435063,Mike Napoli,112.9,923.0
435064,Bobby Wilson,106.2,407.0
435078,Joaquin Arias,97.7,47.0
435079,Ian Kinsler,105.5,2151.0
435180,Robert Andino,101.0,20.0
435221,Brandon McCarthy,95.7,31.0
435263,Brian McCann,108.8,1384.0
435401,Skip Schumaker,105.3,194.0
435522,Neil Walker,107.7,1635.0
435559,Kurt Suzuki,106.0,1871.0
435622,Ian Desmond,112.7,1873.0
435623,Kevin Frandsen,100.3,9.0
443558,Nelson Cruz,116.7,2966.0
444379,John Jaso,106.8,647.0
444432,Mark Trumbo,116.7,1500.0
444446,Collin Balester,58.4,1.0
444468,Héctor Rondón,82.9,2.0
444482,David Peralta,113.7,3058.0
444489,Manny Piña,108.6,863.0
444843,Andre Ethier,110.6,365.0
444857,Scott Feldman,90.9,22.0
444876,Alcides Escobar,105.8,2399.0
445055,Jon Jay,105.2,1388.0
445060,Ricky Nolasco,93.8,5.0
445095,Jason Pridie,96.0,5.0
445197,Mike Dunn,99.7,1.0
445213,Brandon Kintzler,82.2,1.0
445276,Kenley Jansen,99.9,4.0
445590,Eric Stults,90.1,9.0
445926,Jesse Chavez,84.3,4.0
445988,Martín Prado,107.3,1465.0
446192,Adam Moore,104.6,15.0
446225,Ed Easley,98.4,6.0
446263,Lucas Duda,114.1,1049.0
446308,Matt Wieters,108.4,1210.0
446321,Ross Detwiler,97.4,2.0
446334,Evan Longoria,110.2,2894.0
446359,Zack Cozart,106.1,1187.0
446372,Corey Kluber,80.4,11.0
446381,Darwin Barney,102.4,540.0
446386,Brandon Guyer,106.8,788.0
446399,Brett Cecil,93.1,1.0
446481,Sean Rodríguez,110.9,617.0
446653,Jose Lobatón,107.5,331.0
446868,Wilkin Castillo,97.5,4.0
448170,Travis Ishikawa,107.0,43.0
448179,Rich Hill,94.5,89.0
448281,Sean Doolittle,83.6,1.0
448306,James Shields,100.9,60.0
448602,Mark Reynolds,112.0,1120.0
448605,Justin Ruggiano,106.8,142.0
448609,Tony Sipp,71.2,1.0
448614,Carlos Torres,85.9,1.0
448674,Doug Bernier,101.4,2.0
448801,Chris Davis,111.1,1473.0
448802,Jaime García,103.7,87.0
448855,Junior Guerra,100.2,73.0
449107,Mike Aviles,106.5,475.0
449168,Matt Tuiasosopo,102.9,2.0
449173,Lucas Harrell,97.4,6.0
449181,Paulo Orlando,111.4,680.0
449786,Carlos Corporán,102.9,71.0
450172,Edinson Volquez,97.0,22.0
450203,Charlie Morton,96.2,63.0
450306,Jason Vargas,96.3,48.0
450308,Jered Weaver,87.7,10.0
450314,Ben Zobrist,108.0,1765.0
450317,J.P. Arencibia,112.3,50.0
450351,C.J. Wilson,98.1,5.0
450729,Doug Fister,96.2,30.0
451089,Shane Peterson,107.5,209.0
