PlayerId,Season,Level,Name,Age,PA,current_age_z,age_z_slope,has_slope,career_pa_eq,p_grad_knn,n_neighbors,level_base_p_grad,p_grad_vs_baseline,age_mult_pgvb,age_z_pos,age_kink,pppa_disc,cond_pppa_z_ageonly,cond_pppa_z,expected_pppa_z,level_base_expected,implied_mult_2tier,current_mult,Team,ABILITY_Score,TOOLS_Score,Combined_Score,Combined_Rank
800543,2026,AA,Josue De Paula,21.0,578,-1.64,-0.186,True,722.3,0.68,50,0.2872,2.368,2.1257,1.64,0.1399999999999999,0.43515000000000004,0.4625,0.5346,0.3635,0.0561,5.606,1.0357,LAD,119.16,85.28,96.12,1
806077,2026,AA,Kendall George,21.0,257,-1.64,-0.109,True,437.9,0.78,50,0.2872,2.716,2.4381,1.64,0.1399999999999999,0.41367253086419753,0.4625,0.5176,0.4037,0.0561,6.43,1.0357,LAD,122.41,67.24,91.46,2
815888,2026,AA,Leo De Vries,19.0,428,-2.94,-0.239,True,543.3,0.92,50,0.2872,3.203,2.8752,2.94,1.44,0.3147329305135952,0.8436,0.82,0.7544,0.0561,13.834,1.2924,OAK,126.21,69.76,90.92,3
815824,2026,A+,Josiah Hartshorn,19.0,370,-1.98,-1.01,True,166.5,0.5,50,0.1665,3.003,3.1249,1.98,0.48,0.3587168190127971,0.5622,0.5736,0.2868,0.0325,8.649,1.1029,CHC,96.26,82.15,88.54,4
815908,2026,AA,Jesús Made,19.0,544,-2.57,-0.593,True,471.3,0.74,50,0.2872,2.577,2.3133,2.57,1.0699999999999998,0.4212772402854877,0.7352,0.7962,0.5892,0.0561,9.698,1.2193,MIL,120.4,69.35,87.68,5
807257,2026,A+,Ty Southisene,20.0,263,-1.44,-0.621,True,203.0,0.46,50,0.1665,2.763,2.8751,1.44,0.0,0.23456750330250994,0.4125,0.3252,0.1496,0.0325,5.838,1.0078,TOR,97.3,78.08,86.74,6
816113,2026,A+,Eli Willits,18.0,289,-2.39,-0.7,True,165.0,0.56,50,0.1665,3.363,3.4995,2.39,0.8900000000000001,0.2583533678756477,0.6824,0.614,0.3438,0.0325,11.758,1.1838,WSH,101.01,72.59,84.94,7
808234,2026,A+,Eduardo Quintero,20.0,501,-1.34,-0.264,True,381.1,0.3,50,0.1665,1.802,1.8751,1.34,0.0,0.2831222639149468,0.3974,0.3487,0.1046,0.0325,3.668,1.0072,LAD,84.06,91.33,83.76,8
828076,2026,A,Dax Kilby,19.0,154,-1.21,,False,54.1,0.36,50,0.1155,3.117,4.0,1.21,0.0,0.34400170212765957,0.3778,0.3774,0.1359,0.0226,6.018,1.0065,NYY,99.29,73.19,83.73,9
803723,2026,A,Jordan Yost,19.0,378,-1.21,,False,86.9,0.34,50,0.1155,2.944,4.0,1.21,0.0,0.09200000000000001,0.3778,0.1772,0.0602,0.0226,5.684,1.0065,DET,114.01,55.1,82.68,10
701373,2026,A,Isaiah Barkett,22.0,341,0.47,,False,78.4,0.12,50,0.1155,1.039,1.4993,-0.47,0.0,0.25300000000000006,0.1246,0.0519,0.0062,0.0226,0.662,0.9975,SF,95.7,70.74,82.64,11
