Season,League,Avg_Age,Std_Age,Avg_PPG,Avg_PPPA,Std_PPG,Std_PPPA
2006,Appalachian League,20.51,1.58,2.54,0.65,1.67,0.4
2006,Arizona League,20.45,1.87,2.98,0.75,1.9,0.44
2006,California League,22.65,1.27,3.1,0.75,1.54,0.36
2006,Carolina League,22.85,1.09,2.92,0.73,1.49,0.34
2006,Dominican Summer League,18.59,1.25,1.8,0.48,1.46,0.38
2006,Eastern League,23.06,1.1,2.33,0.57,1.75,0.49
2006,Florida State League,22.44,1.46,2.54,0.64,1.52,0.37
2006,Gulf Coast League,20.14,1.71,2.27,0.61,1.68,0.42
2006,International League,22.88,1.1,2.84,0.68,1.88,0.48
2006,Mexican League,21.8,1.52,1.49,0.55,1.53,0.45
2006,Midwest League,21.69,1.51,2.36,0.59,1.45,0.34
2006,Pacific Coast League,22.96,1.11,2.25,0.56,2.11,0.56
2006,Pioneer League,21.04,1.55,2.89,0.71,1.77,0.4
2006,South Atlantic League,21.77,1.54,2.42,0.6,1.59,0.38
2006,Southern League,22.71,1.14,1.65,0.39,1.75,0.53
2006,Texas League,22.88,1.06,3.03,0.71,1.57,0.47
2006,Venezuelan Summer League,18.52,1.25,2.45,0.67,1.29,0.31
2007,Appalachian League,20.39,1.44,2.55,0.65,1.62,0.38
2007,Arizona League,20.17,1.93,2.99,0.74,2.31,0.48
2007,California League,22.52,1.41,3.16,0.75,1.85,0.42
2007,Carolina League,22.63,1.28,2.87,0.71,1.57,0.37
2007,Dominican Summer League,18.61,1.34,1.99,0.53,1.55,0.4
2007,Eastern League,22.94,1.23,2.82,0.68,2.23,0.58
2007,Florida State League,22.38,1.3,2.64,0.67,1.66,0.41
2007,Gulf Coast League,19.91,1.84,2.31,0.62,1.6,0.41
2007,International League,23.15,1.04,2.81,0.65,1.76,0.52
2007,Mexican League,22.18,1.54,1.78,0.62,1.39,0.39
2007,Midwest League,21.57,1.45,2.42,0.61,1.38,0.33
2007,Pacific Coast League,23.28,0.93,2.72,0.66,2.1,0.54
2007,Pioneer League,21.13,1.55,2.93,0.74,1.67,0.38
2007,South Atlantic League,21.79,1.48,2.88,0.71,1.62,0.38
2007,Southern League,22.87,1.17,2.18,0.54,1.88,0.55
2007,Texas League,22.98,1.13,2.68,0.64,1.84,0.53
2007,Venezuelan Summer League,18.39,1.28,2.43,0.66,1.59,0.41
2008,Appalachian League,20.51,1.52,2.62,0.66,1.55,0.36
2008,Arizona League,20.23,1.85,2.94,0.76,2.03,0.48
2008,California League,22.25,1.36,3.05,0.74,1.76,0.41
2008,Carolina League,22.51,1.26,2.88,0.73,1.4,0.32
2008,Dominican Summer League,18.43,1.29,2.1,0.55,1.57,0.39
2008,Eastern League,22.98,1.16,2.74,0.64,1.78,0.48
2008,Florida State League,22.53,1.24,2.5,0.63,1.44,0.34
2008,Gulf Coast League,19.88,1.73,2.45,0.67,1.76,0.46
2008,International League,23.41,0.9,2.41,0.59,1.92,0.48
2008,Mexican League,22.38,1.62,1.5,0.53,1.19,0.29
2008,Midwest League,21.64,1.45,2.41,0.6,1.39,0.33
2008,Pacific Coast League,23.18,0.93,2.64,0.63,2.11,0.56
2008,Pioneer League,20.84,1.38,3.36,0.81,1.81,0.4
2008,South Atlantic League,21.7,1.61,2.55,0.63,1.48,0.34
2008,Southern League,22.97,1.15,2.14,0.52,1.92,0.57
2008,Texas League,22.73,1.24,2.86,0.68,1.78,0.46
2008,Venezuelan Summer League,18.2,1.13,2.16,0.57,1.54,0.38
2009,Appalachian League,20.8,1.48,2.81,0.71,1.69,0.38
2009,Arizona League,20.32,1.94,2.92,0.72,2.03,0.46
2009,California League,22.61,1.24,2.94,0.72,1.57,0.35
2009,Carolina League,22.38,1.41,2.67,0.66,1.54,0.36
