Season,League,Age,Avg_PPG,Avg_PPPA,Std_PPG,Std_PPPA
2006,Appalachian League,17.0,3.32,0.84,1.24,0.19
2006,Appalachian League,18.0,1.8,0.47,1.39,0.33
2006,Appalachian League,19.0,2.56,0.64,1.5,0.35
2006,Appalachian League,20.0,2.23,0.58,1.53,0.36
2006,Appalachian League,21.0,2.59,0.68,1.32,0.32
2006,Appalachian League,22.0,2.86,0.7,1.25,0.28
2006,Appalachian League,23.0,2.51,0.64,1.85,0.46
2006,Appalachian League,24.0,5.86,1.51,6.28,1.54
2006,Arizona League,17.0,2.12,0.55,1.34,0.3
2006,Arizona League,18.0,2.65,0.67,1.57,0.34
2006,Arizona League,19.0,2.45,0.62,1.88,0.43
2006,Arizona League,20.0,2.99,0.76,1.46,0.31
2006,Arizona League,21.0,3.27,0.84,1.69,0.39
2006,Arizona League,22.0,3.39,0.87,1.82,0.45
2006,Arizona League,23.0,3.05,0.75,2.8,0.62
2006,Arizona League,24.0,3.97,0.94,2.73,0.62
2006,California League,18.0,-0.83,-0.21,,
2006,California League,19.0,1.09,0.28,1.43,0.37
2006,California League,20.0,3.35,0.78,2.19,0.46
2006,California League,21.0,4.22,0.97,1.74,0.38
2006,California League,22.0,3.31,0.78,1.69,0.42
2006,California League,23.0,2.87,0.71,1.42,0.32
2006,California League,24.0,3.1,0.77,1.08,0.27
2006,Carolina League,19.0,2.47,0.6,,
2006,Carolina League,20.0,1.51,0.35,2.21,0.53
2006,Carolina League,21.0,2.8,0.7,1.07,0.23
2006,Carolina League,22.0,2.99,0.74,1.36,0.27
2006,Carolina League,23.0,2.78,0.7,1.38,0.33
2006,Carolina League,24.0,3.17,0.79,1.67,0.39
2006,Dominican Summer League,16.0,1.53,0.45,0.66,0.15
2006,Dominican Summer League,17.0,1.41,0.37,1.42,0.37
2006,Dominican Summer League,18.0,1.65,0.44,1.43,0.38
2006,Dominican Summer League,19.0,1.89,0.5,1.49,0.38
2006,Dominican Summer League,20.0,2.18,0.57,1.52,0.4
2006,Dominican Summer League,21.0,2.15,0.6,1.26,0.29
2006,Dominican Summer League,22.0,2.57,0.75,1.29,0.18
2006,Dominican Summer League,23.0,4.55,1.11,,
2006,Eastern League,19.0,3.82,0.88,,
2006,Eastern League,20.0,1.45,0.38,1.59,0.45
2006,Eastern League,21.0,2.7,0.6,2.65,0.68
2006,Eastern League,22.0,2.84,0.74,1.59,0.35
2006,Eastern League,23.0,2.15,0.53,1.85,0.51
2006,Eastern League,24.0,2.32,0.55,1.68,0.5
2006,Florida State League,17.0,3.0,0.69,,
2006,Florida State League,19.0,3.15,0.79,1.19,0.25
2006,Florida State League,20.0,2.68,0.64,1.18,0.26
2006,Florida State League,21.0,2.2,0.58,1.42,0.36
2006,Florida State League,22.0,2.38,0.61,1.74,0.49
2006,Florida State League,23.0,2.64,0.67,1.41,0.32
2006,Florida State League,24.0,2.58,0.65,1.61,0.36
2006,Gulf Coast League,17.0,1.58,0.4,1.91,0.47
2006,Gulf Coast League,18.0,2.62,0.66,1.46,0.36
2006,Gulf Coast League,19.0,1.68,0.47,1.25,0.32
