PlayerId,MLBAM_ID,Name,Profile,PPPA_Z_AAA,PPPA_Z_AA,PPPA_Z_Aplus,PPPA_Z_A,PPPA_Z_R,Age_AAA,Age_AA,Age_Aplus,Age_A,Age_R,PA_AAA,PA_AA,PA_Aplus,PA_A,PA_R,BB2K_AAA,BB2K_AA,BB2K_Aplus,BB2K_A,BB2K_R,Whiff_AAA,Whiff_AA,Whiff_Aplus,Whiff_A,Whiff_R,SBTalent_AAA,SBTalent_AA,SBTalent_Aplus,SBTalent_A,SBTalent_R,HRFB_AAA,HRFB_AA,HRFB_Aplus,HRFB_A,HRFB_R,PullAir_AAA,PullAir_AA,PullAir_Aplus,PullAir_A,PullAir_R,Kpct_AAA,Kpct_AA,Kpct_Aplus,Kpct_A,Kpct_R,BBpct_AAA,BBpct_AA,BBpct_Aplus,BBpct_A,BBpct_R,MaxEV_AAA,MaxEV_AA,MaxEV_Aplus,MaxEV_A,MaxEV_R,EV90_AAA,EV90_AA,EV90_Aplus,EV90_A,EV90_R,PPPA_Z_career,BB2K_career,Whiff_career,SBTalent_career,HRFB_career,PullAir_career,Kpct_career,BBpct_career,MaxEV_career,EV90_career,MiLB_First,MiLB_Last,graduated,MLB_Season,FirstYr_PPPA_Z,FirstYr_PA,Career_PPPA_Z,Career_MLB_PA
36,458584,Xavier Cedeño,,,-0.99,,,,,22.15,,,,,34.0,,,,,-0.352,,,,,0.194,,,,,0.0,,,,,0.0,,,,,0.048,,,,,0.205,,,,,0.059,,,,,,,,,,,,,,-0.99,-0.352,0.194,0.0,0.0,0.048,0.205,0.059,,,2008,2011,False,,,,,
49,452035,Kyle Blanks,Power,0.85,0.96,1.02,0.74,,22.7,21.79,20.23,19.0,,432.0,766.0,575.0,360.0,,-0.327,-0.252,-0.287,-0.34,,0.263,0.23,0.386,0.379,,0.0,0.0075,0.0162,0.0056,,0.17,0.126,0.123,0.111,,0.23,0.17,0.266,0.17,,0.227,0.17,0.187,0.22,,0.127,0.089,0.087,0.1,,,,,,,,,,,,0.92,-0.292,0.279,0.0061,0.141,0.208,0.198,0.103,108.3,,2006,2011,True,2009.0,0.18,172.0,0.03,927.0
109,452096,Darren Ford,Speed,,0.21,0.4,1.14,,,24.0,22.09,20.31,,,516.0,1314.0,820.0,,,-0.344,-0.344,-0.357,,,0.385,0.413,0.437,,,0.051,0.0828,0.0977,,,0.036,0.049,0.076,,,0.197,0.183,0.189,,,0.21,0.23,0.227,,,0.076,0.116,0.097,,,,,,,,,,,,0.49,-0.347,0.409,0.0755,0.05,0.189,0.223,0.099,,,2006,2010,False,,,,,
113,452722,Steven Lerud,Contact,,0.04,-0.3,-0.29,,,23.69,22.45,21.0,,,526.0,601.0,446.0,,,-0.269,-0.33,-0.57,,,0.344,0.414,0.568,,,0.0044,0.0038,0.0051,,,0.063,0.085,0.158,,,0.103,0.107,0.095,,,0.184,0.213,0.33,,,0.099,0.095,0.09,,,,,,,,,,,,-0.13,-0.339,0.404,0.0043,0.086,0.103,0.218,0.096,,,2006,2009,False,,,,,
173,502161,Scott Cousins,Contact,,0.8,1.5,0.95,,,23.84,23.0,22.0,,,636.0,211.0,472.0,,,-0.341,-0.345,-0.299,,,0.285,0.444,0.392,,,0.0369,0.041,0.0236,,,0.072,0.18,0.155,,,0.186,0.128,0.126,,,0.211,0.22,0.19,,,0.082,0.095,0.081,,,,,,,,,,,,0.92,-0.333,0.327,0.0348,0.102,0.167,0.208,0.083,,,2007,2009,False,,,,-1.08,150.0
193,508892,Carlos Triunfel,Contact,0.09,0.24,0.56,0.42,0.4,22.67,20.42,17.68,17.0,18.1,1394.0,959.0,704.0,164.0,29.0,-0.296,-0.222,-0.179,-0.25,-0.204,0.211,0.166,0.246,0.293,0.132,0.0055,0.0026,0.0346,0.0081,0.0345,0.056,0.052,0.036,0.0,0.0,0.125,0.164,0.142,0.141,0.119,0.167,0.131,0.12,0.14,0.102,0.038,0.041,0.06,0.03,0.0,,,,,,,,,,,0.19,-0.264,0.204,0.008,0.052,0.137,0.153,0.041,,,2007,2014,False,,,,,
198,519445,Danny Worth,Contact,-0.27,0.14,0.15,,,23.52,22.45,21.0,,,339.0,670.0,192.0,,,-0.344,-0.314,-0.306,,,0.182,0.351,0.355,,,0.037,0.0161,0.0312,,,0.028,0.032,0.044,,,0.176,0.203,0.136,,,0.203,0.201,0.2,,,0.062,0.088,0.094,,,,,,,,,,,,,-0.04,-0.326,0.28,0.0262,0.031,0.186,0.202,0.077,103.8,,2007,2010,True,2010.0,0.26,115.0,-0.22,205.0
209,460322,Antoan Richardson,Speed / Patient,,0.27,0.29,1.24,,,24.0,23.0,22.0,,,445.0,469.0,493.0,,,-0.236,-0.257,-0.19,,,0.338,0.43,0.292,,,0.0628,0.073,0.1178,,,0.053,0.021,0.019,,,0.111,0.123,0.132,,,0.18,0.2,0.15,,,0.124,0.143,0.11,,,,,,,,,,,,0.48,-0.233,0.356,0.0775,0.036,0.119,0.18,0.127,,,2006,2008,False,,,,,
211,461416,Will Venable,Disciplined,,0.47,,1.79,,,24.0,,23.0,,,572.0,,541.0,,,-0.234,,-0.198,,,0.324,,0.31,,,0.0335,,0.026,,,0.047,,0.07,,,0.14,,0.13,,,0.15,,0.15,,,0.066,,0.102,,,,,,,,,,,,0.83,-0.224,0.32,0.0315,0.053,0.137,0.15,0.076,114.5,,2006,2007,True,2008.0,0.24,124.0,0.46,3127.0
341,465015,Leyson Septimo,Contact,,,0.05,0.06,,,,21.0,20.0,,,,399.0,586.0,,,,-0.282,-0.319,,,,0.332,0.377,,,,0.0201,0.0085,,,,0.052,0.055,,,,0.113,0.092,,,,0.17,0.19,,,,0.058,0.061,,,,,,,,,,,,0.05,-0.3,0.354,0.0143,0.053,0.103,0.18,0.059,,,2006,2007,False,,,,,
