Season_T,N,R2,Adj_R2,F_stat,F_pval,BB/K_coef,BB/K_pval,K%_coef,K%_pval,GB/FB_coef,GB/FB_pval,SwStr%_coef,SwStr%_pval,Age_Z_SL_coef,Age_Z_SL_pval,ISO_coef,ISO_pval,level_diff_coef,level_diff_pval
2007,2482,0.18,0.178,77.583,0.0,-0.016,0.485,-1.405,0.0,-0.001,0.939,-0.115,0.357,-0.039,0.0,1.503,0.0,-0.042,0.0
2008,2601,0.15,0.148,65.46,0.0,0.028,0.238,-1.276,0.0,-0.014,0.125,-0.204,0.066,-0.017,0.004,1.138,0.0,-0.026,0.001
2009,2749,0.158,0.156,73.514,0.0,0.011,0.617,-1.23,0.0,0.002,0.833,-0.289,0.002,-0.021,0.0,1.409,0.0,-0.021,0.005
2010,2673,0.179,0.177,82.819,0.0,0.021,0.335,-1.432,0.0,-0.004,0.61,-0.156,0.075,-0.015,0.011,1.491,0.0,-0.038,0.0
2011,2631,0.148,0.146,65.149,0.0,0.015,0.45,-1.232,0.0,-0.0,0.999,-0.119,0.168,-0.033,0.0,1.474,0.0,-0.056,0.0
2012,2699,0.14,0.138,62.497,0.0,0.032,0.132,-1.433,0.0,0.007,0.428,-0.014,0.865,-0.024,0.0,1.29,0.0,-0.032,0.0
2013,2731,0.167,0.165,78.143,0.0,0.033,0.08,-1.209,0.0,-0.004,0.655,-0.233,0.002,-0.022,0.0,1.371,0.0,-0.029,0.0
2014,2851,0.126,0.124,58.705,0.0,-0.009,0.677,-1.267,0.0,0.014,0.084,-0.153,0.039,-0.031,0.0,1.19,0.0,-0.043,0.0
2015,2964,0.159,0.157,79.988,0.0,-0.006,0.693,-1.339,0.0,-0.01,0.15,-0.373,0.0,-0.025,0.0,1.16,0.0,-0.042,0.0
2016,3058,0.155,0.153,79.706,0.0,0.018,0.39,-1.45,0.0,-0.02,0.006,-0.111,0.093,-0.031,0.0,1.24,0.0,-0.054,0.0
2017,3059,0.143,0.141,72.563,0.0,0.001,0.966,-1.393,0.0,-0.004,0.653,-0.29,0.0,-0.036,0.0,0.901,0.0,-0.045,0.0
2018,3143,0.13,0.128,66.802,0.0,0.035,0.107,-1.392,0.0,-0.015,0.06,-0.089,0.226,-0.038,0.0,1.011,0.0,-0.067,0.0
2021,3978,0.154,0.153,103.271,0.0,-0.08,0.0,-1.333,0.0,-0.011,0.172,-0.592,0.0,-0.028,0.0,0.816,0.0,-0.021,0.002
2022,3868,0.146,0.144,94.296,0.0,-0.016,0.393,-1.554,0.0,0.009,0.241,-0.238,0.0,-0.02,0.001,1.078,0.0,-0.044,0.0
2023,3823,0.137,0.135,86.428,0.0,-0.01,0.491,-1.481,0.0,0.01,0.141,-0.152,0.015,-0.03,0.0,0.815,0.0,-0.063,0.0
2024,3630,0.104,0.102,59.849,0.0,0.032,0.086,-1.219,0.0,0.027,0.001,0.204,0.01,-0.041,0.0,0.884,0.0,-0.048,0.0
2025,4166,0.105,0.104,69.93,0.0,-0.029,0.118,-1.252,0.0,-0.006,0.473,-0.799,0.0,-0.033,0.0,0.835,0.0,-0.048,0.0
