Season,League,N,R2,Adj_R2,F_stat,F_pval,BB/K_coef,BB/K_pval,K%_coef,K%_pval,ISO_coef,ISO_pval,wRC+_coef,wRC+_pval,GB/FB_coef,GB/FB_pval,SwStr%_coef,SwStr%_pval,Age_Z_SL_coef,Age_Z_SL_pval
2007,Appalachian League,157,0.845,0.838,115.879,0.0,-0.145,0.029,-2.347,0.0,1.635,0.0,0.004,0.0,-0.005,0.73,0.178,0.563,0.019,0.128
2007,Arizona League,184,0.812,0.804,108.328,0.0,-0.045,0.315,-2.764,0.0,1.664,0.0,0.004,0.0,0.041,0.039,0.477,0.133,0.014,0.414
2007,California League,192,0.936,0.934,386.192,0.0,-0.107,0.0,-2.734,0.0,2.195,0.0,0.004,0.0,0.014,0.18,0.077,0.671,-0.018,0.03
2007,Carolina League,132,0.9,0.895,160.297,0.0,-0.196,0.001,-2.37,0.0,1.894,0.0,0.004,0.0,0.01,0.396,-0.133,0.689,0.009,0.413
2007,Dominican Summer League,566,0.897,0.896,696.704,0.0,-0.037,0.093,-2.408,0.0,1.403,0.0,0.005,0.0,0.007,0.575,0.297,0.042,0.017,0.003
2007,Eastern League,108,0.955,0.952,305.651,0.0,-0.179,0.001,-2.761,0.0,2.015,0.0,0.004,0.0,-0.008,0.363,0.276,0.319,-0.0,1.0
2007,Florida State League,221,0.925,0.922,373.567,0.0,-0.064,0.017,-2.223,0.0,2.063,0.0,0.005,0.0,0.013,0.096,0.166,0.343,-0.03,0.0
2007,Gulf Coast League,285,0.79,0.784,148.506,0.0,-0.006,0.895,-2.433,0.0,2.05,0.0,0.004,0.0,0.031,0.032,0.4,0.081,0.016,0.171
2007,International League,68,0.946,0.94,151.562,0.0,-0.093,0.272,-2.382,0.0,2.0,0.0,0.004,0.0,0.011,0.501,-0.165,0.801,-0.011,0.498
2007,Midwest League,283,0.909,0.906,390.646,0.0,-0.109,0.0,-2.437,0.0,1.821,0.0,0.004,0.0,0.031,0.006,0.154,0.278,-0.005,0.387
2007,Pacific Coast League,123,0.926,0.922,205.655,0.0,-0.241,0.0,-2.569,0.0,1.469,0.0,0.005,0.0,-0.007,0.418,0.436,0.33,-0.021,0.145
2007,Pioneer League,150,0.811,0.801,86.924,0.0,-0.118,0.11,-2.252,0.0,1.934,0.0,0.004,0.0,0.0,0.975,0.086,0.831,0.009,0.54
2007,South Atlantic League,298,0.902,0.9,382.975,0.0,-0.103,0.001,-2.526,0.0,1.992,0.0,0.005,0.0,-0.008,0.325,0.179,0.368,-0.007,0.315
2007,Southern League,145,0.943,0.94,323.703,0.0,-0.051,0.254,-2.277,0.0,1.563,0.0,0.004,0.0,-0.023,0.006,0.175,0.338,0.001,0.909
