Transition,Era,N,From_SB_rate_mean,To_SB_rate_mean,Translation_mean,Translation_median,Translation_p25,Translation_p75
A+->AA,2006-2014,728.0,0.0386,0.0295,0.8249,0.7101,0.4822,1.0364
A+->AA,2015-2019,385.0,0.0368,0.0309,0.9008,0.7958,0.4843,1.1398
A+->AA,2020-2022,184.0,0.0459,0.0407,0.9533,0.8814,0.5407,1.209
A+->AA,2023-2026,298.0,0.051,0.0449,0.9549,0.8506,0.5713,1.1888
A->A+,2006-2014,1139.0,0.0399,0.0329,0.8668,0.762,0.4804,1.1249
A->A+,2015-2019,548.0,0.0392,0.0328,0.8889,0.7564,0.4798,1.1578
A->A+,2020-2022,264.0,0.0532,0.0444,0.9062,0.7958,0.5348,1.1529
A->A+,2023-2026,384.0,0.0598,0.0496,0.9238,0.7976,0.4853,1.2026
AA->AAA,2006-2014,364.0,0.0359,0.0285,0.8393,0.72,0.4583,1.1515
AA->AAA,2015-2019,202.0,0.0364,0.0263,0.7483,0.6343,0.4175,0.9657
AA->AAA,2020-2022,82.0,0.0393,0.0343,0.8956,0.7455,0.4535,1.171
AA->AAA,2023-2026,137.0,0.0486,0.042,0.9309,0.8414,0.5471,1.2353
AAA->MLB,2006-2014,143.0,0.0354,0.0214,0.6221,0.4975,0.224,0.912
AAA->MLB,2015-2019,103.0,0.0359,0.023,0.6201,0.5604,0.2427,0.9034
AAA->MLB,2020-2022,39.0,0.0481,0.0286,0.6076,0.6023,0.3147,0.8149
AAA->MLB,2023-2026,47.0,0.038,0.0261,0.6844,0.6895,0.3437,0.9896
R->A,2006-2014,978.0,0.0546,0.0381,0.7484,0.6508,0.3738,1.0018
R->A,2015-2019,649.0,0.0554,0.0363,0.702,0.5845,0.3471,0.962
R->A,2020-2022,220.0,0.0655,0.0441,0.7347,0.6516,0.3798,0.9425
R->A,2023-2026,287.0,0.0715,0.0514,0.7527,0.6865,0.4193,0.9934
