PlayerId,Name,Transition,From_Level,To_Level,From_Season,To_Season,From_PA,From_SB,From_SB_rate,To_PA,To_SB,To_SB_rate,Translation,Era
49,Kyle Blanks,A->A+,A,A+,2006,2007,360,2,0.005555555555555556,531,11,0.02071563088512241,3.7288135593220337,2006-2014
49,Kyle Blanks,A+->AA,A+,AA,2007,2008,531,11,0.02071563088512241,565,5,0.008849557522123894,0.42719227674979887,2006-2014
49,Kyle Blanks,AA->AAA,AA,AAA,2008,2009,565,5,0.008849557522123894,280,0,0.0,0.0,2006-2014
109,Darren Ford,A->A+,A,A+,2006,2007,566,69,0.12190812720848057,317,36,0.11356466876971609,0.9315594568646276,2006-2014
109,Darren Ford,A+->AA,A+,AA,2009,2010,441,35,0.07936507936507936,516,37,0.07170542635658915,0.9034883720930234,2006-2014
113,Steven Lerud,A->A+,A,A+,2006,2007,446,4,0.008968609865470852,328,3,0.009146341463414634,1.0198170731707317,2006-2014
113,Steven Lerud,A+->AA,A+,AA,2007,2008,328,3,0.009146341463414634,163,1,0.006134969325153374,0.670756646216769,2006-2014
173,Scott Cousins,A->A+,A,A+,2007,2008,472,16,0.03389830508474576,211,11,0.052132701421800945,1.537914691943128,2006-2014
193,Carlos Triunfel,A+->AA,A+,AA,2008,2010,479,30,0.06263048016701461,498,2,0.004016064257028112,0.0641231593038822,2006-2014
193,Carlos Triunfel,AA->AAA,AA,AAA,2010,2011,498,2,0.004016064257028112,117,1,0.008547008547008548,2.1282051282051286,2006-2014
198,Danny Worth,A+->AA,A+,AA,2007,2008,192,6,0.03125,336,8,0.023809523809523808,0.7619047619047619,2006-2014
198,Danny Worth,AA->AAA,AA,AAA,2008,2009,336,8,0.023809523809523808,162,3,0.018518518518518517,0.7777777777777778,2006-2014
198,Danny Worth,AAA->MLB,AAA,MLB,2009,2010,162,3,0.018518518518518517,115,1,0.008695652173913044,0.46956521739130436,2006-2014
209,Antoan Richardson,A->A+,A,A+,2006,2007,493,66,0.13387423935091278,469,43,0.09168443496801706,0.684854946048976,2006-2014
209,Antoan Richardson,A+->AA,A+,AA,2007,2008,469,43,0.09168443496801706,445,33,0.07415730337078652,0.808831983276718,2006-2014
341,Leyson Septimo,A->A+,A,A+,2006,2007,586,10,0.017064846416382253,399,12,0.03007518796992481,1.7624060150375938,2006-2014
447,Melky Mesa,R->A,R,A,2007,2009,169,5,0.029585798816568046,570,18,0.031578947368421054,1.0673684210526317,2006-2014
447,Melky Mesa,A->A+,A,A+,2009,2010,570,18,0.031578947368421054,509,31,0.060903732809430254,1.928618205631958,2006-2014
