Transition,From_Season,N,From_SB_rate_mean,To_SB_rate_mean,Translation_mean,Translation_median,Translation_p25,Translation_p75
A+->AA,2006,69.0,0.0396,0.0274,0.7571,0.6857,0.4849,0.9927
A+->AA,2007,78.0,0.0403,0.0309,0.804,0.6772,0.459,1.003
A+->AA,2008,76.0,0.0334,0.0263,0.8037,0.7141,0.428,1.0241
A+->AA,2009,87.0,0.0401,0.0282,0.7066,0.6713,0.4703,0.9731
A+->AA,2010,69.0,0.0335,0.0277,0.9643,0.7941,0.5257,1.245
A+->AA,2011,78.0,0.0404,0.0334,0.9052,0.7513,0.5433,1.0685
A+->AA,2012,90.0,0.0425,0.0319,0.8381,0.7803,0.4856,1.0515
A+->AA,2013,96.0,0.0368,0.0255,0.7596,0.6241,0.3913,0.9295
A+->AA,2014,85.0,0.0396,0.0339,0.9119,0.7263,0.4951,1.2005
A+->AA,2015,87.0,0.0363,0.0275,0.8077,0.6844,0.4429,0.9434
A+->AA,2016,80.0,0.036,0.0289,0.847,0.7399,0.4552,1.0735
A+->AA,2017,71.0,0.0403,0.0365,0.9817,0.871,0.5631,1.2123
A+->AA,2018,92.0,0.0344,0.0315,1.0201,0.8404,0.5333,1.3893
A+->AA,2019,55.0,0.0383,0.0309,0.8226,0.8217,0.4147,1.146
A+->AA,2021,91.0,0.0455,0.041,0.9713,0.9328,0.6425,1.2388
A+->AA,2022,93.0,0.0463,0.0405,0.9357,0.7899,0.5219,1.1967
A+->AA,2023,108.0,0.0484,0.0452,1.0159,0.86,0.626,1.2197
A+->AA,2024,114.0,0.0513,0.0415,0.8767,0.7827,0.5473,1.0703
A+->AA,2025,76.0,0.0543,0.0495,0.9854,0.8897,0.6229,1.2306
A->A+,2006,124.0,0.0373,0.0311,0.8437,0.792,0.4778,1.0368
A->A+,2007,139.0,0.0377,0.0318,0.8942,0.8104,0.4817,1.1767
A->A+,2008,105.0,0.0404,0.032,0.8658,0.8165,0.4103,1.2443
A->A+,2009,132.0,0.0398,0.0341,0.8982,0.7647,0.5373,1.1065
A->A+,2010,123.0,0.0428,0.0325,0.7824,0.7297,0.4487,1.0468
A->A+,2011,134.0,0.0413,0.0352,0.8734,0.7239,0.4493,1.1237
A->A+,2012,132.0,0.0394,0.0332,0.8527,0.8043,0.4896,1.1044
A->A+,2013,128.0,0.0431,0.0347,0.8724,0.7388,0.4622,1.159
A->A+,2014,122.0,0.0378,0.031,0.9128,0.7375,0.5259,1.1508
A->A+,2015,122.0,0.0437,0.0336,0.8035,0.7392,0.4769,1.0325
A->A+,2016,117.0,0.0354,0.0296,0.8946,0.7294,0.4865,1.1499
A->A+,2017,130.0,0.0386,0.0283,0.7515,0.6627,0.387,0.9442
A->A+,2018,105.0,0.0401,0.0346,0.9456,0.8238,0.4895,1.2087
A->A+,2019,74.0,0.0375,0.0421,1.1813,0.998,0.7267,1.4982
A->A+,2021,128.0,0.055,0.0477,0.9289,0.8206,0.549,1.1532
A->A+,2022,136.0,0.0515,0.0413,0.8849,0.7897,0.5092,1.1529
A->A+,2023,135.0,0.0587,0.051,0.945,0.8646,0.51,1.2112
A->A+,2024,124.0,0.0594,0.0482,0.9127,0.8036,0.4741,1.1577
A->A+,2025,125.0,0.0616,0.0495,0.9118,0.7257,0.4823,1.138
AA->AAA,2006,41.0,0.0371,0.0319,0.8933,0.7939,0.5458,1.1348
AA->AAA,2007,31.0,0.0324,0.0285,0.9078,0.6473,0.4503,1.3192
AA->AAA,2008,33.0,0.0364,0.0332,0.9017,0.901,0.4841,1.2719
AA->AAA,2009,37.0,0.0291,0.0249,0.9163,0.7549,0.4837,1.2429
AA->AAA,2010,41.0,0.0328,0.0295,0.9658,0.9223,0.6399,1.1927
AA->AAA,2011,36.0,0.0413,0.027,0.7084,0.5608,0.2482,1.0173
AA->AAA,2012,46.0,0.0384,0.0291,0.8067,0.6356,0.4356,1.1644
AA->AAA,2013,53.0,0.0378,0.0256,0.7142,0.6631,0.4463,0.9297
AA->AAA,2014,46.0,0.0363,0.028,0.805,0.6745,0.3383,0.9916
AA->AAA,2015,46.0,0.0352,0.0199,0.5852,0.5409,0.3393,0.7315
AA->AAA,2016,37.0,0.0394,0.0334,1.0155,0.7908,0.5338,1.3734
AA->AAA,2017,36.0,0.0337,0.0282,0.8313,0.7884,0.5476,1.0118
AA->AAA,2018,49.0,0.0349,0.0215,0.611,0.5886,0.326,0.9024
AA->AAA,2019,34.0,0.0396,0.0323,0.7879,0.6736,0.4121,1.0374
AA->AAA,2021,37.0,0.0378,0.0399,0.9759,0.9463,0.597,1.3065
AA->AAA,2022,45.0,0.0406,0.0297,0.8296,0.6443,0.4453,1.0571
AA->AAA,2023,46.0,0.0515,0.0377,0.8021,0.6649,0.4964,1.0111
AA->AAA,2024,54.0,0.0446,0.041,0.9736,0.9063,0.6102,1.1887
AA->AAA,2025,37.0,0.0507,0.0488,1.0288,0.9648,0.6025,1.4103
AAA->MLB,2006,15.0,0.0397,0.0251,0.5321,0.3374,0.0895,0.8388
AAA->MLB,2007,23.0,0.0337,0.0227,0.651,0.5935,0.2638,1.0061
AAA->MLB,2008,13.0,0.0403,0.0279,0.8192,0.7154,0.3163,0.9436
AAA->MLB,2009,15.0,0.0373,0.0187,0.4793,0.3637,0.1926,0.7982
AAA->MLB,2010,17.0,0.0301,0.0252,0.8409,0.7897,0.495,0.9425
AAA->MLB,2011,14.0,0.0303,0.016,0.597,0.4568,0.2198,0.8369
AAA->MLB,2012,14.0,0.0314,0.021,0.655,0.4551,0.0869,1.0091
AAA->MLB,2013,14.0,0.0434,0.0194,0.3893,0.295,0.19,0.6046
AAA->MLB,2014,18.0,0.0349,0.0171,0.6055,0.4681,0.2717,0.802
AAA->MLB,2015,17.0,0.0417,0.0305,0.6079,0.5,0.3435,0.9286
AAA->MLB,2016,28.0,0.0297,0.0148,0.4841,0.4572,0.1823,0.6444
AAA->MLB,2017,20.0,0.037,0.0236,0.676,0.6334,0.4265,0.7836
AAA->MLB,2018,21.0,0.0383,0.0237,0.6462,0.5133,0.1798,0.8192
AAA->MLB,2019,17.0,0.036,0.0276,0.7583,0.8788,0.4899,1.0549
AAA->MLB,2021,16.0,0.0438,0.0208,0.494,0.4562,0.2948,0.6803
AAA->MLB,2022,23.0,0.0511,0.034,0.6867,0.6922,0.3923,0.8463
AAA->MLB,2023,21.0,0.0321,0.0259,0.753,0.7058,0.429,1.0405
AAA->MLB,2024,18.0,0.0408,0.0284,0.7276,0.7077,0.4398,0.9917
AAA->MLB,2025,8.0,0.0474,0.0215,0.4071,0.1772,0.0,0.6927
R->A,2006,94.0,0.0528,0.0356,0.7664,0.5881,0.3616,1.0707
R->A,2007,102.0,0.0528,0.0377,0.7957,0.7178,0.4227,1.1051
R->A,2008,100.0,0.0604,0.0417,0.7507,0.6893,0.3696,0.9585
R->A,2009,117.0,0.0548,0.0384,0.7137,0.6291,0.3485,0.913
R->A,2010,92.0,0.0552,0.0391,0.7385,0.6942,0.3909,0.9749
R->A,2011,119.0,0.0551,0.0375,0.7474,0.6655,0.4096,0.9479
R->A,2012,120.0,0.0513,0.0367,0.7466,0.645,0.3512,1.0202
R->A,2013,114.0,0.0574,0.0405,0.7385,0.6667,0.3995,0.9818
R->A,2014,120.0,0.0526,0.0357,0.7459,0.617,0.3556,1.0233
R->A,2015,127.0,0.0561,0.0348,0.6832,0.5895,0.3917,0.9308
R->A,2016,136.0,0.0555,0.0329,0.6417,0.538,0.3275,0.8232
R->A,2017,117.0,0.0475,0.0343,0.7912,0.625,0.3032,1.1017
R->A,2018,142.0,0.0556,0.0393,0.7335,0.5877,0.3753,0.9406
R->A,2019,127.0,0.0617,0.0399,0.668,0.5676,0.303,0.9465
R->A,2021,116.0,0.0699,0.0441,0.6826,0.6196,0.3627,0.7952
R->A,2022,104.0,0.0606,0.0441,0.7927,0.7147,0.4224,1.0011
R->A,2023,106.0,0.0673,0.0462,0.7207,0.6908,0.4153,0.9445
R->A,2024,107.0,0.0723,0.0558,0.8083,0.7126,0.4404,1.0307
R->A,2025,74.0,0.0764,0.0525,0.7181,0.648,0.3936,0.9863
