PlayerId,Name,Seasons,Season_Range,Total_PA,Skill_Score
3179,Dioner Navarro,1,2008,18,100.71
613669,Adam Kirsch,1,2014,19,86.77
622368,Pablo Ceballos,1,2012,18,83.18
543373,Rodarrick Jones,1,2011,16,81.18
608889,Junior Geraldo,1,2011,71,79.24
7208,Jeremy Hermida,2,2007-2008,32,77.58
3531,Troy Tulowitzki,1,2008,42,76.76
20123,Juan Soto,3,2016-2018,488,75.93
12751,Tyler Pill,1,2014,19,75.35
3410,Ryan Braun,1,2007,134,75.09
804944,Jackson Lovich,1,2025,26,74.94
821261,Starling Fernandez,1,2024,24,74.81
3371,Alejandro De Aza,1,2007,35,74.46
501927,Connor Janes,1,2007,16,73.97
823787,Rainiel Rodriguez,2,2024-2025,552,73.56
17901,Andrew Benintendi,2,2015-2016,504,73.29
805808,Kevin McGonigle,3,2023-2025,818,72.59
19611,Vladimir Guerrero Jr.,3,2016-2018,1207,72.58
489264,Josh Romanski,1,2008,15,72.12
33266,Jacob Wilson,3,2023-2025,352,72.07
829058,Gabriel Davalillo,1,2025,169,72.0
829854,Luis Arana,1,2025,227,71.93
5360,Henry Villar,1,2010,10,71.43
681717,Abraham Zambrano,1,2018,33,71.15
570826,Angel Heredia,1,2009,76,71.12
804560,Charles Davalan,1,2025,37,71.07
22581,Alejandro Kirk,2,2018-2021,300,70.64
543831,Kyle Suire,1,2008,203,70.5
821026,Ibrain Ricardo,1,2024,14,70.46
35108,Cam Smith,1,2024,134,70.38
676911,Richard Slenker,1,2017,28,70.36
23667,Wander Franco,3,2018-2022,478,70.28
13611,Mookie Betts,2,2013-2014,1015,70.06
829059,Johan De Los Santos,1,2025,174,69.82
670585,Evan Rogers,1,2016,19,69.74
665766,Andrison Pena,2,2016-2017,333,69.58
804995,Henry Godbout,1,2025,55,69.54
821181,Juneiker Caceres,2,2024-2025,457,69.43
833411,Santiago Figueroa,1,2025,99,69.31
33333,Wyatt Langford,3,2023-2025,222,69.29
829866,Junior Suriel,1,2025,133,69.22
829890,Isaac Garcia,1,2025,159,69.14
829997,Ricardo Romero,1,2025,205,69.07
821692,Cristian Arguelles,2,2024-2025,438,69.02
672502,Victor Gonzalez,1,2017,26,69.0
19610,Keibert Ruiz,5,2015-2021,1546,68.95
501960,Vinny DiFazio,2,2009-2010,326,68.94
821145,Josmir Reyes,1,2025,190,68.8
520588,Kris Sanchez,1,2008,154,68.75
501471,Yeider Chirinos,1,2007,153,68.75
17678,Alex Bregman,2,2015-2016,679,68.64
808265,Franklin Arias,3,2023-2025,1057,68.62
827281,Carlos Renzullo,2,2024-2025,381,68.62
572822,Brayden Drake,1,2009,80,68.49
