Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,Rank,OOF_R2
PPPA,0.03272,-0.00911,0.03863,1,0.222
Age_Z_SL,0.02335,-0.00943,0.02899,2,0.222
AVG,0.01304,-0.00352,0.01575,3,0.222
K%,0.01247,-0.00319,0.01819,4,0.222
wRC+,0.00802,-0.00304,0.01039,5,0.222
K%_best,0.00677,-0.00194,0.01233,6,0.222
Cent%,0.00541,-0.00134,0.00656,7,0.222
K%_arc_sd,0.0052,-0.00095,0.00588,8,0.222
PPPA_delta,0.0046,-0.00073,0.00649,9,0.222
Oppo%,0.00459,-0.00064,0.0052,10,0.222
PPPA_best,0.00388,-0.0017,0.00476,11,0.222
Pull%,0.00379,-0.00041,0.00568,12,0.222
SLG,0.00364,-0.00049,0.00653,13,0.222
SB_rate_best,0.00356,-0.00052,0.00585,14,0.222
GB%,0.00284,0.00019,0.0045,15,0.222
IFFB%,0.00215,-0.00048,0.0028,16,0.222
BB%,0.00196,-0.00054,0.00247,17,0.222
OBP,0.0019,0.00031,0.00237,18,0.222
ISO,0.00188,-0.00093,0.00333,19,0.222
BABIP,0.00186,6e-05,0.00299,20,0.222
Debut_Year,0.00184,-0.00086,0.00252,21,0.222
Total_MiLB_PA,0.00184,-0.00079,0.00712,22,0.222
wRC+_delta,0.00177,-0.00058,0.00254,23,0.222
FB%,0.00169,-0.00063,0.00216,24,0.222
BB%_delta,0.00163,-0.00051,0.00315,25,0.222
wOBA,0.00162,-6e-05,0.00298,26,0.222
K%_slope,0.00161,-1e-04,0.0022,27,0.222
LD%,0.00145,-0.0002,0.00229,28,0.222
GB/FB,0.00142,-0.00048,0.00168,29,0.222
SwStr%,0.00136,-9e-05,0.00188,30,0.222
Max_Level,0.00124,-0.00053,0.00182,31,0.222
K%_delta,0.00095,-0.00042,0.00161,32,0.222
ISO_delta,0.00087,-0.00011,0.00157,33,0.222
HR/FB,0.0007,7e-05,0.00098,34,0.222
MiLB_Seasons,0.00023,-3e-05,0.00044,35,0.222
