Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,Rank,OOF_R2
PPPA,0.02986,-0.00536,0.03847,1,0.105
K%,0.01983,-0.0016,0.02356,2,0.105
AVG,0.0112,-0.00248,0.01319,3,0.105
PPPA_best,0.00768,-0.00084,0.00892,4,0.105
Debut_Year,0.00707,-0.00037,0.00814,5,0.105
BABIP,0.00672,0.00035,0.00781,6,0.105
K%_best,0.00653,0.00015,0.00855,7,0.105
IFFB%,0.00598,4e-05,0.00873,8,0.105
Cent%,0.00587,-0.00075,0.00664,9,0.105
Age_Z_SL,0.00525,-0.00115,0.00951,10,0.105
K%_arc_sd,0.00499,-0.00045,0.00611,11,0.105
wRC+,0.00413,3e-05,0.00531,12,0.105
GB%,0.00384,-0.00077,0.00507,13,0.105
HR/FB,0.00383,0.00023,0.00587,14,0.105
LD%,0.00365,-0.00046,0.00597,15,0.105
wOBA,0.00343,-0.00043,0.00464,16,0.105
K%_slope,0.00321,-0.00024,0.00421,17,0.105
GB/FB,0.00277,4e-05,0.00335,18,0.105
FB%,0.00262,-0.00026,0.00327,19,0.105
ISO,0.00261,-0.00079,0.00299,20,0.105
SwStr%,0.00221,-0.00016,0.00335,21,0.105
PPPA_delta,0.00202,-8e-05,0.00236,22,0.105
K%_delta,0.00181,-0.00012,0.00245,23,0.105
Oppo%,0.00161,-5e-05,0.00224,24,0.105
OBP,0.00155,-0.00036,0.00228,25,0.105
BB%_delta,0.00154,-0.00025,0.00188,26,0.105
SB_rate_best,0.00153,-0.0003,0.00267,27,0.105
BB%,0.0015,-0.00029,0.00222,28,0.105
ISO_delta,0.00143,-0.00016,0.0024,29,0.105
wRC+_delta,0.00135,-0.00046,0.00188,30,0.105
Pull%,0.00126,0.00016,0.002,31,0.105
Total_MiLB_PA,0.00108,-9e-05,0.00197,32,0.105
MiLB_Seasons,0.0003,-8e-05,0.00048,33,0.105
SLG,0.00028,0.00017,0.00044,34,0.105
Max_Level,0.0,0.0,0.0,35,0.105
