Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,wRC+,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,Zone%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,GB%,FB%,LD%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Juan Brito,CLE,682877.0,sa3009808,24,8792,647,549,0.255,0.363,0.44299999999999995,0.0,21,87.0,105,13.4,16.2,114.0,0.27899999999999997,0.353,0.318,25.3275,85.1198,9.92,45.04,70.4263,21.7353,108.0,101.9,87.7,33.4,6.1,4.2,0.23,0.364,22.8,37.4,38.8,23.8,18.0,3.85239,-1.10125,-0.001702086553323,31.986806359310695,2024,AAA
Andre Lipcius,CHW,686531.0,sa3010401,27,10009,634,560,0.271,0.35,0.45899999999999996,0.0,25,67.0,144,10.6,22.7,106.0,0.322,0.35100000000000003,0.3,28.7491,76.0547,14.3951,47.6646,70.4418,29.6063,106.3,99.3,86.8,30.8,6.4,4.3,0.22399999999999998,0.366,20.0,35.5,38.9,25.6,19.0,4.3038099999999995,-0.48482600000000003,-0.0007647097791798,14.370033797903805,2024,AAA
Jesús Bastidas,ATL,665846.0,sa916969,27,9897,604,525,0.242,0.33399999999999996,0.44799999999999995,0.0,25,52.0,140,8.6,23.2,105.0,0.28,0.341,0.31,36.1398,82.7957,15.2815,43.7444,75.9959,28.5238,107.8,102.1,87.2,36.0,7.1,4.5,0.22,0.37200000000000005,24.9,31.5,46.0,22.5,22.0,5.5159400000000005,0.652108,0.0010796490066225,17.535140844693075,2024,AAA
Blaine Crim,COL,688760.0,sa3010170,28,10349,585,504,0.276,0.369,0.466,0.0,20,70.0,101,12.0,17.3,115.0,0.307,0.363,0.344,28.7029,84.1369,11.603,44.315,67.613,25.2535,112.5,106.3,89.1,41.1,7.2,5.0,0.262,0.418,21.4,38.7,35.2,26.1,15.0,4.486759999999999,-0.031166000000000003,-5.327521367521367e-05,17.6156134795096,2024,AAA
Luisangel Acuña,NYM,682668.0,sa3008765,23,8619,581,543,0.258,0.299,0.355,0.0,7,32.0,95,5.5,16.4,66.0,0.299,0.287,0.278,34.9376,89.1304,11.3376,44.2069,72.4409,22.0077,109.6,103.0,87.9,35.9,3.3,2.6,0.245,0.332,8.5,54.9,23.9,21.2,4.0,7.9961,0.319736,0.0005503201376936,29.18478632169496,2024,AAA
Colson Montgomery,CHW,695657.0,sa3017170,23,8634,572,485,0.214,0.327,0.381,0.0,18,68.0,164,11.9,28.7,80.0,0.281,0.316,0.306,26.6508,80.411,12.9859,46.305,67.3432,28.5446,113.8,104.5,85.8,34.3,7.7,4.4,0.215,0.345,24.4,38.6,37.4,24.0,18.0,4.80315,-0.45878599999999997,-0.0008020734265734,29.624041521990748,2024,AAA
Samad Taylor,SEA,669392.0,sa918192,27,9960,571,491,0.248,0.34299999999999997,0.371,0.0,11,68.0,156,11.9,27.3,91.0,0.336,0.318,0.292,26.2257,79.745,11.8245,47.7855,60.034,27.9003,109.4,99.9,86.0,28.9,3.5,2.1,0.218,0.314,11.1,45.4,30.0,24.6,11.0,7.4813,1.41003,0.002469404553415,16.218557098765434,2024,AAA
Luke Ritter,NYM,682239.0,sa3009878,28,10472,567,479,0.257,0.369,0.48,0.0,26,73.0,174,12.9,30.7,119.0,0.345,0.369,0.337,27.0227,77.0468,16.1419,45.1885,67.1246,35.7564,110.2,105.6,89.6,44.4,12.7,6.9,0.228,0.414,16.6,46.2,30.8,23.1,10.0,3.80093,-1.3436,-0.0023696649029982,14.297319074717073,2024,AAA
John Rave,KCR,670231.0,sa918890,27,10151,566,494,0.257,0.345,0.47,0.0,21,65.0,125,11.5,22.1,107.0,0.301,0.35100000000000003,0.313,25.5167,82.3444,9.979,47.2537,61.3132,23.5178,111.2,103.6,88.4,37.3,8.6,5.7,0.233,0.375,22.1,41.3,34.9,23.9,13.0,6.62252,-0.023675400000000003,-4.1829328621908117e-05,19.326108914180384,2024,AAA
Yunior Severino,0,670870.0,sa3003185,26,9513,564,489,0.254,0.34,0.434,0.0,21,66.0,154,11.7,27.3,98.0,0.321,0.337,0.317,30.3105,77.1429,16.3293,44.9393,66.5666,35.0386,113.5,105.2,89.7,42.2,9.1,5.5,0.22899999999999998,0.389,12.3,48.0,31.8,20.1,8.0,3.8404199999999995,-0.341149,-0.0006048741134751,26.758995359653635,2024,AAA
