Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Ryan Ward,LAD,669899.0,sa1169792,28,10323,648,566,0.29,0.377,0.557,0.267,36,79,122,12.2,18.8,0.312,0.397,0.35100000000000003,26.815240833932425,83.92603129445236,9.133858267716537,61.18363794604004,21.6,111.4,104.7,91.5,50.2,11.3,7.716049382716049,0.258,0.45399999999999996,18.6,13.6,5.928380000000001,-1.19213,-0.0018397067901234567,34.87015056167038,2025,AAA
Yonathan Perlaza,0,666632.0,sa917302,27,10061,617,536,0.302,0.386,0.507,0.205,19,72,125,11.7,20.3,0.36,0.384,0.33799999999999997,26.910828025477706,81.32611637347767,13.745271122320304,65.80587711487088,30.4,113.7,105.6,90.7,46.1,7.3,4.8622366288492715,0.26,0.42,16.4,8.4,4.96445,-1.91724,-0.003107358184764992,34.38873591192713,2025,AAA
Samad Taylor,SDP,669392.0,sa918192,27,10180,617,535,0.282,0.37,0.45399999999999996,0.172,17,73,122,11.8,19.8,0.33399999999999996,0.358,0.299,27.55376344086021,85.43833580980683,9.342954804405618,58.77729257641922,22.7,109.7,99.9,86.4,30.0,3.6,2.431118314424636,0.22699999999999998,0.336,16.0,12.6,8.15423,2.19524,0.003557925445705024,25.398413807232533,2025,AAA
Jonathon Long,CHC,675085.0,sa3022864,24,8896,606,513,0.304,0.40299999999999997,0.478,0.17300000000000001,20,79,116,13.0,19.1,0.35700000000000004,0.384,0.354,24.404761904761905,85.3021978021978,9.06625339015885,58.85206143896525,22.2,111.6,105.9,90.9,47.1,10.1,6.6006600660066,0.254,0.44299999999999995,10.5,10.3,3.4232099999999996,-1.28336,-0.0021177557755775573,49.376012319741065,2025,AAA
Rhylan Thomas,HOU,689041.0,sa3020124,26,9541,597,538,0.32,0.374,0.40700000000000003,0.087,7,45,32,7.5,5.4,0.326,0.344,0.299,33.33333333333333,94.23368740515932,5.265848670756647,73.22222222222223,10.2,107.8,97.1,85.7,19.4,0.2,0.1675041876046901,0.27399999999999997,0.33299999999999996,11.4,10.9,5.9308,1.38564,0.0023210050251256287,25.88806105206641,2025,AAA
TJ Rumfield,COL,681198.0,sa3017330,26,9509,586,499,0.285,0.377,0.447,0.162,16,69,108,11.8,18.4,0.32899999999999996,0.36,0.327,29.363784665579118,86.84895833333334,10.628019323671495,73.0732635585157,21.5,110.7,103.5,87.8,36.9,6.3,4.266211604095563,0.244,0.39,25.6,17.0,3.6780699999999995,-1.37887,-0.0023530204778157,35.680424617230834,2025,AAA
Hao-Yu  Lee,DET,701678.0,sa3017863,23,8517,578,497,0.243,0.341,0.406,0.163,14,64,121,11.1,20.9,0.292,0.32899999999999996,0.33399999999999996,25.556471558120364,81.62729658792651,11.815437688658905,68.89692585895118,25.6,112.2,105.4,89.8,44.8,9.3,5.882352941176469,0.237,0.409,10.8,11.6,7.31003,0.8256049999999999,0.0014283823529411765,49.295471459074285,2025,AAA
Jesús Bastidas,MIA,665846.0,sa916969,27,10117,574,500,0.262,0.35100000000000003,0.44,0.17800000000000002,16,53,138,9.2,24.0,0.33,0.34600000000000003,0.303,34.33931484502447,83.28402366863905,15.072328511432572,73.7186477644493,29.4,109.2,102.4,86.9,34.4,6.1,3.8327526132404177,0.223,0.355,24.0,19.9,4.0237099999999995,-0.0383815,-6.686672473867595e-05,21.22478143609186,2025,AAA
Tanner Murray,CHW,695020.0,sa3016805,26,9762,569,520,0.24,0.299,0.4,0.16,18,39,138,6.9,24.3,0.29100000000000004,0.304,0.297,33.69663941871026,80.22922636103151,14.710180224062347,73.31932773109243,28.3,112.4,105.9,90.6,47.9,7.0,4.745166959578207,0.23399999999999999,0.38,18.3,12.1,2.95211,-1.87982,-0.003303725834797891,30.38973857986836,2025,AAA
Marco Luciano,NYY,682617.0,sa3010022,24,9026,554,462,0.214,0.33399999999999996,0.413,0.19899999999999998,23,84,170,15.2,30.7,0.276,0.32799999999999996,0.316,22.00772200772201,74.67811158798283,15.355329949238575,65.38821328344247,36.9,113.7,107.3,91.3,45.3,12.5,6.678700361010832,0.193,0.386,15.4,13.4,4.30451,-0.607387,-0.0010963664259927798,42.9296723251266,2025,AAA
Tristan Peters,CHW,671976.0,sa3017851,26,9588,550,478,0.264,0.353,0.429,0.165,15,64,102,11.6,18.5,0.304,0.342,0.308,28.769497400346626,79.76710334788937,12.541254125412538,71.04446742502584,26.1,106.8,100.5,86.5,29.6,5.0,3.4545454545454546,0.23399999999999999,0.36200000000000004,21.6,16.9,4.72535,-2.27292,-0.004132581818181818,25.639262518885086,2025,AAA
