Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,wRC+,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,Zone%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,GB%,FB%,LD%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Josue De Paula,LAD,800543.0,sa3018591,21.0,7665,555,476,0.0,0.0,0.0,0.245798319,26,0.0,80,13.333333300000001,14.4144144,146.78658248920388,0.322580645,0.4173464902270767,0.0,27.561837455830393,89.36484490398819,6.5362599999999995,47.5925925925926,65.85603112840468,15.271966527196653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.80676328502416,40.6169665,31.3624678,28.020565500000004,0.0,5.7827166692259455,-0.6776791680604219,-0.0012210435460548,40.64821382799854,2026,AA
Charlie Pagliarini,SEA,813860.0,sa3022487,25.0,9125,539,452,0.0,0.0,0.0,0.22566371699999999,24,0.0,156,14.2857142,28.942486,140.21861371818014,0.35766423299999994,0.3915450311989863,0.0,25.5109765329296,77.26618705035972,14.128521,44.26160337552743,66.25357483317445,33.8042381432896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.779220779220783,40.540540500000006,32.7702702,26.6891891,0.0,5.250819929647269,-1.7268961258232594,-0.0032038889161841,15.767880897418447,2026,AA
Hunter Fitz-Gerald,SEA,686638.0,sa3022482,25.0,9125,531,479,0.0,0.0,0.0,0.25052192100000004,27,0.0,161,7.5329565999999994,30.320150599999998,126.69946822103829,0.34797297200000005,0.3697453251217269,0.0,36.27946127946128,79.86666666666666,18.238691000000006,46.0,74.1106719367589,35.66936208445642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.128654970760238,36.5625,36.875,26.5625,0.0,5.1029816981116065,-0.4932705601677298,-0.0009289464409938,11.416559101924882,2026,AA
Raylin Heredia,PHI,699712.0,sa3016826,22.0,8030,531,500,0.0,0.0,0.0,0.19399999999999998,21,0.0,134,4.1431261,25.2354048,100.85094908287884,0.345821325,0.3454888819070755,0.0,40.78694817658349,82.17821782178217,16.054054,45.95435684647303,68.39729119638827,30.969030969030968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,41.0614525,31.2849162,27.653631199999996,0.0,5.870658230369742,0.3640098515897989,0.0006855176112802,18.77497174941115,2026,AA
Cam Collier,CIN,702253.0,sa3020131,21.0,7665,523,467,0.0,0.0,0.0,0.164882227,17,0.0,138,8.4130019,26.3862332,70.92062186040438,0.26265822699999997,0.2999545128350048,0.0,37.84965034965035,85.82202111613876,12.985735000000002,46.088595664467476,67.79141104294479,27.055449330783933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.103448275862068,43.5045317,33.836858,22.6586102,0.0,2.889943032204358,-1.2252079341560602,-0.0023426537937974,16.533222660435428,2026,AA
Aroon Escobar,PHI,800169.0,sa3018463,21.0,7665,519,444,0.0,0.0,0.0,0.09909909900000001,9,0.0,87,11.94605,16.7630057,70.46599443823767,0.246458923,0.2975466674003527,0.0,28.127772848269743,85.83690987124464,10.31746,46.07655502392343,72.58566978193146,23.456790123456788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.997347480106098,45.378151200000005,33.613445299999995,21.0084033,0.0,6.0966222809676625,-0.0544008556753397,-0.00010481860438400001,25.912336173226446,2026,AA
Jesús Made,MIL,815908.0,sa3024108,19.0,6935,516,455,0.0,0.0,0.0,0.15604395599999998,13,0.0,76,10.465116199999999,14.7286821,103.70663803370655,0.296495956,0.3448681857979413,0.0,29.921259842519692,87.64044943820225,8.710033000000001,48.004094165813726,66.4179104477612,19.97663551401869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.388489208633091,51.639344200000004,26.775956199999996,21.584699399999998,0.0,7.390369207781376,-0.4169101398438215,-0.0008079653872942,33.85850479093819,2026,AA
Andy Perez,COL,700321.0,sa3015857,22.0,8030,512,475,0.0,0.0,0.0,0.122105263,9,0.0,77,4.296875,15.0390625,96.30197019189484,0.335038363,0.3316081077216631,0.0,49.62080173347779,88.8135593220339,10.657194,46.739757645701104,72.83950617283949,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.114832535885165,52.040816299999996,24.2346938,23.7244897,0.0,5.98925486633337,-1.004413795657456,-0.0019617456946434,23.01127656130975,2026,AA
Alex Ramírez,CHC,691267.0,sa3014695,23.0,8395,508,468,0.0,0.0,0.0,0.136752137,13,0.0,94,6.1023622,18.503937,95.1868776154138,0.310626702,0.3220621090470336,0.0,36.62900188323918,84.05797101449275,12.12766,46.713497240341205,66.70247046186897,25.38860103626943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.771929824561402,50.6775067,27.100271000000003,22.222222199999997,0.0,6.606502129177593,2.371710505336523,0.0046687214671978,19.783117493845282,2026,AA
Sam Kulasingam,KCR,814528.0,sa3025316,24.0,8760,508,413,0.0,0.0,0.0,0.14527845,10,0.0,99,15.748031400000002,19.4881889,102.1004720497369,0.291262135,0.3519424826791971,0.0,26.09067579127459,87.04663212435233,7.97577,43.98658361284139,63.0718954248366,20.40332147093713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.727002967359047,45.5414012,28.9808917,25.477707000000002,0.0,6.839096128961152,0.4582182681187987,0.0009020044648007,24.343479371622823,2026,AA
