Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,wRC+,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,Zone%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,GB%,FB%,LD%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Luis Suisbel,SEA,692044.0,sa3016717,21,7665,552,475,0.0,0.0,0.0,0.16,15,0.0,144,8.876811499999997,26.086956500000007,111.55889771893759,0.351515151,0.3657603584054161,0.0,34.265103697024344,82.29974160206717,14.820075999999998,48.03186504217432,75.51219512195122,30.026109660574413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.323699421965323,39.4736842,37.4269005,23.0994152,0.0,5.031194325499527,-0.22105162171646955,-0.0004004558364428796,17.22649005734387,2024,A
Roderick Arias,NYY,703149.0,sa3019674,21,7712,550,472,0.233,0.335,0.39399999999999996,0.0,13,67.0,170,12.2,30.9,111.0,0.331,0.322,0.289,28.1121,75.3681,18.0952,44.9887,75.3024,36.6728,109.4,103.2,89.4,39.7,7.5,4.2,0.20199999999999999,0.325,18.6,42.7,33.0,24.3,12.0,8.024939999999999,0.166297,0.0003023581818181,31.523115030962657,2024,A
Anthony Scull,LAA,703430.0,sa3017988,20,7300,543,471,0.0,0.0,0.0,0.11464968099999999,7,0.0,108,7.1823204,19.8895027,97.20143960811905,0.32320441899999997,0.347070710114955,0.0,37.08873379860419,78.01526717557252,15.40154,45.4594888526373,78.3492822966507,29.950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.984168865435354,44.8087431,36.338797799999995,18.852459,0.0,7.064499770892588,0.3573095020838082,0.0006580285489572894,19.65773678168798,2024,A
Braedon Karpathios,SDP,701682.0,sa3019863,21,7665,534,429,0.0,0.0,0.0,0.132867133,8,0.0,145,17.7902621,27.153558,115.14918851611486,0.354609929,0.3762311972259136,0.0,18.114754098360656,75.15432098765432,12.191842,45.80186583740561,62.851600387972844,34.49074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.508532423208193,46.5034965,33.9160839,19.5804195,0.0,4.134448174423089,-1.6024211384356022,-0.003000788648755809,20.724578457605983,2024,A
Braylen Wimmer,COL,687918.0,sa3022671,23,8395,529,460,0.0,0.0,0.0,0.15,14,0.0,107,9.073724,20.2268431,115.47940158906336,0.338150289,0.374616667486911,0.0,36.4,76.26168224299066,12.798264999999999,45.65217391304348,63.69047619047619,27.505567928730517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.98342541436464,42.0454545,35.7954545,22.1590909,0.0,7.589795014749424,3.32139679370448,0.006278632880348732,11.32810901823208,2024,A
Tai Peete,SEA,806191.0,sa3022966,18,6570,528,468,0.0,0.0,0.0,0.13888888900000002,7,0.0,162,10.4166666,30.681818100000005,103.82703220228504,0.39144736799999996,0.35288192900127435,0.0,31.98924731182796,77.7059773828756,13.817664,47.18409843823947,62.086258776328975,32.81893004115227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.507936507936506,40.6557377,30.4918032,28.852459000000003,0.0,8.593223617253487,5.622825796715915,0.01064929128165893,24.90839928847656,2024,A
Jansel Luis,ARI,800306.0,sa3018508,19,6935,523,471,0.0,0.0,0.0,0.148619957,7,0.0,109,7.648183500000001,20.8413001,101.9205882758334,0.332394366,0.3532311648645236,0.0,40.359168241965975,79.89031078610603,13.2116,42.810810810810814,69.06565656565657,27.113402061855673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.325068870523415,48.4419263,30.3116147,21.246458899999997,0.0,7.411087940572277,-1.760344706941396,-0.003365859860308597,23.961120511707048,2024,A
Erick Torres,KCR,805075.0,sa3018641,19,6935,514,439,0.0,0.0,0.0,0.061503416,4,0.0,72,11.0894941,14.0077821,92.20076383474822,0.273224043,0.3177760476447744,0.0,28.38114754098361,86.94267515923569,8.0,51.491053677932406,60.617760617760624,19.497607655502392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.54314720812183,42.3822714,32.963988900000004,24.6537396,0.0,5.5767390583609595,-1.8357097180560231,-0.003571419684933897,26.486585655614487,2024,A
Cristofer Torin,ARI,800198.0,sa3018938,19,6935,512,419,0.0,0.0,0.0,0.088305489,4,0.0,84,15.8203125,16.40625,105.73696575941088,0.30838323300000003,0.3595878387999347,0.0,24.214876033057852,89.02195608782435,5.265568,44.520861989912895,51.59629248197735,16.3727959697733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.167155425219942,38.0664652,38.0664652,23.8670694,0.0,5.77384918683931,-0.5732703018002212,-0.001119668558203557,34.22082265883098,2024,A
Myles Naylor,ATH,802504.0,sa3022605,19,6935,499,416,0.0,0.0,0.0,0.129807692,11,0.0,173,15.8316633,34.6693386,75.09415080777117,0.29487179399999996,0.3166759790069381,0.0,26.628352490421463,65.73913043478261,18.288334,46.734693877551024,62.77292576419215,43.376318874560376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.040650406504069,44.725738299999996,36.7088607,18.565400800000006,0.0,4.550713080746683,0.3277108739130199,0.0006567352182625648,17.381821836497007,2024,A
