Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,wRC+,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,Zone%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,GB%,FB%,LD%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Emil Morales,LAD,815896.0,sa3023887,18,6570,269,233,0.0,0.0,0.0,0.19742489300000002,9,0.0,76,11.5241635,28.2527881,130.43132827418228,0.403973509,0.4054743111355154,0.0,27.597955706984674,74.48979591836735,18.081588,44.57034938621341,62.288135593220346,31.578947368421048,105.9,105.3,97.6,66.7,0.0,0.0,0.0,0.0,16.25,39.490445799999996,38.853503100000005,21.6560509,17.7,7.004551783179822,-0.5916550587862729,-0.002199461185079,18.92855784578851,2025,Rk
Jhonny Level,SFG,815929.0,sa3023898,18,6570,261,219,0.0,0.0,0.0,0.20547945199999998,9,0.0,40,12.6436781,15.3256704,121.4603119937705,0.305084745,0.3965976251952949,0.0,29.07801418439716,83.58662613981764,10.897436,44.70588235294118,72.14912280701752,21.501014198782958,111.8,106.6,81.4,40.0,30.0,1.1,0.0,0.0,13.44086021505376,45.810055799999994,43.5754189,10.614525099999998,24.0,8.435437338877653,0.5772178815677762,0.0022115627646274,25.79563078746698,2025,Rk
Yolfran Castillo,TEX,815931.0,sa3023726,18,6570,258,235,0.0,0.0,0.0,0.106382978,1,0.0,52,6.2015503,20.1550387,74.38600483102289,0.322580645,0.3184632587340451,0.0,30.725190839694648,87.25099601593624,9.058403,44.255319148936174,60.33653846153846,19.756097560975608,108.7,97.8,79.7,18.5,0.0,0.0,0.0,0.0,13.903743315508022,46.6666666,29.444444399999995,23.8888888,20.1,9.236649851514755,2.369932144880295,0.0091857835072879,18.01454167271246,2025,Rk
Juan Sanchez,TOR,825646.0,sa3067129,17,6205,253,214,0.0,0.0,0.0,0.224299065,8,0.0,44,10.2766798,17.391304299999998,156.32065818605176,0.39877300600000004,0.4791032942858609,0.0,25.72614107883817,84.79729729729729,9.924623,47.89189189189189,66.81715575620768,21.92118226600985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.901734104046245,36.8098159,44.785276,18.4049079,0.0,6.320260230403722,-1.199779293499887,-0.0047422106462446,32.19433357120801,2025,Rk
Donte Grant,SDP,815579.0,sa3023057,20,7300,252,200,0.0,0.0,0.0,0.115,1,0.0,61,11.111111099999999,24.2063492,103.91263361862076,0.330985915,0.3640768205027181,0.0,24.951644100580268,82.5910931174089,13.713592000000002,43.497267759562845,62.06030150753769,29.78723404255319,102.2,102.0,92.8,33.3,0.0,0.0,0.0,0.0,17.36111111111111,44.444444399999995,31.8518518,23.7037037,21.8,8.884919887035368,1.085358262993395,0.0043069772341007,10.64033281518922,2025,Rk
Elaineiker Coronado,TOR,830398.0,sa3067843,17,6205,248,188,0.0,0.0,0.0,0.037234043,0,0.0,27,22.983870899999996,10.887096699999999,151.49683949077317,0.403726708,0.4703151921511662,0.0,8.865248226950357,91.82879377431908,3.3112580000000005,45.769230769230774,53.991596638655466,12.040133779264215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.179640718562874,56.081081000000005,22.9729729,20.945945899999998,0.0,4.0422951595166925,-1.6964329909533262,-0.0068404556086827,36.69763285314507,2025,Rk
Sebastian Blanco,COL,829949.0,sa3067801,17,6205,248,203,0.0,0.0,0.0,0.108374384,3,0.0,34,13.3064516,13.7096774,142.8549430755393,0.39880952299999994,0.45218473478239396,0.0,24.897119341563787,90.22222222222223,7.1969699999999985,46.71052631578947,52.8169014084507,17.507418397626108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.285714285714285,36.7741935,34.8387096,28.3870967,0.0,7.708022835648683,0.6960149733349681,0.0028065119892539,35.61890637501139,2025,Rk
Edgar Montero,ATH,815911.0,sa3024109,18,6570,244,176,0.0,0.0,0.0,0.26704545399999996,9,0.0,54,24.5901639,22.1311475,174.25575797668597,0.38983050799999996,0.5030746349581966,0.0,12.072072072072071,79.29936305732485,11.534155,49.864498644986455,56.88405797101449,27.472527472527474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,36.842105200000006,46.491228,16.6666666,0.0,7.0053724569802585,-0.3857553144916892,-0.0015809644036544,29.303722749385265,2025,Rk
Moises Valdez,SDP,814229.0,sa3022282,19,6935,243,204,0.0,0.0,0.0,0.112745098,1,0.0,37,11.5226337,15.2263374,117.55076730492178,0.373493975,0.4184903128376566,0.0,28.893442622950825,91.18773946360152,10.043042,42.72300469483568,71.7032967032967,17.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.114754098360656,57.419354799999994,24.516129,18.064516100000002,0.0,9.317830390949263,2.0979546215385203,0.0086335581133272,20.008609422199193,2025,Rk
Luis De Leon,SDP,808029.0,sa3021148,19,6935,243,198,0.0,0.0,0.0,0.065656566,2,0.0,56,15.63786,23.0452674,119.15127948353224,0.4,0.3902989539368024,0.0,22.222222222222218,84.86238532110092,11.82266,40.78947368421053,58.60215053763442,26.627218934911248,101.0,100.1,82.3,30.8,0.0,0.0,0.0,0.0,15.972222222222221,52.985074600000004,21.641791,25.3731343,-5.3,7.630089388287472,1.9608367253094912,0.008069286935430001,17.481278615815743,2025,Rk
