Combined_Rank,Name,Team,Level,Age,PA,BW_Rank,BA_Rank,PIPE_Rank,BA_Org_Rank,PIPE_Org_Rank,Score,Score_Rank,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score,PlayerId
1,Rainiel Rodriguez,STL,AA,19.0,680,10.0,35.0,37.0,3,3,64.34,25,73.29,83.65,64.76,82.34,75.74,823787
2,Franklin Arias,BOS,AAA,20.0,1483,7.0,49.0,31.0,2,2,63.6,32,68.56,91.7,65.82,75.02,74.57,808265
3,Johan De Los Santos,PIT,A,17.0,312,,,,30,,69.75,4,69.64,87.71,72.31,63.51,74.09,829059
4,William Bergolla Jr.,CWS,AAA,21.0,1262,133.0,,,12,11,63.64,31,67.81,88.89,64.25,75.85,73.28,703151
5,Cristian Arguelles,COL,A,19.0,789,,,,20,23,62.26,61,68.94,88.44,72.03,58.45,73.19,821692
6,Juan Torres,NYY,R,18.0,418,,,,,,65.58,17,65.12,86.59,83.6,53.53,72.72,825153
7,Juneiker Caceres,CLE,A+,18.0,757,57.0,,,11,11,65.15,20,69.32,89.32,63.5,66.06,72.71,821181
8,Luis Peña,MIL,AA,19.0,845,23.0,47.0,26.0,2,2,66.35,13,68.21,77.97,72.58,73.82,72.42,821270
9,Jesús Made,MIL,AA,19.0,1203,1.0,4.0,3.0,1,1,65.49,18,64.54,81.55,67.75,78.91,71.03,815908
10,Leo De Vries,OAK,AA,19.0,433,2.0,12.0,4.0,1,1,62.4,57,64.85,83.75,59.36,82.34,70.31,815888
11,Charles Davalan,LAD,A+,22.0,511,70.0,,,6,9,60.36,137,71.25,79.91,69.75,46.37,70.23,804560
12,Luis Arana,MIA,A,18.0,531,,,,15,21,63.08,46,71.86,72.95,63.46,65.01,69.9,829854
13,Walker Jenkins,MIN,AAA,21.0,1118,5.0,5.0,14.0,1,1,63.11,43,64.39,82.58,62.28,75.85,69.6,805805
14,Max Clark,DET,AAA,21.0,1548,8.0,6.0,10.0,,,61.79,74,62.6,83.95,63.16,75.85,69.22,703601
15,Ricardo Romero,CLE,R,18.0,405,,,,,,60.14,150,68.93,80.41,61.18,59.05,68.94,829997
16,Aron Estrada,BAL,AA,21.0,1614,280.0,,,11,9,61.6,87,65.14,79.16,65.25,69.09,68.93,800406
17,Héctor Rodríguez,CIN,AAA,22.0,2407,81.0,,,,,61.85,70,64.92,80.93,63.44,69.28,68.87,699302
18,Ralphy Velazquez,CLE,AAA,21.0,1480,22.0,56.0,89.0,3,4,59.69,181,63.4,81.11,61.51,75.85,68.58,806252
19,Josue De Paula,LAD,AA,21.0,2000,4.0,24.0,15.0,2,1,62.49,55,61.03,85.19,65.34,70.48,68.51,800543
19,Josue Briceño,DET,AAA,21.0,1159,27.0,76.0,40.0,4,4,59.94,164,62.46,86.23,61.73,69.09,68.51,800522
21,Robert Arias,CLE,A,19.0,568,94.0,,,,22,63.22,39,64.69,79.15,69.38,60.51,68.49,815897
22,Luis Lara,MIL,AAA,21.0,2073,31.0,,,,,61.44,91,62.66,82.41,61.17,75.85,68.44,800325
