Rank,Name,Team,Pos,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,PullAir%,PullAir%_R,xBA,xBA_R,xSLG,xSLG_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
1,Matt Shaw,CHC,RF,23.0,23.899,81.0,110,1.42,97.6,90.0,100.0,93.6,98.4,74.1,80.5,74.4,80.1,74.2,90.5,84.0,93.5,84.4,98.9,85.3,92.2,-4.5,99.6,20.0,92.4,81.897,49.7,21.739,80.4,109.9,57.6,105.5,76.1,44.3,78.3,7.273,87.1,10.0,15.3,0.297,99.1,0.475,93.2,7.678,90.6,0.045,74.9,1.0,91.4
2,Jacob Melton,TBR,LF,24.0,25.062,62.4,150,1.27,91.4,84.9,99.2,77.3,84.5,93.7,98.9,88.4,92.8,91.1,99.8,82.8,92.0,80.0,96.0,74.2,79.1,-25.3,75.6,24.497,75.6,86.127,79.3,20.732,84.1,113.0,89.3,107.7,92.9,57.9,98.9,11.333,98.3,21.6,77.9,0.289,97.4,0.561,98.0,5.89,64.7,0.08,93.9,0.8,61.8
3,Noelvi Marte,CIN,RF,23.0,23.956,80.6,53,1.4,96.3,84.9,99.2,68.6,75.8,94.2,99.5,98.4,99.8,96.3,100.0,83.5,93.0,75.6,92.0,59.7,60.4,-11.3,95.4,35.354,11.8,91.525,96.7,20.213,86.9,112.8,87.1,107.3,91.0,54.1,96.7,11.321,98.0,24.3,89.0,0.344,100.0,0.59,99.3,4.837,44.4,0.057,83.2,0.75,51.3
4,Dylan Beavers,BAL,RF,23.0,24.137,77.7,418,1.21,87.7,84.3,98.4,88.0,94.7,76.4,83.0,86.5,91.1,81.4,96.7,87.2,96.1,83.4,97.9,75.6,81.3,-20.1,85.7,20.423,91.3,86.705,81.5,19.663,88.7,111.6,76.4,105.4,74.9,40.2,60.6,5.742,72.9,18.8,65.8,0.27,91.5,0.453,89.4,6.485,74.7,0.055,81.8,0.821,68.4
5,Zach Cole,HOU,LF,24.0,25.155,60.9,61,1.65,98.9,83.1,97.9,61.9,67.1,95.1,99.8,72.8,78.0,83.9,97.8,67.4,75.5,67.6,83.4,68.0,71.7,-39.4,41.0,17.91,96.5,82.051,51.4,25.49,62.1,113.5,92.3,110.1,99.7,46.9,86.6,11.475,98.5,20.6,73.3,0.275,94.2,0.575,98.5,6.108,69.5,0.049,78.3,0.75,51.3
6,Luis Matos,MIL,RF,23.0,23.671,83.8,159,1.33,94.4,82.8,97.3,64.7,72.3,80.6,87.8,96.0,98.0,88.3,99.1,80.4,89.3,77.2,92.5,70.8,75.7,-20.2,85.4,35.65,9.4,91.005,96.1,16.287,95.9,110.0,59.0,105.4,74.9,42.9,74.7,6.918,84.7,23.8,86.9,0.282,95.9,0.478,93.8,5.78,62.1,0.038,66.0,1.0,91.4
7,Sal Stewart,CIN,1B,21.0,21.815,97.8,165,1.54,98.4,82.3,96.8,65.1,73.2,92.8,98.1,69.0,75.2,80.9,96.3,67.0,74.8,60.1,66.0,46.2,42.8,-20.1,85.7,31.085,32.0,80.861,41.8,25.397,63.0,113.7,93.9,107.1,89.3,51.3,93.2,15.152,100.0,17.6,57.6,0.283,96.2,0.625,100.0,4.105,31.4,0.024,52.1,0.8,61.8
8,Jac Caglianone,KCR,RF,22.0,22.639,94.1,129,1.68,99.5,81.7,96.3,58.0,63.1,92.8,98.1,89.0,93.2,90.9,99.6,73.5,82.5,63.1,75.7,42.4,37.4,-21.7,83.2,35.361,11.5,86.331,80.0,25.0,65.0,113.6,93.0,109.5,99.1,53.2,95.5,8.527,92.6,20.2,71.0,0.291,98.1,0.568,98.3,3.549,24.8,0.008,27.5,1.0,91.4
9,Jordan Lawlar,ARI,LF,22.0,23.206,89.7,300,1.28,92.0,80.7,95.5,59.0,64.8,77.2,83.7,64.8,69.3,71.0,87.1,61.9,68.0,70.9,88.2,89.0,97.3,-34.6,53.7,25.113,72.5,83.641,62.5,27.289,51.9,113.3,90.4,104.0,58.1,42.7,74.0,6.333,80.2,24.3,89.0,0.241,67.2,0.398,72.2,8.276,96.1,0.067,89.6,0.87,77.0
10,Brooks Baldwin,CHW,LF,24.0,25.125,61.6,132,1.69,100.0,80.7,95.5,68.4,75.6,70.3,77.0,78.6,85.0,74.4,91.1,73.5,82.5,67.7,84.2,56.1,55.6,-24.3,78.2,28.631,46.0,84.181,66.0,22.358,77.3,109.1,41.6,102.2,32.7,40.6,62.4,9.091,95.2,16.5,50.5,0.269,91.1,0.489,94.9,6.472,74.2,0.03,59.4,0.5,22.5
