Season,Name,Team,Pos,Age,ExactAge,Age_R,PA,Overall,Overall_R,PPPA,PPPA_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R
2025,Matt Shaw,CHC,RF,23.0,23.899,81.0,110,90.0,100.0,1.42,97.6,93.6,98.4,74.1,80.5,74.4,80.1,74.2,90.5,84.0,93.5,84.4,98.9,85.3,92.2
2026,Pedro Ramírez,CHC,2B,22.0,22.418,94.1,193,88.4,100.0,1.55,98.4,76.8,87.3,73.8,82.4,88.6,94.4,81.2,98.5,82.7,92.6,84.6,98.6,88.3,95.9
2026,Walker Jenkins,MIN,OF,21.0,21.53,98.4,307,88.0,99.6,1.22,92.5,88.1,95.7,76.0,85.9,93.2,96.0,84.6,99.4,90.6,98.1,86.5,99.6,78.2,82.0
2024,James Wood,WSN,RF,21.0,22.037,96.8,230,86.9,100.0,1.41,98.3,74.8,84.1,84.3,91.8,87.4,92.8,85.8,98.8,81.1,91.7,76.6,92.2,67.6,74.0
2023,Jordan Lawlar,ARI,LF,20.0,21.205,99.7,79,86.2,100.0,1.61,97.7,86.6,94.6,59.7,62.3,72.4,77.4,66.1,80.2,79.5,90.1,78.2,93.0,75.6,82.5
2026,Ethan Salas,SDP,C,20.0,20.252,100.0,105,85.1,99.2,1.45,97.6,87.4,95.4,59.2,63.8,98.6,99.7,78.9,96.9,93.0,98.8,79.3,94.9,52.0,47.1
2025,Jacob Melton,TBR,LF,24.0,25.062,62.4,150,84.9,99.2,1.27,91.4,77.3,84.5,93.7,98.9,88.4,92.8,91.1,99.8,82.8,92.0,80.0,96.0,74.2,79.1
2023,Luis Matos,SFG,RF,21.0,21.67,98.2,151,84.9,99.4,1.59,97.1,74.3,81.0,60.2,63.3,96.8,99.4,78.5,95.5,85.6,94.9,82.6,95.9,76.8,85.4
2025,Noelvi Marte,CIN,RF,23.0,23.956,80.6,53,84.9,99.2,1.4,96.3,68.6,75.8,94.2,99.5,98.4,99.8,96.3,100.0,83.5,93.0,75.6,92.0,59.7,60.4
2024,Payton Eeles,MIN,2B,24.0,24.873,65.8,255,84.5,99.1,1.26,96.0,93.0,97.8,43.5,40.0,67.6,70.9,55.6,59.4,80.3,91.0,83.3,98.8,89.2,97.7
2024,Miguel Vargas,CHW,3B,24.0,24.871,66.1,191,84.5,99.1,1.36,97.1,95.4,98.8,65.5,70.0,67.0,70.5,66.2,78.7,81.2,92.0,73.4,87.3,57.7,58.4
2025,Dylan Beavers,BAL,RF,23.0,24.137,77.7,418,84.3,98.4,1.21,87.7,88.0,94.7,76.4,83.0,86.5,91.1,81.4,96.7,87.2,96.1,83.4,97.9,75.6,81.3
2026,Cole Carrigg,COL,CF,24.0,24.318,69.1,252,84.2,98.8,1.56,98.8,68.0,75.2,66.1,71.1,81.5,88.2,73.8,90.4,74.8,87.0,79.8,95.7,90.0,99.0
2024,Andy Pages,LAD,CF,23.0,23.811,81.6,114,84.1,98.3,1.55,99.4,61.9,68.0,87.5,95.6,93.2,97.8,90.4,100.0,77.6,85.9,73.0,86.7,63.9,69.1
2024,Alan Roden,MIN,RF,24.0,24.775,68.3,283,84.0,97.7,1.25,95.1,81.8,89.5,60.8,64.0,95.6,99.0,78.2,93.9,88.7,96.5,84.1,99.4,74.9,81.5
2023,Alek Thomas,ARI,CF,23.0,23.422,85.9,125,83.8,98.8,1.39,93.0,80.1,87.1,63.4,66.8,97.0,99.7,80.2,96.7,88.6,97.3,83.4,97.7,73.0,81.0
2023,Tyler Freeman,COL,RF,24.0,24.361,68.7,115,83.6,98.0,1.34,90.6,87.2,95.8,46.9,47.0,89.2,95.5,68.0,82.9,88.2,97.0,90.8,99.4,96.0,100.0
2023,Brice Turang,MIL,2B,23.0,23.858,80.5,63,83.6,98.0,1.52,95.3,75.0,82.3,71.4,77.4,89.5,95.8,80.4,97.5,82.2,92.8,78.1,92.4,69.8,74.3
2026,Scott Bandura,SFG,OF,24.0,25.081,55.6,373,83.2,98.4,1.26,94.1,78.9,89.3,58.0,60.5,95.6,98.5,76.8,94.6,87.2,96.6,86.7,100.0,85.7,92.5
2024,Jasson Domínguez,NYY,RF,21.0,21.645,97.8,193,83.1,97.1,1.2,91.6,58.4,62.6,86.1,94.1,84.6,89.5,85.4,98.3,71.5,79.8,77.1,94.2,88.3,97.1
2025,Zach Cole,HOU,LF,24.0,25.155,60.9,61,83.1,97.9,1.65,98.9,61.9,67.1,95.1,99.8,72.8,78.0,83.9,97.8,67.4,75.5,67.6,83.4,68.0,71.7
2026,Luke Adams,MIL,3B,22.0,22.355,94.4,279,82.8,98.0,1.13,84.3,93.3,98.8,78.8,87.9,78.1,85.4,78.4,96.3,85.7,95.4,77.3,94.5,60.4,59.2
2025,Luis Matos,MIL,RF,23.0,23.671,83.8,159,82.8,97.3,1.33,94.4,64.7,72.3,80.6,87.8,96.0,98.0,88.3,99.1,80.4,89.3,77.2,92.5,70.8,75.7
2023,Nick Allen,ATL,SS,24.0,24.977,56.3,157,82.4,97.1,1.43,94.2,94.8,99.1,18.8,10.8,95.0,97.9,56.9,64.4,94.9,99.7,93.8,100.0,91.5,97.7
2024,Caleb Durbin,MIL,3B,24.0,24.605,70.8,368,82.4,96.5,1.39,97.7,83.3,91.3,34.9,31.0,77.1,82.2,56.0,61.5,80.2,90.7,82.2,98.3,86.1,95.4
2025,Sal Stewart,CIN,1B,21.0,21.815,97.8,165,82.3,96.8,1.54,98.4,65.1,73.2,92.8,98.1,69.0,75.2,80.9,96.3,67.0,74.8,60.1,66.0,46.2,42.8
2023,Matt McLain,CIN,2B,23.0,24.151,73.4,172,82.2,96.5,1.58,96.5,74.0,79.9,77.5,82.0,60.2,64.4,68.8,83.8,67.1,73.7,67.2,78.1,67.3,69.0
2026,Denzer Guzman,LAA,3B,22.0,22.563,92.8,268,82.1,97.6,1.4,97.3,74.6,84.2,72.0,80.5,65.3,71.2,68.6,81.7,69.9,78.0,65.8,80.4,57.4,55.7
2024,Roman Anthony,BOS,LF,20.0,20.383,99.8,164,81.9,96.0,1.16,87.6,86.3,94.1,72.3,78.2,80.4,86.1,76.4,91.5,83.4,93.7,74.9,91.0,57.9,59.2
2026,Jacob Gonzalez,CHW,SS,24.0,24.257,70.6,233,81.8,97.1,1.63,99.2,64.2,69.2,90.5,96.9,72.8,78.5,81.6,98.8,68.5,76.8,63.4,75.3,53.2,49.0
2026,Luis Lara,MIL,RF,21.0,21.788,97.5,337,81.8,97.1,1.26,94.1,85.9,94.1,33.7,26.5,75.4,82.7,54.6,58.2,80.6,91.3,80.5,96.1,80.3,85.7
2025,Jac Caglianone,KCR,RF,22.0,22.639,94.1,129,81.7,96.3,1.68,99.5,58.0,63.1,92.8,98.1,89.0,93.2,90.9,99.6,73.5,82.5,63.1,75.7,42.4,37.4
2026,Jonah Cox,SFG,CF,24.0,25.076,56.2,52,81.4,96.5,1.83,100.0,72.9,81.7,49.6,49.8,61.6,66.9,55.6,61.1,67.2,74.9,73.8,90.4,86.8,94.1
2024,Parker Meadows,DET,CF,24.0,24.912,64.5,234,81.3,95.4,1.18,90.5,77.1,85.2,70.4,75.9,62.7,64.4,66.6,80.0,69.9,77.6,74.9,91.0,84.9,93.6
2026,Maick Collado,CLE,SS,23.0,23.688,79.1,46,81.1,96.1,1.38,96.9,66.4,73.7,68.3,76.5,91.7,95.4,80.0,97.5,79.1,90.4,73.5,89.8,62.3,64.3
2026,Sean Keys,TOR,DH,23.0,23.269,85.9,224,81.0,95.7,1.29,95.5,65.9,73.1,90.2,96.6,78.6,86.1,84.4,99.1,72.2,82.7,63.8,76.1,47.0,39.4
