Rank,Name,Team,Pos,Age,Report
1,Jesus Made,MIL,SS,19,"Made vs. Leo is the new Griffin vs. McGonigle which was the new Chourio vs. Holliday which was the new Gunnar vs. Carroll which was the new Witt vs. Julio which was the new Wander vs. Kelenic which was the new Acuna vs. Vlad which was the new ... you get the point. We have an old fashioned #1 prospect standoff right now. Both are 19 years old with excellent across the board production at Double-A. Neither are showing major hit tool issues or groundball issues. Both are running. It's dead even, but someone has to be #1 and it's Made. The tie breaker was the better K% and more steals/better success rate."
2,Leo De Vries,SAC,SS,19.7,No shame in being #2 to Made. This is a battle that could flip flop their entire careers.
3,Edward Florentino,PIT,OF/1B,19.6,"Florentino got a late start to the season but has looked like a superstar since returning, slashing .306/.469/.722 with 4 homers, 1 steal, and a 20.4/24.5 K%/BB% in 11 games split between Single-A and High-A. Maybe it's a little risky moving him to 3rd overall above some of these upper minor bats, but he's showing a level of potential superstar that I'm not sure those upper minors bats are showing at the moment."
4,Josue De Paula,LAD,OF,20.1,"... other than De Paula, who most certainly has that superstar potential, but I still fear he's not a guy going to sell out for game power. That is only a quibble though, as he's conquering Double-A with no issue, slashing .309/.442/.454 with 3 homers, 9 steals, and a 15.0/18.3 K%/BB% in 26 games. The 17% whiff% is impressive. Even without selling out for game power, he has the raw juice to hit dingers anyway. The other snafu is the Dodgers. It's really hard to trust this team to actually roll out the red carpet for their young prospects, especially one who isn't great on defense. But other than that, you know Josue has been my guy since he was a complete unknown in the DSL, and with him dominating the upper minors, the restrictor plates are completely off. I was debating Florentino vs. De Paula for awhile, but Florentino's lift/pull and a clear path in Pitt in general is what swayed me."
5,Walker Jenkins,MIN,OF,21.2,"Down goes Walker again. This time with a shoulder injury after colliding with the OF wall. The Twins curse strikes again ... and again and again and again. So disheartening. He was just starting to heat up at Triple-A and the underlying numbers looked good with a 92.1 MPH EV, 17.8% whiff% and 13.8 degree launch. He would have ranked 3rd, but with yet another injury, I just can't put him there. So frustrating, and maybe this is even still too high but I don't want to kill him yet. If you are fed up, I get it"
6,AJ Ewing,NYM,OF,21.9,"Ewing is my best call on the Predicting the 2027 Top 50 Prospects Rankings this off-season, predicting he would be a Top 10 prospect by this off-season, and writing, ""I dropped Corbin Carroll and Pete Crow Armstrong’s name when I called Ewing a major target in 2024 FYPD’s, and now we will see the Carroll/PCA like blow up. The massively underrated power will show up with 14 homers in 120 games in the upper minors. Combined with the speed, plate skills, and defense, everyone will realize this is an elite prospect in both fantasy and real life."" ... and now I think he's there already. He has a 92.4 MPH EV with a 50% Hard Hit% in 6 games at Triple-A. His 2 homers has already almost matched his entire homer total from 2025 (3 homers). And of course, everything else is there, slashing .388/.500/.588 with 2 homers, 16 steals, and a 16.0/18.9 K%/BB% in 24 games. He's still not a home run hitter, but this is a fantasy beast even if he can get to 15-20, and there is clearly raw power to tap into down the line. I was all in on Ewing in his draft year, I was all in this off-season, and I'm staying all in. I know this looks high, but using Max Clark as an anchor, why does Clark deserve to be over Ewing? It's close of course, but I think Ewing has the edge"
7,Franklin Arias,BOS,SS,20.5,"I had Arias ranked 46th overall on my End of Season Prospects Rankings. I gave him a strong blurb in my Top 1,000, writing, ""The hype has definitely cooled a bit from last off-season, and the funny thing is I now see I might be slightly higher on him than other places, or at least I'm fully on board with his current value.""� … and then I just slowly got cold feet and slipped him to 89th overall this off-season. To be fair, 89th overall was about his value other places too, but I just can't help myself with hit tool first types hah … I’m going to keep ranking these types high in the future though, and Arias is proving he deserved a lofty ranking, slashing .359/.433/.731 with 8 homers, 2 steals, and a 11.1/7.8 K%/BB% in 22 games. He’s lifting a lot more with a big leg kick, the raw power should only keep ticking up as he gets older, and he’s now proving the hit/plate skills against advanced competition. I’m still not sure the power/speed combo will be huge, but this is obviously a special bat, and I'm done underrating hit tool first types."
8,Max Clark,DET,OF,21.5,"Doing everything at Triple-A but showing power with only 1 homer and a mediocre 35.4% Hard Hit% in 29 games. He's still young and the power is only going to tick up from here, but he's a bit more contact/speed than optimal, and I think it means a few guys sneak past him right now"
9,Colt Emerson,SEA,SS,20.1,"He's only 20 at Triple-A, so we have to grade on a curve, but he hasn't been that great with a 94 wRC+, 29.3% K%, 87.1 MPH EV and 50.8% GB%. Again, he's only 20, and his value holds steady, but he's not blowing up yet"
10,Rainiel Rodriguez,STL,C,19.4,"Obliterating High-A like he's obliterated every level before it, slashing .306/.433/.529 with 3 homers, 2 steals, and a 18.3/16.3 K%/BB% in 23 games. There is little doubt this is one of the most special bats in the lower minors. I predicted I was going to be too low on Rodriguez in my Predicting the 2027 Prospects Rankings, ranking him 6th overall (so why didn’t you raise him you ask, idk, I’m stubborn I guess ha)"
