BW_Rank,BW_Name,BW_Team,Pos,BW_Age,In_Pool,Combined_Rank,Delta,Pool_Name,Pool_Team,Level,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score
1,Jesus Made,MIL,SS,19.0,True,9.0,-8.0,Jesús Made,MIL,AA,64.54,81.55,67.75,78.91,71.03
2,Leo De Vries,SAC,SS,19.7,True,10.0,-8.0,Leo De Vries,OAK,AA,64.85,83.75,59.36,82.34,70.31
3,Edward Florentino,PIT,OF/1B,19.6,True,33.0,-30.0,Edward Florentino,PIT,A+,65.19,76.53,61.75,68.21,67.44
4,Josue De Paula,LAD,OF,20.1,True,19.0,-15.0,Josue De Paula,LAD,AA,61.03,85.19,65.34,70.48,68.51
5,Walker Jenkins,MIN,OF,21.2,True,13.0,-8.0,Walker Jenkins,MIN,AAA,64.39,82.58,62.28,75.85,69.6
6,AJ Ewing,NYM,OF,21.9,False,,,,,,,,,,
7,Franklin Arias,BOS,SS,20.5,True,2.0,5.0,Franklin Arias,BOS,AAA,68.56,91.7,65.82,75.02,74.57
8,Max Clark,DET,OF,21.5,True,14.0,-6.0,Max Clark,DET,AAA,62.6,83.95,63.16,75.85,69.22
9,Colt Emerson,SEA,SS,20.1,False,,,,,,,,,,
10,Rainiel Rodriguez,STL,C,19.4,True,1.0,9.0,Rainiel Rodriguez,STL,AA,73.29,83.65,64.76,82.34,75.74
11,Seth Hernandez,PIT,RHP,19.1,False,,,,,,,,,,
12,Thomas White,MIA,LHP,21.7,False,,,,,,,,,,
13,Kade Anderson,SEA,LHP,21.11,False,,,,,,,,,,
14,George Lombard,NYY,SS,20.11,False,,,,,,,,,,
15,Zyhir Hope,LAD,OF,21.3,True,241.0,-226.0,Zyhir Hope,DET,AA,54.49,69.59,60.43,69.09,60.19
16,Caleb Bonemer,CHW,SS,20.7,True,47.0,-31.0,Caleb Bonemer,CWS,AA,63.85,75.44,62.65,67.24,66.57
