PlayerId,Name,Seasons,Season_Range,Total_PA,Score
542549,Francisco De Los Santos,1,2008,11,84.56
821026,Ibrain Ricardo,1,2024,14,76.82
842065,Daniel Bastardo,1,2026,24,75.4
543373,Rodarrick Jones,1,2011,16,74.76
837796,Brayan Mendez,1,2026,29,72.28
20123,Juan Soto,3,2016-2018,488,70.21
830339,Luke Pettitte,1,2026,10,70.2
592762,Les Smith,1,2010,20,70.08
829059,Johan De Los Santos,2,2025-2026,312,69.75
828900,Elliot Lascelles,1,2026,13,69.26
5524,Madison Bumgarner,1,2010,15,68.98
837864,Leanders Matos,1,2026,228,68.74
836353,Francisco Renteria,1,2026,236,68.68
829769,Yostin Pena,1,2026,231,68.56
463674,Phillip Cuevas,1,2006,17,68.3
837836,Juan Cespedes,1,2026,211,68.26
622368,Pablo Ceballos,1,2012,18,67.94
825750,Ricardo De La Paz,1,2026,52,67.9
825412,Angeibel Gomez,1,2026,180,67.72
19611,Vladimir Guerrero Jr.,4,2016-2019,921,67.63
25768,CJ Abrams,3,2019-2022,525,67.18
836587,Emanuel Luna,1,2026,33,67.12
23667,Wander Franco,4,2018-2022,750,67.04
11579,Bryce Harper,2,2011-2014,318,66.9
462830,Mayo Santana,1,2006,27,66.88
19612,Bo Bichette,4,2016-2019,1445,66.86
5222,Justin Upton,2,2006-2008,651,66.84
23697,Julio Rodríguez,3,2018-2021,890,66.78
18401,Ronald Acuña Jr.,5,2015-2022,903,66.67
685694,Keven Lamas,1,2019,112,66.6
805808,Kevin McGonigle,3,2023-2025,818,66.58
17901,Andrew Benintendi,2,2015-2016,504,66.45
804606,Konnor Griffin,2,2025-2026,584,66.44
670585,Evan Rogers,1,2016,19,66.36
821270,Luis Peña,3,2024-2026,845,66.35
836594,Santiago Solarte,1,2026,209,66.28
835219,Anthony Potestio,1,2026,39,66.24
608047,Jon Hurst,1,2011,12,66.16
9893,Colby Rasmus,3,2006-2008,1532,66.14
5417,Jose Altuve,5,2007-2011,1555,66.08
570826,Angel Heredia,1,2009,76,66.0
683513,Kevyn Camacho,1,2019,38,65.96
28824,Samuel Basallo,5,2021-2025,1539,65.91
12751,Tyler Pill,1,2014,19,65.88
836051,Zach Rogacki,1,2026,17,65.8
14106,Addison Russell,4,2012-2015,1017,65.75
4940,Jason Heyward,3,2007-2013,943,65.75
10155,Mike Trout,2,2009-2012,555,65.69
825153,Juan Torres,2,2025-2026,418,65.58
815908,Jesús Made,3,2024-2026,1203,65.49
14162,Carlos Correa,6,2012-2019,924,65.46
4881,Carlos Gómez,3,2006-2010,692,65.43
9892,Jay Bruce,4,2006-2009,1295,65.38
13611,Mookie Betts,2,2013-2014,1015,65.38
807311,Justin Lebron,1,2026,35,65.32
17484,Eloy Jiménez,6,2014-2021,1516,65.31
19709,Fernando Tatis Jr.,5,2016-2023,1153,65.17
821181,Juneiker Caceres,3,2024-2026,757,65.15
834256,Michael De La Cruz,1,2026,45,65.14
824007,Braulio Cavero,1,2026,131,65.02
825234,Cesar Mateo,1,2026,225,64.96
17350,Rafael Devers,5,2014-2018,1736,64.89
3473,Anthony Rizzo,6,2007-2012,1914,64.81
2140,Delmon Young,1,2006,370,64.8
10047,Wil Myers,7,2009-2015,1744,64.75
14712,Manuel Margot,5,2012-2017,1848,64.72
6368,Adam Jones,2,2006-2007,885,64.68
11173,Oscar Taveras,6,2009-2014,1859,64.64
16997,Gleyber Torres,5,2014-2018,1546,64.61
608889,Junior Geraldo,1,2011,71,64.56
9777,Nolan Arenado,6,2009-2014,1878,64.53
806068,Colt Emerson,4,2023-2026,1215,64.52
9205,Logan Morrison,6,2006-2011,1876,64.45
837869,Jarvis Gomez,1,2026,197,64.42
702222,Justin Crawford,4,2022-2025,1459,64.41
823787,Rainiel Rodriguez,3,2024-2026,680,64.34
13769,Adalberto Mondesi,5,2012-2019,1294,64.33
5631,Matt Kemp,2,2006-2007,600,64.31
7399,Billy Butler,3,2006-2008,906,64.31
29518,James Wood,4,2021-2024,1229,64.29
808234,Eduardo Quintero,4,2023-2026,1538,64.29
22581,Alejandro Kirk,3,2018-2021,672,64.28
836598,Jaider Suárez,1,2026,177,64.24
825582,Nate George,2,2025-2026,464,64.13
837964,Ruben Revost,1,2026,61,64.12
11477,Christian Yelich,5,2010-2015,1298,64.11
5361,Freddie Freeman,5,2007-2013,1771,64.1
4949,Giancarlo Stanton,6,2007-2013,1392,64.1
454637,Milton Loo,1,2006,46,64.0
829034,Josuar Gonzalez,2,2025-2026,443,63.89
683635,Adrian Montero,2,2019-2021,172,63.85
9368,Evan Longoria,3,2006-2008,842,63.81
5933,Jean Segura,6,2007-2012,1737,63.8
24064,Ezequiel Tovar,4,2018-2025,991,63.78
14161,Byron Buxton,7,2012-2018,1594,63.75
28806,Jackson Chourio,4,2021-2025,1206,63.73
16556,Ozzie Albies,3,2014-2017,1126,63.68
703151,William Bergolla Jr.,5,2022-2026,1262,63.64
18345,Kyle Tucker,5,2015-2019,2276,63.62
808265,Franklin Arias,4,2023-2026,1483,63.6
815929,Jhonny Level,3,2024-2026,1105,63.6
699200,Frandy Almonte,2,2021-2022,299,63.56
816113,Eli Willits,2,2025-2026,521,63.55
11400,Ronald Torreyes,6,2010-2015,2553,63.5
4892,Mike Moustakas,5,2007-2011,1910,63.5
25878,Corbin Carroll,3,2019-2022,600,63.48
834685,Angel Abreu,2,2025-2026,421,63.47
19610,Keibert Ruiz,6,2015-2021,1736,63.43
3269,Robinson Canó,1,2006,13,63.4
821075,Merphy Hernandez,3,2024-2026,478,63.4
687156,Sebastian Lizarraga,1,2019,24,63.38
31680,Cole Young,4,2022-2025,1474,63.34
12161,Xander Bogaerts,4,2010-2013,1367,63.33
822277,Yohendi Hernandez,1,2026,139,63.28
18363,Victor Robles,6,2014-2021,1609,63.28
837824,Jaims Martinez,1,2026,183,63.28
