PlayerId,Name,Career_PA_Proj,Career_PA_Proj_Adj,Career_PA_P25,Career_PA_P75,MaxEV_proj,MaxEV_proj_n,MaxEV_proj_conf
703601,Max Clark,926.0,926.0,0.0,1494.0,109.9,18.0,72.5
703151,William Bergolla Jr.,259.0,259.0,0.0,0.0,,,
800543,Josue De Paula,985.0,985.0,0.0,530.0,110.6,16.0,66.8
808234,Eduardo Quintero,648.0,648.0,0.0,341.0,108.6,13.0,61.9
800406,Aron Estrada,1568.0,1568.0,0.0,2637.0,109.1,19.0,66.0
823807,Kane Kepley,361.0,361.0,0.0,0.0,107.0,8.0,49.5
808265,Franklin Arias,1406.0,1406.0,0.0,2389.0,110.1,14.0,66.1
699302,Héctor Rodríguez,1471.0,1471.0,0.0,2166.0,111.4,16.0,76.0
701785,Kaelen Culpepper,1058.0,1058.0,0.0,1904.0,109.8,20.0,65.4
815908,Jesús Made,1022.0,1022.0,0.0,1306.0,109.2,18.0,67.5
815394,Theo Gillen,591.0,591.0,0.0,740.0,110.5,20.0,59.3
694249,Cole Carrigg,924.0,924.0,0.0,589.0,109.2,15.0,65.7
702556,Austin Overn,257.0,257.0,0.0,0.0,106.9,16.0,48.8
805805,Walker Jenkins,1336.0,1336.0,0.0,1733.0,109.9,20.0,75.4
695501,Blake Burke,710.0,710.0,0.0,351.0,112.2,15.0,40.9
695491,Joshua Báez,684.0,684.0,0.0,1068.0,112.2,18.0,65.6
702726,Luke Adams,1254.0,1254.0,0.0,1643.0,110.4,14.0,63.4
806252,Ralphy Velazquez,1404.0,1404.0,0.0,2474.0,112.9,17.0,77.8
699393,Pedro Ramírez,1418.0,1418.0,0.0,1712.0,108.6,16.0,69.5
828098,JoJo Parker,64.0,55.0,0.0,0.0,106.4,17.0,16.1
800060,Xavier Isaac,274.0,274.0,0.0,106.0,112.3,9.0,61.4
815352,Caleb Bonemer,755.0,755.0,0.0,964.0,108.6,16.0,61.2
815888,Leo De Vries,541.0,541.0,0.0,334.0,108.0,16.0,72.1
815896,Emil Morales,1107.0,1107.0,0.0,1764.0,110.6,16.0,59.0
815195,Wilder Dalis,44.0,44.0,0.0,0.0,107.4,11.0,16.5
701649,James Triantos,992.0,992.0,0.0,1665.0,108.0,13.0,74.5
703155,Lazaro Montes,712.0,712.0,0.0,966.0,112.7,17.0,69.0
814307,Zyhir Hope,841.0,841.0,0.0,1306.0,110.9,22.0,76.4
806198,Cooper Pratt,451.0,451.0,0.0,288.0,108.4,15.0,72.1
695490,Edwin Arroyo,986.0,986.0,0.0,1368.0,108.4,13.0,73.9
694197,Angel Genao,1615.0,1615.0,0.0,2403.0,110.2,13.0,74.4
804560,Charles Davalan,1452.0,1452.0,0.0,2272.0,110.0,16.0,67.2
694230,Hendry Mendez,1053.0,1053.0,0.0,2181.0,110.7,12.0,72.8
815589,Bo Davidson,1330.0,1330.0,0.0,1915.0,110.0,22.0,71.8
807257,Ty Southisene,117.0,117.0,0.0,0.0,99.6,6.0,67.2
691458,Blaze Jordan,1229.0,1229.0,0.0,1303.0,110.8,13.0,75.5
816113,Eli Willits,63.0,63.0,0.0,0.0,104.6,14.0,61.3
800325,Luis Lara,851.0,851.0,0.0,817.0,108.6,10.0,74.0
800208,Axiel Plaz,462.0,462.0,0.0,233.0,111.6,14.0,70.7
815824,Josiah Hartshorn,1928.0,1855.0,422.0,1992.0,110.5,25.0,69.6
800957,Brendan Jones,132.0,132.0,0.0,0.0,105.8,11.0,63.3
27770,Zac Veen,579.0,579.0,0.0,921.0,110.0,19.0,75.2
806077,Kendall George,260.0,260.0,0.0,0.0,105.1,12.0,63.1
691181,Emmanuel Rodriguez,399.0,399.0,0.0,235.0,112.1,14.0,58.2
803745,Adrian Santana,731.0,731.0,0.0,0.0,107.2,13.0,65.7
701527,Mike Sirota,1096.0,1096.0,0.0,1782.0,110.6,19.0,58.1
805795,Aidan Miller,504.0,504.0,0.0,0.0,107.6,15.0,61.5
827665,Dillon Lewis,458.0,458.0,0.0,375.0,111.9,17.0,73.0
702662,Dylan Dreiling,1258.0,1258.0,0.0,1992.0,110.5,19.0,75.5
701394,Zach Ehrhard,835.0,835.0,0.0,881.0,109.7,22.0,74.4
804558,Raudi Rodriguez,294.0,294.0,0.0,246.0,109.8,14.0,74.3
815929,Jhonny Level,1363.0,1363.0,0.0,1680.0,110.0,21.0,71.7
811965,Joshua Kuroda-Grauer,1072.0,1072.0,0.0,619.0,108.7,9.0,70.2
815873,Sean Keys,866.0,866.0,0.0,1165.0,111.4,24.0,73.3
804944,Jackson Lovich,781.0,733.0,0.0,1095.0,110.9,19.0,51.5
813841,Jonah Cox,468.0,468.0,0.0,0.0,106.6,13.0,64.7
703639,Nico Perez,343.0,343.0,0.0,0.0,106.4,14.0,60.3
702977,Dillon Head,592.0,592.0,0.0,648.0,108.6,12.0,75.3
696486,James Tibbs III,507.0,507.0,0.0,390.0,111.4,17.0,72.6
821273,Edward Florentino,697.0,697.0,0.0,898.0,109.9,20.0,68.8
699024,Leo Bernal,635.0,635.0,0.0,879.0,110.7,15.0,77.7
694580,Kemp Alderman,570.0,570.0,0.0,1108.0,113.6,19.0,71.1
823073,Nolan Sailors,486.0,486.0,0.0,248.0,108.2,14.0,73.9
694673,Abimelec Ortiz,582.0,582.0,0.0,701.0,113.5,12.0,76.8
823787,Rainiel Rodriguez,811.0,811.0,0.0,1095.0,110.3,19.0,71.6
815304,Josh Adamczewski,890.0,890.0,0.0,853.0,109.9,14.0,66.4
825761,Ryan Cesarini,1953.0,1953.0,0.0,3141.0,110.6,18.0,64.1
806957,Alfredo Duno,690.0,690.0,0.0,817.0,109.5,21.0,66.8
800305,Jesús  Báez,1699.0,1699.0,0.0,2509.0,110.1,22.0,69.1
691588,Ian Lewis Jr.,550.0,550.0,0.0,236.0,108.8,17.0,68.5
802506,Dylan O'Rae,79.0,79.0,0.0,0.0,102.4,10.0,62.7
820986,Hayden Alvarez,725.0,725.0,0.0,194.0,105.7,14.0,69.9
804858,Bryan Rincon,117.0,117.0,0.0,0.0,106.2,14.0,66.4
800522,Josue Briceño,944.0,944.0,0.0,1895.0,110.0,19.0,74.8
821692,Cristian Arguelles,1135.0,1135.0,0.0,399.0,109.3,7.0,62.5
807080,Eric Hartman,190.0,190.0,0.0,0.0,108.5,18.0,68.0
800473,Jefferson Rojas,861.0,861.0,0.0,1144.0,108.7,19.0,78.1
703680,Brandon Compton,471.0,471.0,0.0,376.0,113.7,16.0,53.2
691277,Deyvison De Los Santos,203.0,203.0,0.0,0.0,112.4,6.0,67.7
24388,José Rodríguez,822.0,822.0,0.0,1255.0,109.0,19.0,70.2
806872,Carlos Gutierrez,1132.0,1132.0,0.0,1131.0,106.9,15.0,70.4
699013,Esmerlyn Valdez,709.0,709.0,0.0,528.0,112.4,14.0,72.9
703177,Jhonny Severino,317.0,317.0,0.0,0.0,108.6,13.0,69.9
828824,Josiah Ragsdale,412.0,412.0,0.0,480.0,110.5,19.0,59.2
814154,Scott Bandura,419.0,419.0,0.0,485.0,109.9,17.0,74.2
825570,Yensi De La Cruz,362.0,302.0,0.0,0.0,106.2,7.0,48.2
701339,Marek Houston,198.0,198.0,0.0,0.0,104.8,13.0,64.3
803142,Tommy Hawke,380.0,380.0,0.0,0.0,104.1,10.0,64.8
821181,Juneiker Caceres,1360.0,1360.0,160.0,1789.0,108.5,19.0,75.1
703197,Michael Arroyo,723.0,723.0,0.0,578.0,108.4,13.0,75.8
815897,Robert Arias,304.0,304.0,0.0,0.0,106.5,8.0,56.4
828076,Dax Kilby,199.0,78.0,0.0,0.0,,,
815464,Lisbel Diaz,946.0,946.0,0.0,1250.0,109.7,14.0,77.8
703492,Nick Morabito,387.0,387.0,0.0,109.0,108.9,14.0,71.4
815520,Braylon Payne,229.0,229.0,0.0,230.0,110.8,19.0,69.4
699130,Jadher Areinamo,1456.0,1456.0,0.0,2166.0,108.1,16.0,75.6
694876,Cooper Ingle,1332.0,1332.0,0.0,2316.0,109.0,20.0,67.0
702518,Jett Williams,38.0,38.0,0.0,0.0,107.8,14.0,74.1
808675,Ramon Ramirez,842.0,842.0,0.0,1225.0,110.1,21.0,69.4
691792,Roc Riggio,112.0,112.0,0.0,0.0,108.0,25.0,8.7
702652,Andrew Fischer,1119.0,1119.0,0.0,1652.0,109.9,23.0,54.5
701906,Trevor Cohen,1232.0,1232.0,0.0,2175.0,106.5,15.0,74.7
701678,Hao-Yu Lee,247.0,247.0,0.0,0.0,110.4,6.0,76.1
815931,Yolfran Castillo,137.0,137.0,0.0,0.0,105.0,10.0,71.7
814409,Seaver King,952.0,952.0,0.0,1312.0,110.1,21.0,68.4
694444,Tavian Josenberger,313.0,313.0,0.0,0.0,107.2,12.0,68.3
828262,Jaden Fauske,0.0,0.0,0.0,0.0,106.7,7.0,70.7
821613,Luis Fragoza,250.0,250.0,0.0,275.0,109.8,20.0,66.1
806988,Welbyn Francisca,920.0,920.0,0.0,1238.0,109.1,16.0,66.4
800306,Jansel Luis,247.0,247.0,0.0,143.0,108.4,8.0,73.0
834685,Angel Abreu,94.0,79.0,0.0,0.0,104.3,6.0,62.8
802117,Patrick Clohisy,273.0,273.0,0.0,0.0,107.2,13.0,68.1
828319,Marshall Toole,87.0,87.0,0.0,0.0,106.9,11.0,64.8
800198,Cristofer Torin,840.0,840.0,0.0,466.0,106.7,20.0,78.1
809707,Charlie Condon,636.0,636.0,0.0,1132.0,111.7,16.0,72.9
829059,Johan De Los Santos,0.0,0.0,0.0,0.0,,,
801501,Nate Furman,695.0,695.0,0.0,1213.0,107.4,12.0,69.6
825927,Rafe Perich,1327.0,1327.0,0.0,1626.0,111.6,20.0,71.4
829073,Brailyn Antunez,781.0,781.0,0.0,1482.0,112.9,18.0,68.7
829703,Emmanuel Cedeno,0.0,0.0,0.0,0.0,,,
829699,Marconi German,0.0,0.0,0.0,0.0,104.3,11.0,50.5
829501,Stiven Marinez,0.0,0.0,0.0,0.0,,,
821171,Dauri Fernandez,199.0,199.0,0.0,0.0,107.0,5.0,62.5
821697,Reyli Mariano,22.0,21.0,0.0,0.0,104.6,7.0,54.8
806964,Sebastian Walcott,67.0,67.0,0.0,0.0,107.6,9.0,74.4
805127,Devin Taylor,838.0,838.0,0.0,1198.0,113.2,26.0,69.3
827517,Kyle Lodise,0.0,0.0,0.0,0.0,105.7,20.0,69.7
825620,Angel Salio,661.0,542.0,0.0,0.0,109.2,7.0,63.3
829034,Josuar Gonzalez,675.0,598.0,0.0,0.0,109.1,10.0,58.7
808232,Alirio Ferrebus,711.0,711.0,0.0,1228.0,109.7,11.0,74.1
821100,Justin Gonzales,789.0,789.0,0.0,851.0,110.1,18.0,76.2
