Combined_Rank,Pos_Adj_Rank,PlayerId,Name,Pos,FantasyPos,Team,Level,Age,Last_Season,Career_PA,Total_Weighted_PA,TOOLS_Score,ABILITY_Score,Current_Score,OVR_Score,Archetype,Archetype_Adj,Combined_Score,Pos_Bonus,Pos_Adj_Score,Discipline_Flag,Career_Disc_Flag,Disc_Composite_Z,Disc_Slope,Career_K%,Career_HRFB,Career_SBTalent,Hard_Floor_Flag,Below_OVR_Floor,Age_AA_Debut,AA_PPPAZ_Combo,AgeAA_Combo_Bonus,AgeAA_Combo_Flag_Label
1,1,800543,Josue De Paula,CF,OF,LAD,AA,21.0,2026,2067,733.5,82.79,117.23,100.01,84.11,Average,0.0,95.06,-2.0,93.06,,,0.9478,0.0146,0.1715191098209966,0.12485147556845669,0.04636105466860184,,False,20.0,1.4228308207705194,3.0,Young AA Elite
2,2,703151,William Bergolla Jr.,2B,2B,CWS,AAA,21.0,2026,1262,550.21,67.89,108.99,88.44,79.56,Pure Contact,2.0,89.0,1.5,90.5,,,1.8779,-0.0162,0.06770303527481543,0.003807219031993437,0.044983429040196886,,False,20.0,1.13,3.0,Young AA Elite
3,5,815394,Theo Gillen,OF,OF,TB,AA,20.0,2026,875,321.12,80.01,93.09,86.55,82.0,Contact/Power,0.0,87.28,-2.0,85.28,,,0.084,-0.0696,0.24002285714285715,0.20456228571428572,0.0802057142857143,,False,20.0,1.17,3.0,Young AA Elite
4,4,702726,Luke Adams,3B,3B,MIL,AAA,22.0,2026,1509,704.62,82.31,97.92,90.12,80.88,Contact/Power,0.0,85.5,0.5,86.0,,,0.5279,0.004,0.2122357723577236,0.1434780487804878,0.04871739837398374,,False,21.0,1.03,0.0,
5,3,808265,Franklin Arias,SS,SS,BOS,AAA,20.0,2026,1531,593.94,62.93,105.4,84.16,75.62,Pure Contact,2.0,84.89,3.0,87.89,,,1.2152,-0.0114,0.12511879049676028,0.10081209503239741,0.030680345572354207,,False,19.0,1.406,3.0,Young AA Elite
6,11,808234,Eduardo Quintero,OF,OF,LAD,A+,20.0,2026,1599,381.09,86.32,89.34,87.83,78.05,Speed,0.0,82.94,-2.0,80.94,,,0.5728,-0.0251,0.20496560350218887,0.10773295809881175,0.0758422138836773,,False,,,0.0,
7,13,804560,Charles Davalan,OF,OF,LAD,A+,22.0,2026,567,188.71,75.13,94.24,84.68,75.73,Pure Contact,2.0,82.21,-2.0,80.21,,,1.478,,0.11195767195767195,0.152978835978836,0.03077601410934744,,False,,,0.0,
8,15,694230,Hendry Mendez,OF,OF,MIN,AAA,22.0,2026,2125,984.95,77.82,89.61,83.72,75.33,Pure Contact,2.0,81.53,-2.0,79.53,,,1.0937,-0.006,0.14537870472008782,0.09493743139407244,0.009143743139407245,,False,21.0,0.82,0.0,
9,16,815824,Josiah Hartshorn,OF,OF,CHC,A+,19.0,2026,547,166.51,78.22,87.19,82.7,80.11,Contact/Power,0.0,81.4,-2.0,79.4,,,0.5415,,0.20411334552102378,0.210290676416819,0.022425594149908596,,False,,,0.0,
10,17,806252,Ralphy Velazquez,1B,1B,CLE,AAA,21.0,2026,1546,783.96,63.59,98.71,81.15,73.57,Contact/Power,0.0,80.36,-1.0,79.36,whiff,,0.3914,-0.0218,0.19477386934673366,0.13767336683417086,0.007314321608040201,,False,20.0,1.87,3.0,Young AA Elite
11,8,800406,Aron Estrada,2B,2B,BAL,AA,21.0,2026,1673,614.69,65.09,99.02,82.06,72.6,Average,0.0,80.33,1.5,81.83,,,0.6381,-0.0477,0.16365212193664078,0.13352420800956366,0.04228912133891213,,False,20.0,1.42,3.0,Young AA Elite
12,22,806077,Kendall George,OF,OF,LAD,AA,21.0,2026,1317,442.74,65.54,101.08,83.31,77.3,Speed,0.0,80.31,-2.0,78.31,,,0.8359,0.0219,0.17488230827638573,0.02046317388003037,0.114748291571754,,False,21.0,1.0,0.0,
13,9,701649,James Triantos,2B,2B,CHC,AAA,23.0,2026,2388,1481.42,54.92,102.48,78.7,71.49,Pure Contact,2.0,80.1,1.5,81.6,,,0.9335,0.0064,0.13097647897362796,0.07094369208838203,0.04759743406985032,,False,20.0,1.9007425742574258,3.0,Young AA Elite
