Combined_Rank,PlayerId,Name,Team,Level,Age,First_Season,Last_Season,Career_PA,Career_PPPA,Total_Weighted_PA,TOOLS_Score,ABILITY_Score,Slope_Score,Combined_Score,Discipline_Flag,Career_Disc_Flag,PPPA_Slope,N_Levels,MiLB_Seasons
1,11173,Oscar Taveras,STL,AAA,22.0,2009,2014,1859,0.522,1299.7,100.0,100.0,55.68,91.14,,,-0.03,4,6
2,703151,William Bergolla Jr.,CWS,AAA,21.0,2022,2026,1262,,921.64,99.92,98.84,58.15,91.13,,,0.101,4,5
3,13611,Mookie Betts,BOS,AAA,21.0,2013,2014,1015,1.219,767.13,98.56,100.0,54.32,90.29,,,-0.102,4,2
4,23667,Wander Franco,TB,AAA,21.0,2018,2022,973,1.095,624.84,97.93,99.34,51.98,89.3,,,-0.226,4,4
5,24610,Steven Kwan,CLE,AAA,23.0,2018,2021,933,0.914,709.96,98.75,93.44,59.17,88.71,,,0.155,3,3
6,17838,Willie Calhoun,TEX,AAA,24.0,2015,2019,2059,0.91,1810.49,94.06,100.0,55.06,88.64,,,-0.063,4,5
7,5417,Jose Altuve,HOU,AA,21.0,2007,2011,1555,1.049,870.22,100.0,92.91,56.27,88.42,,,0.001,4,5
8,4940,Jason Heyward,ATL,AAA,23.0,2007,2013,1029,0.83,680.77,94.94,93.8,60.51,87.6,hard+whiff,,0.226,3,4
9,10155,Mike Trout,LAA,AAA,20.0,2009,2012,1313,1.042,898.6,92.07,100.0,53.79,87.59,,,-0.13,5,4
10,19955,Gavin Lux,LAD,AAA,23.0,2016,2021,1875,0.68,1322.32,100.0,87.19,62.04,87.28,,,0.307,5,5
11,17678,Alex Bregman,HOU,AAA,22.0,2015,2016,679,1.065,524.59,87.18,99.2,62.65,87.08,,,0.339,4,2
12,19918,Daulton Varsho,AZ,AAA,24.0,2018,2021,893,0.766,714.18,82.72,100.0,67.56,86.6,,,0.599,3,3
13,20521,Nick Madrigal,CWS,AAA,22.0,2018,2019,705,0.776,550.51,90.91,100.0,50.49,86.46,,,-0.305,3,2
14,14712,Manuel Margot,SD,AAA,22.0,2012,2017,1848,0.771,1362.53,91.3,100.0,49.58,86.44,,,-0.353,5,5
15,19611,Vladimir Guerrero Jr.,TOR,AAA,20.0,2016,2019,1258,1.036,838.7,85.78,100.0,58.87,86.09,,,0.139,5,4
16,13510,José Ramírez,CLE,AAA,22.0,2011,2015,1526,1.28,1179.25,84.71,100.0,56.93,85.27,,,0.036,4,5
17,19610,Keibert Ruiz,WSH,AAA,22.0,2015,2021,1896,0.854,1379.23,90.31,93.71,56.04,84.82,,,-0.011,5,6
18,17901,Andrew Benintendi,BOS,AA,21.0,2015,2016,504,0.86,379.99,89.7,100.0,42.45,84.37,,,-0.731,3,2
19,805808,Kevin McGonigle,DET,AA,20.0,2023,2025,818,0.957,545.7,77.87,100.0,63.42,83.83,,,0.38,3,3
20,3516,Eric Hosmer,KC,AAA,24.0,2008,2014,1164,0.877,840.7,87.44,90.06,63.69,83.74,hard+whiff,,0.394,4,5
21,20036,Isaac Paredes,TB,AAA,23.0,2016,2022,2209,0.851,1649.34,90.68,90.26,55.19,83.41,,,-0.056,5,6
22,18345,Kyle Tucker,HOU,AAA,22.0,2015,2019,2276,1.163,1806.39,80.33,100.0,55.72,83.28,,,-0.028,5,5
23,5247,Brett Lawrie,TOR,A+,24.0,2009,2014,1476,0.773,1175.67,88.68,91.14,56.42,83.21,,,0.009,3,5
24,12907,Gregory Polanco,PIT,AAA,22.0,2009,2014,1981,0.807,1251.76,80.83,97.25,59.14,83.06,,,0.153,5,6
25,19556,Yordan Alvarez,HOU,AAA,22.0,2016,2019,1080,1.215,881.98,89.02,91.72,52.53,82.8,,,-0.197,4,4
26,11400,Ronald Torreyes,LAD,AAA,22.0,2010,2015,2578,0.75,1949.27,94.83,88.06,46.86,82.53,,,-0.497,5,6
27,27676,Vinnie Pasquantino,KC,AAA,24.0,2021,2022,826,0.97,708.04,79.9,100.0,52.02,82.36,,,-0.224,3,2
28,9393,Matt Adams,STL,AA,24.0,2009,2013,1439,0.831,1057.62,93.14,85.29,54.04,82.18,hard,,-0.117,4,5
29,7859,Charlie Blackmon,COL,AAA,24.0,2009,2011,1269,1.027,1029.4,83.69,90.49,61.23,81.92,,,0.264,3,3
30,25878,Corbin Carroll,AZ,AAA,21.0,2019,2022,600,1.054,463.7,77.45,98.28,57.1,81.71,,,0.045,3,3
31,12282,Rougned Odor,TEX,AAA,24.0,2012,2018,1315,0.756,944.1,82.81,90.67,61.4,81.67,hard+whiff,,0.273,4,5
32,10815,Jurickson Profar,TEX,AAA,24.0,2011,2017,1863,0.82,1534.23,85.57,93.27,50.4,81.62,,,-0.31,3,6
33,5933,Jean Segura,MIL,AA,22.0,2007,2012,1756,0.875,1068.6,87.43,90.35,52.4,81.59,,,-0.204,4,6
34,4892,Mike Moustakas,KC,AAA,22.0,2007,2011,1910,0.842,1443.88,81.38,93.83,56.68,81.42,,,0.023,4,5
35,12533,Marcus Semien,CWS,AAA,23.0,2011,2014,1741,0.878,1409.67,76.0,94.88,62.55,80.86,,,0.334,4,4
36,9166,Buster Posey,SF,AAA,23.0,2008,2010,736,1.017,616.75,84.39,93.02,48.85,80.73,,,-0.392,2,3
37,26668,Elly De La Cruz,CIN,AAA,21.0,2019,2023,1150,0.886,790.83,81.33,89.34,61.18,80.5,soft+whiff,hard,0.261,5,4
38,13593,José Peraza,CIN,AAA,22.0,2011,2016,2343,0.816,1703.75,80.46,94.53,51.96,80.39,,,-0.227,5,6
39,21479,Nico Hoerner,CHC,AAA,24.0,2018,2021,375,0.964,298.69,89.15,86.76,50.0,80.36,soft,,,1,3
40,19892,Pavin Smith,AZ,AA,23.0,2018,2019,1011,0.687,783.72,86.41,79.58,69.46,80.29,,,0.7,2,2
41,11477,Christian Yelich,MIA,A+,23.0,2010,2015,1298,0.931,860.06,98.0,75.77,53.62,80.23,hard+whiff,,-0.139,3,5
42,11899,Joc Pederson,LAD,AAA,24.0,2010,2016,1965,0.814,1515.03,83.39,90.88,52.3,80.17,,,-0.209,4,6
43,12532,Kolten Wong,STL,AAA,23.0,2011,2014,1344,0.819,1155.9,77.86,97.44,49.92,80.1,,,-0.335,3,4
44,11205,Adam Eaton,AZ,AAA,24.0,2010,2013,1555,0.81,1228.17,75.62,97.58,53.17,79.91,,,-0.163,4,4
45,14162,Carlos Correa,HOU,AAA,24.0,2012,2019,1330,0.895,871.66,84.41,85.1,60.34,79.87,,,0.217,5,7
46,17027,Alex Verdugo,LAD,AAA,22.0,2014,2018,2159,0.823,1723.84,81.43,91.78,52.87,79.86,,,-0.179,5,5
47,10099,Dustin Ackley,SEA,AAA,23.0,2010,2011,918,0.708,862.0,86.07,84.97,56.61,79.74,,,0.019,2,2
48,20536,Vidal Bruján,TB,AAA,24.0,2015,2022,2203,0.431,1587.25,72.64,100.0,53.17,79.69,,,-0.163,5,6
49,10047,Wil Myers,SD,AAA,24.0,2009,2015,1991,0.742,1640.03,81.32,91.16,53.3,79.65,,,-0.156,5,7
50,19262,Garrett Hampson,COL,AAA,24.0,2017,2019,1224,0.526,1021.61,80.8,94.41,45.96,79.28,,,-0.545,3,3
51,815394,Theo Gillen,TB,AA,20.0,2024,2026,875,,603.89,83.51,84.04,61.18,79.26,,,0.261,3,3
52,16535,Danny Jansen,TOR,AAA,23.0,2013,2018,1505,0.738,1094.71,81.84,87.48,57.47,79.22,,,0.065,5,6
53,16252,Trea Turner,WSH,AAA,24.0,2014,2017,1110,1.063,966.15,78.17,93.35,52.45,79.1,hard+whiff,,-0.201,3,4
54,15343,Zack Granite,MIN,AAA,24.0,2013,2017,1821,0.766,1342.0,76.35,92.15,57.85,78.97,,,0.085,5,5
55,4949,Giancarlo Stanton,MIA,A+,23.0,2007,2013,1392,0.915,979.29,96.43,74.87,51.6,78.84,hard+whiff,,-0.246,3,6
56,808265,Franklin Arias,BOS,AAA,20.0,2023,2026,1531,,1025.51,78.88,89.99,55.87,78.72,,,-0.02,5,4
57,17484,Eloy Jiménez,CWS,AAA,24.0,2014,2021,1516,0.815,1082.44,78.36,90.06,55.98,78.56,hard+whiff,,-0.014,5,6
58,28163,Junior Caminero,TB,AAA,20.0,2021,2024,1210,1.046,845.75,90.77,78.94,51.96,78.28,,,-0.227,5,4
58,823807,Kane Kepley,CHC,AA,22.0,2025,2026,697,,491.48,86.61,85.31,47.56,78.28,,,-0.46,3,2
60,5827,Wilmer Flores,NYM,AA,24.0,2008,2016,3219,0.901,2326.17,80.14,86.57,57.95,78.27,,,0.09,5,8
60,18839,Josh Naylor,SD,AAA,22.0,2015,2019,1933,0.982,1457.48,84.09,84.29,54.57,78.27,,,-0.089,5,5
62,6740,Johnny Giavotella,KC,AAA,24.0,2008,2012,2390,0.74,1998.2,75.46,92.35,55.53,78.23,,,-0.038,4,5
63,19251,Pete Alonso,NYM,AAA,23.0,2017,2018,967,0.988,815.46,84.11,83.83,55.13,78.2,,,-0.059,3,2
63,8392,Daniel Descalso,STL,AAA,23.0,2008,2010,1525,0.654,1334.2,82.49,84.99,56.02,78.2,,,-0.012,3,3
65,802139,JJ Wetherholt,STL,AAA,22.0,2024,2025,622,0.797,523.82,66.51,100.0,57.38,78.08,,,0.06,3,2
66,800543,Josue De Paula,LAD,AA,21.0,2022,2026,2067,,1391.08,76.23,90.01,57.57,78.01,,,0.07,4,5
67,19612,Bo Bichette,TOR,AAA,21.0,2016,2019,1445,0.924,1100.56,77.22,96.16,43.2,77.99,,,-0.691,5,4
67,815824,Josiah Hartshorn,CHC,A+,19.0,2026,2026,547,,363.59,87.13,73.88,67.95,77.99,,,0.62,2,1
69,5361,Freddie Freeman,ATL,AAA,23.0,2007,2013,1771,1.065,1282.89,82.58,84.9,54.59,77.91,hard+whiff,,-0.088,5,5
70,19339,Nicky Lopez,KC,AAA,24.0,2016,2019,1579,0.613,1219.93,84.31,84.29,52.26,77.89,,,-0.211,4,4
