Rank,Name,Team,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,RawPower,PowAge,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
1,Alexander Frias,MIL,18.0,18.448,92.6,137,1.89,98.6,79.2,100.0,57.6,60.7,91.0,95.2,81.7,95.7,86.4,99.8,69.6,88.4,68.5,87.3,66.3,72.7,97.0,94.8,-19.0,82.6,42.896,8.9,81.915,74.5,26.295,68.1,117.0,100.0,106.2,92.6,52.0,88.9,0.7,69.8,7.836,75.8,0.088,79.5,0.667,32.7
2,Leonard Rijo,MIL,18.0,18.743,84.8,85,1.08,69.9,78.7,99.8,90.6,98.3,84.5,89.6,65.4,80.4,75.0,91.8,78.0,94.9,65.1,83.1,39.4,31.6,84.1,84.4,-17.6,84.9,21.053,94.2,90.805,96.6,12.057,99.3,108.2,78.9,106.1,91.8,26.1,34.2,1.2,81.0,6.215,48.1,0.036,46.0,0.444,16.1
3,Jorwin Pulido,ATL,17.0,17.958,99.8,87,1.49,92.9,77.7,99.5,82.4,92.6,38.9,34.1,91.8,100.0,65.4,78.0,87.1,99.0,86.9,100.0,86.6,95.3,38.4,69.1,0.0,98.7,33.043,45.2,86.441,92.0,15.196,97.3,101.6,28.4,101.2,53.4,57.1,91.7,0.0,30.8,9.129,95.4,0.135,93.1,0.833,63.5
4,Anderson Araujo,PHI,18.0,18.368,94.0,142,0.89,53.6,77.0,99.3,85.6,96.1,48.8,49.9,84.4,97.3,66.6,80.4,85.0,98.6,80.7,99.5,72.0,80.3,51.3,72.6,-17.6,84.9,18.677,97.8,81.208,71.0,25.888,69.3,103.8,43.2,102.1,63.4,75.0,97.9,0.0,30.8,7.992,78.5,0.07,70.7,0.833,63.5
5,Gerlyn Payano,MIL,18.0,18.218,96.0,93,0.95,59.4,76.2,99.0,50.8,51.9,85.0,90.5,68.1,83.7,76.6,94.2,59.4,67.4,66.4,85.1,80.4,88.2,82.4,89.2,-41.9,33.8,25.17,81.9,77.391,55.3,31.308,46.4,108.0,77.5,105.7,89.7,48.3,80.9,2.2,90.7,8.913,93.0,0.077,74.0,0.857,69.2
6,Edgardo De Leon,MIA,19.0,19.493,58.8,76,1.77,96.9,75.4,98.8,76.6,86.2,98.2,99.5,69.6,85.0,83.9,98.6,73.1,91.5,70.5,91.1,65.4,71.5,99.6,79.2,-17.1,85.9,26.154,77.8,73.684,39.7,30.328,51.3,114.9,99.3,113.5,100.0,100.0,99.4,2.6,92.6,6.129,46.5,0.092,82.2,0.875,72.3
7,Franklin Primera,BOS,19.0,19.181,70.0,134,1.8,97.3,74.1,98.6,73.3,81.6,89.4,94.4,81.2,95.4,85.3,99.3,77.2,94.2,64.1,81.2,37.7,28.4,88.8,79.4,-3.0,97.6,39.216,17.1,91.667,97.9,15.865,96.9,111.0,94.4,104.2,80.3,39.3,64.4,3.7,97.8,4.411,22.7,0.03,41.2,0.8,56.8
8,Miguel Hernández,STL,18.0,18.218,96.0,191,1.33,87.1,74.0,98.3,79.6,88.9,49.7,51.3,76.8,91.3,63.2,71.9,78.2,95.2,72.5,94.2,61.2,62.4,51.4,73.7,-21.5,78.9,18.594,98.1,77.489,56.3,29.861,53.6,103.3,39.6,102.7,69.2,72.7,97.3,0.0,30.8,7.662,72.9,0.058,65.1,0.688,37.1
9,Luis Hernández,SFG,17.0,17.687,100.0,228,1.28,84.4,73.5,97.9,69.2,75.7,58.3,61.7,82.0,95.9,70.2,85.7,75.6,92.8,64.8,82.6,43.3,37.3,63.5,81.8,-22.4,76.3,32.543,47.6,82.52,79.2,22.704,83.6,105.5,56.9,103.1,73.4,50.0,84.8,0.0,30.8,6.718,55.8,0.026,36.5,0.667,32.7
10,Kamuel Villar,COL,18.0,18.96,76.7,229,1.05,67.6,73.5,97.9,80.5,89.6,69.1,73.9,77.8,91.9,73.4,90.3,79.2,96.0,70.2,90.3,52.3,48.7,70.3,73.5,-21.8,78.0,24.512,85.0,85.057,88.2,23.301,80.2,106.9,68.2,103.1,73.4,40.0,67.3,0.4,62.1,7.19,63.5,0.022,31.4,0.833,63.5
