batter,player_name,Season,Overall_PA,Overall_K_pct,Overall_xwOBA,RISP_PA,RISP_K_pct,RISP_xwOBA,LHP_PA,LHP_K_pct,LHP_xwOBA,RHP_PA,RHP_K_pct,RHP_xwOBA,Platoon_Gap,Count02_PA,Count02_K_pct
443558,"Cruz, Nelson",2023,17,,,5,,,7,,,10,,,,1,
444482,"Peralta, David",2024,97,0.1856,0.3541,29,0.2414,0.3283,32,0.2188,0.3552,65,0.1692,0.3536,0.0016,15,0.4667
444489,"Piña, Manny",2023,38,0.1316,0.3525,11,,,12,,,26,0.1538,0.312,,2,
446334,"Longoria, Evan",2023,12,,,4,,,0,,,12,,,,0,
453568,"Blackmon, Charlie",2023,10,,,3,,,4,,,6,,,,2,
456781,"Solano, Donovan",2024,51,0.1569,0.3538,15,,,8,,,43,0.1628,0.3212,,3,
456781,"Solano, Donovan",2025,39,0.2564,0.2887,16,,,5,,,34,0.2941,0.2838,,2,
458015,"Votto, Joey",2023,90,0.3111,0.2932,24,0.4167,0.2657,31,0.4194,0.2321,59,0.2542,0.3252,-0.0931,5,0.8
458015,"Votto, Joey",2024,51,0.4314,0.2209,13,,,24,0.5,0.177,27,0.3704,0.26,-0.083,4,
462101,"Andrus, Elvis",2023,15,,,5,,,8,,,7,,,,1,
488726,"Brantley, Michael",2023,64,0.0156,0.388,23,0.0435,0.3485,19,,,45,0.0,0.3754,,1,
493329,"Gurriel, Yuli",2024,331,0.148,0.3226,104,0.1538,0.2912,89,0.1573,0.3364,242,0.1446,0.3175,0.0189,27,0.2593
501303,"Adrianza, Ehire",2023,30,0.1,0.2095,5,,,9,,,21,0.0952,0.178,,2,
501303,"Adrianza, Ehire",2024,45,0.1778,0.3218,9,,,13,,,32,0.2188,0.3103,,3,
501659,"Almonte, Abraham",2023,157,0.2548,0.3402,57,0.2105,0.362,48,0.375,0.1895,109,0.2018,0.4066,-0.2171,10,0.7
502054,"Pham, Tommy",2024,17,,,5,,,1,,,16,,,,1,
502110,"Martinez, J.D.",2023,9,,,4,,,3,,,6,,,,0,
502110,"Martinez, J.D.",2024,8,,,2,,,4,,,4,,,,0,
502517,"Murphy, Daniel",2023,168,0.1071,0.2889,54,0.1111,0.2632,47,0.1702,0.2782,121,0.0826,0.2931,-0.0149,14,0.2857
506702,"León, Sandy",2023,68,0.1765,0.2947,16,,,23,0.1304,0.314,45,0.2,0.2848,0.0292,7,0.4286
506702,"León, Sandy",2024,289,0.2837,0.2686,102,0.2451,0.2545,87,0.1379,0.2575,202,0.3465,0.2734,-0.0159,22,0.6818
506702,"León, Sandy",2025,197,0.3249,0.2405,47,0.2766,0.199,29,0.2069,0.2902,168,0.3452,0.2319,0.0583,19,0.6842
