year,source,team_id,rank,mlb_rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
2026,BA,2,1,48,Ryan Waldschmidt,LF-RF,6-2,205,R,R,2002-10-07,"Sarasota,FL",MLB,2026-2026,2022-2026,2024-  1-  31-ARI,Active,,
2026,BA,2,2,97,Kayson Cunningham,SS,5-10,182,L,R,2006-06-25,"Tucson,AZ",A+,,2025-2026,2025-  1-  18-ARI,Minors,,
2026,BA,2,3,,Demetrio Crisantes,SS,6-0,178,R,R,2004-09-05,"Tucson,AZ",AAA,,2023-2026,2022-  7- 198-ARI,Minors,,
2026,BA,2,4,,Slade Caldwell,OF,5-9,182,L,L,2006-06-18,"Jonesboro,AR",A+,,2025-2026,2024-  1-  29-ARI,Minors,,
2026,BA,2,5,,David Hagaman,P,6-4,215,R,R,2003-04-16,"Somers Point,NJ",AA,,2023-2026,2024-  4- 133-TEX,Minors,,
2026,BA,2,6,,Daniel Eagen,P,6-4,205,R,R,2002-11-23,"Fuquay-Varina,NC",AA,,2022-2026,2024-  3- 102-ARI,Minors,,
2026,BA,2,7,,Patrick Forbes,P,6-3,220,R,R,2004-07-11,"Bowling Green,KY",A+,,2023-2026,2025-  1-  29-ARI,Minors,,
2026,BA,2,8,,JD Dix,SS,6-2,180,B,R,2005-10-12,"Chicago,IL",A+,,2025-2026,2024-  1-  35-ARI,Minors,,
2026,BA,2,9,,Tommy Troy,SS-2B,5-9,197,R,R,2002-01-17,"San Jose,CA",MLB,2026-2026,2021-2026,2023-  1-  12-ARI,IL-10,,
2026,BA,2,10,,Cristofer Torin,SS,5-10,155,R,R,2005-05-26,"Acarigua,VZ",AA,,2022-2026,2022-  UDFA  -ARI,Minors,,
2026,BA,2,11,,Cristian Mena,P,6-2,170,R,R,2002-12-21,"San Francisco de Macoris,DR",MLB,2024-2025,2021-2025,2019-  UDFA  -CHA,IL-60,,
2026,BA,2,12,,Jansel Luis,2B-SS,6-0,170,B,R,2005-03-06,"San Pedro de Macoris,DR",AA,,2022-2026,2022-  UDFA  -ARI,Minors,,
2026,BA,2,13,,Kohl Drake,P,6-5,220,L,L,2000-07-17,"Orem,UT",MLB,2026-2026,2022-2026,2022- 11- 319-TEX,Minors,,
2026,BA,2,14,,Ashton Izzi,P,6-3,165,R,R,2003-11-18,"Omaha,NE",AAA,,2023-2026,2022-  4- 126-SEA,Minors,,
2026,BA,2,15,,LuJames Groover,3B-2B,6-2,212,R,R,2002-04-16,"East Point,GA",MLB,2026-2026,2021-2026,2023-  2-  48-ARI,Minors,,
2026,BA,2,16,,Brandyn Garcia,P,6-4,235,L,L,2000-05-27,"Newport,RI",MLB,2025-2026,2020-2026,2023- 11- 337-SEA,Active,,
2026,BA,2,17,,Druw Jones,OF,6-4,180,R,R,2003-11-28,"Atlanta,GA",AA,,2023-2026,2022-  1-   2-ARI,Minors,,
2026,BA,2,18,,Mitch Bratt,P,6-1,190,L,L,2003-07-03,"Newmarket,ON",MLB,2026-2026,2021-2026,2021-  5- 134-TEX,Active,,
2026,BA,2,19,,Carlos Virahonda,C,5-11,180,R,R,2005-12-13,"Caucagua,VZ",A+,,2023-2026,2023-  UDFA  -ARI,Minors,,
2026,BA,2,20,,Brian Curley,P,5-10,212,R,R,2003-06-01,"Midlothian,VA",AA,,2023-2026,2025-  3-  92-ARI,Minors,,
2026,BA,2,21,,Dylan Ray,P,6-3,230,R,R,2001-05-09,"Huntsville,AL",AAA,,2022-2026,2022-  4- 108-ARI,Minors,,
2026,BA,2,22,,Yassel Soler,3B,5-11,185,R,R,2006-01-26,"Santo Domingo,DR",A+,,2023-2026,2023-  UDFA  -ARI,Minors,,
2026,BA,2,23,,Ivan Luciano,C,5-10,185,L,R,2006-11-24,"Mayaguez,PR",A,,2025-2026,2024-  2-  64-ARI,Minors,,
2026,BA,2,24,,Yu-Min Lin,P,5-11,160,L,L,2003-07-12,"Taitung,TW",AAA,,2022-2026,,Minors,,
2026,BA,2,25,,Mason Marriott,P,6-0,198,L,R,2002-08-14,"Tomball,TX",A+,,2022-2026,2024-  6- 194-ARI,Minors,,
2026,BA,2,26,,Jaitoine Kelly,P,6-3,257,R,R,2007-06-29,"Ayo,AA",A,,2024-2026,,IL-7,,
2026,BA,2,27,,Dean Livingston,P,6-4,205,R,R,2006-09-07,"Suwanee,GA",A,,2026-2026,2025-  4- 123-ARI,Minors,,
2026,BA,2,28,,Daury Vasquez,P,6-2,170,R,R,2006-04-17,"Santo Domingo,DR",A,,2023-2026,2023-  UDFA  -ARI,Minors,,
2026,BA,2,29,,Yordin Chalas,P,6-3,175,R,R,2004-02-22,"La Romana,DR",AA,,2023-2026,,IL-7,,
2026,BA,2,30,,Chung-Hsiang Huang,P,6-0,175,R,R,2005-10-26,"Keelung,TW",A,,2025-2026,,Minors,,
2026,PIPE,2,1,59,Ryan Waldschmidt,LF-RF,6-2,205,R,R,2002-10-07,"Sarasota,FL",MLB,2026-2026,2022-2026,2024-  1-  31-ARI,Active,,
2026,PIPE,2,2,,Kayson Cunningham,SS,5-10,182,L,R,2006-06-25,"Tucson,AZ",A+,,2025-2026,2025-  1-  18-ARI,Minors,,
2026,PIPE,2,3,,Slade Caldwell,OF,5-9,182,L,L,2006-06-18,"Jonesboro,AR",A+,,2025-2026,2024-  1-  29-ARI,Minors,,
2026,PIPE,2,4,,Tommy Troy,SS-2B,5-9,197,R,R,2002-01-17,"San Jose,CA",MLB,2026-2026,2021-2026,2023-  1-  12-ARI,IL-10,,
2026,PIPE,2,5,,Demetrio Crisantes,SS,6-0,178,R,R,2004-09-05,"Tucson,AZ",AAA,,2023-2026,2022-  7- 198-ARI,Minors,,
2026,PIPE,2,6,,JD Dix,SS,6-2,180,B,R,2005-10-12,"Chicago,IL",A+,,2025-2026,2024-  1-  35-ARI,Minors,,
2026,PIPE,2,7,,Daniel Eagen,P,6-4,205,R,R,2002-11-23,"Fuquay-Varina,NC",AA,,2022-2026,2024-  3- 102-ARI,Minors,,
2026,PIPE,2,8,,David Hagaman,P,6-4,215,R,R,2003-04-16,"Somers Point,NJ",AA,,2023-2026,2024-  4- 133-TEX,Minors,,
2026,PIPE,2,9,,Patrick Forbes,P,6-3,220,R,R,2004-07-11,"Bowling Green,KY",A+,,2023-2026,2025-  1-  29-ARI,Minors,,
2026,PIPE,2,10,,LuJames Groover,3B-2B,6-2,212,R,R,2002-04-16,"East Point,GA",MLB,2026-2026,2021-2026,2023-  2-  48-ARI,Minors,,
2026,PIPE,2,11,,Cristian Mena,P,6-2,170,R,R,2002-12-21,"San Francisco de Macoris,DR",MLB,2024-2025,2021-2025,2019-  UDFA  -CHA,IL-60,,
2026,PIPE,2,12,,Kohl Drake,P,6-5,220,L,L,2000-07-17,"Orem,UT",MLB,2026-2026,2022-2026,2022- 11- 319-TEX,Minors,,
2026,PIPE,2,13,,Jansel Luis,2B-SS,6-0,170,B,R,2005-03-06,"San Pedro de Macoris,DR",AA,,2022-2026,2022-  UDFA  -ARI,Minors,,
2026,PIPE,2,14,,Mitch Bratt,P,6-1,190,L,L,2003-07-03,"Newmarket,ON",MLB,2026-2026,2021-2026,2021-  5- 134-TEX,Active,,
2026,PIPE,2,15,,Cristofer Torin,SS,5-10,155,R,R,2005-05-26,"Acarigua,VZ",AA,,2022-2026,2022-  UDFA  -ARI,Minors,,
2026,PIPE,2,16,,Druw Jones,OF,6-4,180,R,R,2003-11-28,"Atlanta,GA",AA,,2023-2026,2022-  1-   2-ARI,Minors,,
2026,PIPE,2,17,,Carlos Virahonda,C,5-11,180,R,R,2005-12-13,"Caucagua,VZ",A+,,2023-2026,2023-  UDFA  -ARI,Minors,,
2026,PIPE,2,18,,Ashton Izzi,P,6-3,165,R,R,2003-11-18,"Omaha,NE",AAA,,2023-2026,2022-  4- 126-SEA,Minors,,
2026,PIPE,2,19,,Dean Livingston,P,6-4,205,R,R,2006-09-07,"Suwanee,GA",A,,2026-2026,2025-  4- 123-ARI,Minors,,
2026,PIPE,2,20,,Brandyn Garcia,P,6-4,235,L,L,2000-05-27,"Newport,RI",MLB,2025-2026,2020-2026,2023- 11- 337-SEA,Active,,
2026,PIPE,2,21,,Yassel Soler,3B,5-11,185,R,R,2006-01-26,"Santo Domingo,DR",A+,,2023-2026,2023-  UDFA  -ARI,Minors,,
2026,PIPE,2,22,,Brian Curley,P,5-10,212,R,R,2003-06-01,"Midlothian,VA",AA,,2023-2026,2025-  3-  92-ARI,Minors,,
2026,PIPE,2,23,,Yilber Diaz,P,6-0,190,R,R,2000-08-19,"Guatire,VZ",MLB,2024-2026,2021-2026,2021-  UDFA  -ARI,Active,,
2026,PIPE,2,24,,Wellington Aracena,P,6-3,180,R,R,2004-12-27,"Mao,DR",A+,,2022-2026,2022-  UDFA  -NYN,Minors,,
2026,PIPE,2,25,,Daury Vasquez,P,6-2,170,R,R,2006-04-17,"Santo Domingo,DR",A,,2023-2026,2023-  UDFA  -ARI,Minors,,
2026,PIPE,2,26,,Ivan Luciano,C,5-10,185,L,R,2006-11-24,"Mayaguez,PR",A,,2025-2026,2024-  2-  64-ARI,Minors,,
2026,PIPE,2,27,,Jose Fernandez,3B-SS,6-3,165,R,R,2003-09-22,"Cumana,VZ",MLB,2026-2026,2021-2026,2021-  UDFA  -ARI,Minors,,
2026,PIPE,2,28,,Mason Marriott,P,6-0,198,L,R,2002-08-14,"Tomball,TX",A+,,2022-2026,2024-  6- 194-ARI,Minors,,
2026,PIPE,2,29,,Avery Owusu-Asiedu,CF,6-4,230,R,R,2003-06-16,"Saskatoon,SK",A+,,2021-2026,2023-  9- 283-PHI,Minors,,
2026,PIPE,2,30,,Gavin Conticello,1B-3B,6-3,195,L,R,2003-06-11,"Coconut Creek,FL",AAA,,2021-2026,2021-  8- 228-ARI,Minors,,
2026,BA,3,1,53,Cam Caminiti,P,6-2,195,L,L,2006-08-08,"Scottsdale,AZ",AA,,2024-2026,2024-  1-  24-ATL,Minors,,
2026,BA,3,2,84,JR Ritchie,P,6-2,185,R,R,2003-06-26,"Seattle,WA",MLB,2026-2026,2022-2026,2022-  1-  35-ATL,Minors,,
2026,BA,3,3,,Didier Fuentes,P,6-0,170,R,R,2005-06-17,"Tolu,CB",MLB,2025-2026,2022-2026,2022-  UDFA  -ATL,Active,,
2026,BA,3,4,,Owen Murphy,P,6-1,190,R,R,2003-09-27,"Chicago,IL",MLB,2026-2026,2022-2026,2022-  1-  20-ATL,Minors,,
2026,BA,3,5,,Briggs McKenzie,P,6-2,190,L,L,2006-10-11,"Raleigh,NC",A+,,2026-2026,2025-  4- 127-ATL,IL-7,,
2026,BA,3,6,,Alex Lodise,IF,6-1,190,R,R,2004-03-10,"Jacksonville,FL",A+,,2023-2026,2025-  2-  60-ATL,Minors,,
