Combined_Rank,Name,Team,Level,BA_Rank,BA_Delta,PIPE_Rank,PIPE_Delta,BA_Org_Rank,PIPE_Org_Rank,TBC_Name,Pos,Born,Age_At_Rank,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score
1,Rainiel Rodriguez,STL,AA,35.0,34.0,37.0,36.0,3,3,Rainiel Rodriguez,IF,2007-01-04,19.0,73.61,87.73,66.46,82.34,76.83
2,Johan De Los Santos,PIT,A,,,,,30,,Johan De Los Santos,P,2008-07-24,18.0,69.69,93.6,72.65,63.57,75.12
3,Franklin Arias,BOS,AAA,49.0,46.0,31.0,28.0,2,2,Franklin Arias,SS,2005-11-19,21.0,68.53,95.18,66.17,74.91,74.95
4,William Bergolla Jr.,CWS,AAA,,,,,12,11,William Bergolla,2B-SS,2004-10-20,22.0,67.8,92.94,64.31,75.56,73.74
5,Juneiker Caceres,CLE,A+,,,,,11,11,Juneiker Caceres,RF-LF,2007-08-15,19.0,69.34,93.63,62.07,65.98,72.94
6,Luis Peña,MIL,AA,47.0,41.0,26.0,20.0,2,2,Luis Pena,SS-3B,2006-11-13,20.0,68.28,81.49,70.93,73.43,72.52
7,Cristian Arguelles,COL,A,,,,,20,23,Cristian Arguelles,CF,2007-06-30,19.0,69.18,89.83,68.63,58.5,72.45
9,Jesús Made,MIL,AA,4.0,-5.0,3.0,-6.0,1,1,Jesus Made,SS-3B,2007-05-08,19.0,64.75,87.33,66.64,78.91,71.85
10,Leo De Vries,OAK,AA,12.0,2.0,4.0,-6.0,1,1,Leo De Vries,SS,2006-10-11,20.0,65.17,90.07,60.02,82.34,71.68
11,Walker Jenkins,MIN,AAA,5.0,-6.0,14.0,3.0,1,1,Walker Jenkins,CF,2005-02-19,21.0,64.44,87.97,63.19,75.56,70.65
12,Luis Arana,MIA,A,,,,,15,21,Luis Arana,SS,2008-03-19,18.0,72.01,75.54,63.23,64.74,70.2
13,Charles Davalan,LAD,A+,,,,,6,9,Charles Davalan,OF,2003-12-16,23.0,71.18,80.37,69.63,46.19,69.9
14,Josue De Paula,LAD,AA,24.0,10.0,15.0,1.0,2,1,Josue De Paula,OF,2005-05-24,21.0,61.12,90.31,65.44,70.27,69.32
16,Josue Briceño,DET,AAA,76.0,60.0,40.0,24.0,4,4,Josue Briceno,C-1B,2004-09-23,22.0,62.71,90.66,61.13,68.88,69.07
17,Ralphy Velazquez,CLE,AAA,56.0,39.0,89.0,72.0,3,4,Ralphy Velazquez,1B,2005-05-28,21.0,63.6,83.94,61.7,75.56,68.96
18,Aron Estrada,BAL,AA,,,,,11,9,Aron Estrada,2B,2005-01-13,21.0,65.05,81.77,64.49,68.88,68.94
19,Robert Arias,CLE,A,,,,,,22,Robert Arias,CF,2006-09-13,20.0,64.49,82.21,69.9,60.45,68.86
20,Jhonny Level,SF,A+,98.0,78.0,,,4,4,Jhonny Level,SS,2007-03-29,19.0,64.59,81.5,63.8,69.11,68.52
21,Demetrio Crisantes,AZ,AAA,,,,,3,5,Demetrio Crisantes,SS,2004-09-05,22.0,62.86,85.09,60.41,73.89,68.36
22,Josuar Gonzalez,SF,A,30.0,8.0,44.0,22.0,2,2,Josuar Gonzalez,SS,2007-10-16,19.0,63.39,77.95,71.53,65.08,68.27
23,Edward Florentino,PIT,A+,28.0,5.0,50.0,27.0,3,4,Edward Florentino,1B-CF,2006-11-11,20.0,65.78,79.17,63.01,67.72,68.23
24,Caleb Bonemer,CWS,AA,27.0,3.0,61.0,37.0,2,3,Caleb Bonemer,SS-3B,2005-10-05,21.0,64.79,78.21,62.35,73.52,68.12
26,Adrian Santana,TB,AA,,,,,21,,Adrian Santana,SS-2B,2005-07-18,21.0,63.75,83.98,62.32,66.65,68.03
27,Michael Arroyo,SEA,AAA,,,67.0,40.0,5,5,Michael Arroyo,2B,2004-11-03,22.0,62.71,87.14,59.1,70.27,67.99
28,Nate George,BAL,A+,86.0,58.0,93.0,65.0,4,3,Nate George,OF,2006-06-04,20.0,62.02,81.44,69.82,63.75,67.84
29,Kevin Alvarez,HOU,A,,,,,5,1,Kevin Alvarez,OF,2008-01-13,18.0,67.99,78.54,59.09,63.79,67.83
30,Eli Willits,WSH,A+,31.0,1.0,13.0,-17.0,1,1,Eli Willits,SS,2007-12-09,19.0,59.71,88.3,62.65,71.69,67.71
31,Jefferson Rojas,NYM,AA,,,,,4,5,Jefferson Rojas,SS,2005-04-25,21.0,62.93,83.6,61.39,68.88,67.61
32,Jadher Areinamo,TB,AAA,,,,,17,15,Jadher Areinamo,2B-3B,2003-11-28,23.0,65.46,78.52,63.77,62.76,67.44
33,Eduardo Quintero,LAD,A+,20.0,-13.0,30.0,-3.0,1,3,Eduardo Quintero,CF-RF,2005-09-16,21.0,62.55,80.92,66.9,64.38,67.42
34,Luke Adams,MIL,AAA,,,,,12,13,Luke Adams,3B-LF,2004-04-24,22.0,61.01,86.5,61.53,69.07,67.37
35,Alfredo Duno,CIN,AA,77.0,42.0,38.0,3.0,2,2,Alfredo Duno,C,2006-01-07,20.0,62.38,84.37,61.46,67.49,67.34
38,Elian Peña,NYM,A+,,,,,12,9,Elian Pena,P,2007-10-19,19.0,67.35,77.57,56.75,67.16,67.21
39,Kane Kepley,CHC,AA,,,,,6,6,Kane Kepley,OF,2004-02-14,22.0,66.63,76.94,68.46,50.97,67.17
40,Dauri Fernández,CLE,A+,,,,,26,23,Dauri Fernandez,SS-2B,2007-03-07,19.0,65.89,74.33,66.28,61.8,67.12
41,Gabriel Gonzalez,MIN,AAA,,,,,10,7,Gabriel Gonzalez,RF-LF,2004-01-04,22.0,64.17,80.75,58.67,69.07,67.0
42,Justin Gonzales,BOS,AA,,,,,7,6,Justin Gonzales,1B-RF,2006-12-31,20.0,64.77,78.97,57.34,71.94,66.98
44,Josh Adamczewski,MIL,AA,,,,,9,11,Josh Adamczewski,SS,2005-05-10,21.0,61.08,82.26,64.19,68.14,66.89
45,Cristofer Torin,AZ,AA,,,,,10,15,Cristofer Torin,SS,2005-05-26,21.0,62.16,83.17,59.03,70.27,66.78
51,Sebastian Walcott,TEX,AA,16.0,-35.0,7.0,-44.0,1,1,Sebastian Walcott,SS-3B,2006-03-14,20.0,59.07,85.81,58.44,76.31,66.48
53,Henry Godbout,BOS,AA,,,,,10,11,Henry Godbout,IF,2003-11-06,23.0,69.7,73.83,60.55,51.43,66.32
54,Ethan Salas,SD,AAA,90.0,36.0,,,1,2,Ethan Salas,C,2006-06-01,20.0,59.22,88.05,54.84,76.31,66.28
57,Hendry Mendez,MIN,AAA,,,,,14,12,Hendry Mendez,RF-LF,2003-11-07,23.0,62.72,82.12,56.89,69.07,66.2
58,Nelson Rada,LAA,AAA,,,,,4,3,Nelson Rada,CF,2005-08-24,21.0,59.98,84.9,53.09,79.83,66.01
60,Lisbel Diaz,SF,AA,,,,,,30,Lisbel Diaz,RF-LF,2005-07-19,21.0,62.15,76.82,61.74,68.42,65.67
63,Owen Carey,ATL,AA,,,,,29,19,Owen Carey,OF,2006-07-22,20.0,62.6,78.19,55.96,71.94,65.4
65,Jesús  Báez,STL,AA,,,,,16,20,Jesus Baez,SS-2B,2005-02-26,21.0,60.43,79.98,63.69,61.55,65.06
67,Luis Cova,MIA,A,,,,,12,17,Luis Cova,CF-LF,2007-02-01,19.0,66.71,65.64,63.71,61.79,64.96
70,Emil Morales,LAD,A+,,,92.0,22.0,9,5,Emil Morales,SS,2006-09-22,20.0,60.75,73.87,64.23,68.83,64.88
73,Yairo Padilla,STL,A+,,,,,12,16,Yairo Padilla,SS,2007-06-28,19.0,59.59,79.81,63.36,63.47,64.77
74,Gabriel Davalillo,LAA,A,,,,,5,6,Gabriel Davalillo,C,2007-11-06,19.0,72.16,67.01,46.91,65.08,64.76
75,Dax Kilby,NYY,A,61.0,-14.0,94.0,19.0,3,4,Dax Kilby,SS,2006-11-17,20.0,64.99,63.51,68.89,61.79,64.74
76,Eduardo Tait,MIN,A+,,,65.0,-11.0,5,3,Eduardo Tait,C,2006-08-27,20.0,62.62,76.85,55.38,68.83,64.56
78,Adrian Pinto,TOR,AA,,,,,,29,Adrian Pinto,2B-SS,2002-09-22,24.0,64.29,75.42,65.37,47.63,64.52
80,Cam Cannarella,MIA,AAA,,,,,7,8,Cam Cannarella,IF-OF,2003-09-06,23.0,55.44,85.64,61.71,69.07,64.39
81,Nauris De La Cruz,WSH,R,,,,,28,30,Nauris De La Cruz,OF,2007-09-04,19.0,66.73,68.6,59.25,58.84,64.29
82,Wilder Dalis,COL,A+,,,,,14,18,Wilder Dalis,SS-3B,2006-07-30,20.0,61.28,71.8,65.46,63.61,64.26
85,Alirio Ferrebus,PHI,A+,,,,,16,22,Alirio Ferrebus,C,2005-09-12,21.0,61.94,78.01,59.41,59.78,64.2
86,Yolfran Castillo,TEX,A,,,,,10,8,Yolfran Castillo,SS,2007-02-08,19.0,61.15,76.61,62.03,60.45,64.14
87,Kendall George,LAD,AA,,,,,11,14,Kendall George,CF,2004-10-29,22.0,56.59,76.74,66.34,70.27,64.09
88,Hayden Alvarez,LAA,A+,,,,,20,12,Hayden Alvarez,CF,2007-03-19,19.0,59.62,76.16,63.89,63.61,64.08
89,Mike Sirota,LAD,AA,45.0,-44.0,60.0,-29.0,3,4,Mike Sirota,SS,2003-06-16,23.0,63.03,76.56,63.91,48.93,64.0
93,Gerardo Rodriguez,BOS,A+,,,,,25,27,Gerardo Rodriguez,C,2005-12-08,21.0,64.14,73.19,55.71,63.75,63.9
97,Breyson Guedez,OAK,A+,,,,,23,23,Breyson Guedez,OF,2007-09-28,19.0,66.2,67.62,53.94,67.58,63.77
98,Welbyn Francisca,CLE,A+,,,,,16,13,Welbyn Francisca,SS-2B,2006-05-17,20.0,61.33,71.57,62.58,64.38,63.7
99,Aidan Miller,PHI,AAA,14.0,-85.0,23.0,-76.0,1,1,Aidan Miller,SS,2004-06-09,22.0,58.92,75.43,63.16,65.73,63.68
101,Caden Bodine,TB,AAA,,,,,14,13,Caden Bodine,C,2003-12-02,23.0,53.96,82.83,68.22,62.76,63.61
106,Dante Nori,PHI,AA,,,,,6,7,Dante Nori,CF,2004-10-07,22.0,61.7,72.79,57.0,68.88,63.52
108,Aroon Escobar,PHI,AA,,,,,4,6,Aroon Escobar,2B,2005-01-01,21.0,61.26,73.73,56.87,68.88,63.49
109,Arjun Nimmala,LAA,AA,62.0,-47.0,77.0,-32.0,,3,Arjun Nimmala,SS,2005-10-16,21.0,59.8,76.27,54.75,73.52,63.48
110,John Gil,ATL,AA,,,,,12,10,John Gil,SS,2006-05-14,20.0,59.68,75.22,59.99,66.65,63.43
111,Sebastian Blanco,COL,A,,,,,,30,Sebastian Blanco,SS,2008-01-09,18.0,62.99,76.74,53.55,61.12,63.32
111,Angel De Los Santos,DET,A,,,,,24,,Angel De Los Santos,SS,2008-03-03,18.0,62.99,71.28,59.49,60.73,63.32
113,Roldy Brito,COL,A+,,,,,5,4,Roldy Brito,2B-SS,2007-04-08,19.0,56.54,82.71,60.42,63.61,63.28
114,Marconi German,WSH,R,,,,,17,21,Marconi German,SS,2007-09-09,19.0,60.79,72.41,64.11,58.84,63.24
116,Juan Sanchez,TOR,A,,,,,,7,Juan Sanchez,SS,2007-09-27,19.0,66.48,67.16,52.68,64.74,63.15
118,Lazaro Montes,SEA,AAA,58.0,-60.0,43.0,-75.0,3,4,Lazaro Montes,RF,2004-10-22,22.0,57.84,76.47,59.32,70.27,63.11
