Season  Level   Pitches    Zone%     BIP    Traj%   Coord%
----------------------------------------------------------------------
  2006   AAA       493     0.0%     105   100.0%   100.0%
  2006    AA       356     0.0%     116   100.0%   100.0%
  2006    A+       458     0.0%     112   100.0%   100.0%
  2006     A       359     0.0%     119   100.0%   100.0%
  2006     R       358     0.0%      98   100.0%   100.0%
  2009   AAA       783     0.0%     108   100.0%   100.0%
  2009    AA       820     0.0%     119   100.0%   100.0%
  2009    A+       407     0.0%     106   100.0%   100.0%
  2009     A       431     0.0%     112   100.0%   100.0%
  2009     R       421     0.0%      84   100.0%   100.0%
  2012   AAA       848     0.0%     120   100.0%   100.0%
  2012    AA       788     0.0%      95   100.0%   100.0%
  2012    A+       393     0.0%      96   100.0%   100.0%
  2012     A       404     0.0%      97   100.0%   100.0%
  2012     R       340     0.0%     100   100.0%   100.0%
  2015   AAA       941     0.0%      98   100.0%   100.0%
  2015    AA       832     0.0%     109   100.0%   100.0%
  2015    A+       304     0.0%     102   100.0%   100.0%
  2015     A       548     0.0%     103   100.0%   100.0%
  2015     R       411     0.0%      85   100.0%   100.0%
  2018   AAA       897     0.0%     103   100.0%   100.0%
  2018    AA       773     0.0%      92   100.0%   100.0%
  2018    A+       869     0.0%      96   100.0%   100.0%
  2018     A       800     0.0%      85   100.0%   100.0%
  2018     R       513     0.0%      93   100.0%   100.0%
  2021   AAA       848     0.0%     104   100.0%   100.0%
  2021    AA       879     0.0%      80   100.0%   100.0%
  2021    A+       881     0.0%      75   100.0%   100.0%
  2021     A       894    33.8%      82   100.0%   100.0%
  2021     R       360     0.0%      68   100.0%   100.0%
  2022   AAA       760     0.0%      96   100.0%   100.0%
  2022    AA       983     0.0%      83   100.0%   100.0%
  2022    A+     1,074     0.0%      90   100.0%   100.0%
  2022     A       967    31.0%      89   100.0%   100.0%
  2022     R       314     0.0%      69   100.0%   100.0%
  2023   AAA       924   100.0%      88   100.0%   100.0%
  2023    AA       903     0.0%      95   100.0%   100.0%
  2023    A+       880     0.0%      78   100.0%   100.0%
  2023     A       840    68.3%      79   100.0%   100.0%
  2023     R       415     0.0%      84   100.0%   100.0%
  2024   AAA       941   100.0%     107   100.0%   100.0%
  2024    AA       872     0.0%     102   100.0%    99.0%
  2024    A+     1,008     0.0%     111   100.0%   100.0%
  2024     A       889    75.8%      96   100.0%   100.0%
  2024     R       629     0.0%      88   100.0%   100.0%
  2025   AAA       895   100.0%     100   100.0%   100.0%
  2025    AA       850     0.0%      96   100.0%    99.0%
  2025    A+       883     0.0%      94   100.0%   100.0%
  2025     A       923    30.8%      88   100.0%   100.0%
  2025     R       695     0.0%      68   100.0%   100.0%
  2026   AAA       923    99.9%      85   100.0%   100.0%
  2026    AA       905     0.0%      74   100.0%   100.0%
  2026    A+       833     0.0%      89   100.0%   100.0%
  2026     A       842    70.8%      88   100.0%   100.0%
  2026     R       911     0.0%      77   100.0%   100.0%
